Driver,LapNumber,TyreLife,Position
VER,1.0,1.0,4.0
VER,2.0,2.0,4.0
VER,3.0,3.0,4.0
VER,4.0,4.0,4.0
VER,5.0,5.0,4.0
VER,6.0,6.0,4.0
VER,7.0,7.0,4.0
VER,8.0,8.0,4.0
VER,9.0,9.0,4.0
VER,10.0,10.0,4.0
VER,11.0,11.0,4.0
VER,12.0,12.0,4.0
VER,13.0,13.0,4.0
VER,14.0,14.0,4.0
VER,15.0,15.0,4.0
VER,16.0,16.0,4.0
VER,17.0,17.0,4.0
VER,18.0,18.0,4.0
VER,19.0,19.0,3.0
VER,20.0,20.0,2.0
VER,21.0,21.0,2.0
VER,22.0,22.0,1.0
VER,23.0,23.0,1.0
VER,24.0,24.0,1.0
VER,25.0,25.0,1.0
VER,26.0,26.0,1.0
VER,27.0,27.0,1.0
VER,28.0,28.0,4.0
VER,29.0,1.0,4.0
VER,30.0,2.0,4.0
VER,31.0,3.0,4.0
VER,32.0,4.0,4.0
VER,33.0,5.0,4.0
VER,34.0,6.0,4.0
VER,35.0,7.0,4.0
VER,36.0,8.0,4.0
VER,37.0,9.0,4.0
VER,38.0,10.0,4.0
VER,39.0,11.0,4.0
VER,40.0,12.0,4.0
VER,41.0,13.0,4.0
VER,42.0,14.0,4.0
VER,43.0,15.0,4.0
VER,44.0,16.0,4.0
VER,45.0,17.0,4.0
VER,46.0,18.0,4.0
VER,47.0,19.0,4.0
VER,48.0,20.0,3.0
VER,49.0,21.0,2.0
VER,50.0,22.0,1.0
VER,51.0,23.0,1.0
VER,52.0,24.0,1.0
VER,53.0,25.0,1.0
VER,54.0,26.0,1.0
VER,55.0,27.0,1.0
VER,56.0,28.0,1.0
VER,57.0,29.0,1.0
VER,58.0,30.0,1.0
VER,59.0,31.0,1.0
VER,60.0,32.0,1.0
VER,61.0,33.0,1.0
VER,62.0,34.0,1.0
VER,63.0,35.0,1.0
VER,64.0,36.0,1.0
VER,65.0,37.0,1.0
VER,66.0,38.0,1.0
VER,67.0,39.0,1.0
VER,68.0,40.0,1.0
VER,69.0,41.0,1.0
VER,70.0,42.0,1.0
VER,71.0,43.0,1.0
VER,72.0,44.0,1.0
VER,73.0,45.0,1.0
VER,74.0,46.0,1.0
VER,75.0,47.0,1.0
VER,76.0,48.0,1.0
VER,77.0,49.0,4.0
VER,78.0,4.0,4.0
GAS,1.0,7.0,18.0
GAS,2.0,1.0,18.0
GAS,3.0,2.0,18.0
GAS,4.0,3.0,18.0
GAS,5.0,4.0,18.0
GAS,6.0,5.0,18.0
GAS,7.0,6.0,18.0
GAS,8.0,7.0,19.0
ANT,1.0,1.0,14.0
ANT,2.0,2.0,14.0
ANT,3.0,3.0,14.0
ANT,4.0,4.0,14.0
ANT,5.0,5.0,14.0
