AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
15.7,21.2,83.0,2.7,True
15.4,20.9,85.0,4.0,True
15.0,20.5,86.0,3.2,True
14.8,20.4,86.0,2.7,True
14.7,20.4,87.0,2.5,True
14.6,20.4,87.0,2.5,False
14.5,20.5,88.0,2.2,False
14.4,20.5,88.0,2.2,False
14.4,20.6,88.0,2.0,False
14.5,20.4,88.0,2.0,False
14.3,20.4,88.0,2.5,False
14.3,20.4,89.0,2.5,True
14.2,19.7,89.0,2.9,True
14.4,19.9,89.0,1.7,True
14.4,20.0,89.0,3.0,True
14.4,20.1,90.0,2.2,True
14.3,20.0,90.0,2.7,True
14.4,19.9,90.0,3.2,True
14.3,20.0,91.0,2.4,False
14.2,19.8,91.0,1.7,True
14.2,19.8,91.0,3.2,True
14.2,19.5,91.0,2.0,True
14.2,19.4,91.0,1.2,True
14.2,19.4,91.0,3.0,True
14.2,19.3,91.0,2.9,True
14.3,19.4,91.0,3.2,True
15.6,21.2,84.0,2.9,True
15.4,20.9,85.0,4.0,True
15.0,20.5,86.0,3.2,True
14.8,20.3,87.0,2.7,True
14.6,20.3,87.0,2.7,False
14.6,20.4,87.0,2.5,False
14.5,20.5,88.0,2.2,False
14.4,20.5,88.0,2.2,False
14.4,20.5,88.0,1.3,False
14.4,20.4,88.0,2.4,False
14.3,20.4,89.0,2.9,False
14.2,19.7,89.0,2.9,True
14.4,19.9,89.0,1.7,True
14.4,20.1,89.0,2.4,True
14.4,20.1,90.0,2.2,True
14.3,20.0,90.0,2.7,True
14.3,20.0,91.0,2.4,False
14.2,19.8,91.0,1.7,True
14.3,19.7,91.0,3.0,True
14.2,19.5,91.0,2.0,True
14.2,19.4,91.0,1.2,True
14.2,19.4,91.0,3.0,True
14.2,19.3,91.0,2.7,True
15.7,21.2,83.0,2.7,True
15.5,20.9,84.0,4.9,True
15.3,20.5,85.0,2.9,True
14.8,20.4,86.0,2.7,True
14.8,20.3,87.0,2.7,True
14.6,20.3,87.0,2.7,False
14.5,20.4,87.0,2.0,False
14.5,20.5,88.0,2.2,False
14.4,20.5,88.0,2.2,False
14.4,20.5,88.0,1.3,False
14.4,20.4,88.0,2.4,False
14.3,20.4,89.0,2.9,False
14.2,19.7,89.0,2.9,True
14.4,19.9,89.0,1.7,True
14.4,20.0,89.0,3.0,True
14.4,20.1,90.0,2.2,True
14.3,20.0,90.0,2.7,True
14.4,19.9,90.0,3.2,True
14.3,20.0,91.0,2.4,False
14.2,19.8,91.0,1.7,True
14.2,19.8,91.0,3.2,True
14.2,19.5,91.0,2.0,True
14.2,19.4,91.0,1.2,True
14.2,19.4,91.0,3.0,True
14.2,19.3,91.0,2.9,True
15.5,20.9,84.0,4.9,True
