AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
12.6,17.9,84.0,1.0,True
12.6,18.1,84.0,1.2,True
12.7,18.2,84.0,1.0,True
12.8,18.2,85.0,1.1,True
12.8,18.2,85.0,1.3,True
12.7,18.1,84.0,1.6,True
12.7,18.2,84.0,1.7,True
12.9,18.1,85.0,1.7,True
12.9,18.1,85.0,1.0,True
12.9,18.3,84.0,2.2,True
12.9,18.2,84.0,1.7,True
13.2,18.5,81.0,1.3,True
13.1,18.5,81.0,0.8,True
13.3,18.6,81.0,1.2,False
13.5,18.6,81.0,1.5,False
13.6,18.5,80.0,0.8,False
13.5,18.6,79.0,1.0,False
13.4,18.5,77.0,2.0,True
13.3,18.5,76.0,3.0,True
13.5,18.1,74.0,2.4,False
13.7,18.0,74.0,1.3,False
14.8,18.5,65.0,2.0,False
14.7,18.3,64.0,1.8,False
14.6,18.3,64.0,3.7,False
14.9,18.3,64.0,2.2,False
14.9,18.3,65.0,1.6,False
15.0,18.3,63.0,2.7,False
15.0,18.3,64.0,1.8,False
15.2,18.1,62.0,2.7,False
15.1,18.0,62.0,4.0,False
12.5,18.1,84.0,1.6,True
12.7,18.2,84.0,1.3,True
12.8,18.2,85.0,1.1,True
12.8,18.2,84.0,1.7,True
12.9,18.2,85.0,1.7,True
12.7,18.2,84.0,1.7,True
12.8,18.1,85.0,1.5,True
12.9,18.1,85.0,1.0,True
12.9,18.3,84.0,2.2,True
12.8,18.2,84.0,1.2,True
12.8,18.2,83.0,2.0,True
13.2,18.5,81.0,1.6,True
13.1,18.5,81.0,0.8,True
13.3,18.6,81.0,1.2,False
13.4,18.6,80.0,2.0,False
13.9,18.1,71.0,1.3,False
14.0,18.0,69.0,3.9,False
14.0,18.2,68.0,3.0,False
14.2,17.9,66.0,4.0,False
14.3,17.8,68.0,2.2,False
14.6,17.9,67.0,2.5,False
14.7,18.5,66.0,2.2,False
14.7,18.3,64.0,1.8,False
14.9,18.3,65.0,1.6,False
14.9,18.3,64.0,2.2,False
15.0,18.3,63.0,2.7,False
15.1,18.1,65.0,1.3,False
15.1,18.0,62.0,4.0,False
15.1,17.9,62.0,2.2,False
12.5,18.1,84.0,1.6,True
12.7,18.2,84.0,1.3,True
12.8,18.2,85.0,1.1,True
12.8,18.2,84.0,1.7,True
12.9,18.2,85.0,1.7,True
12.7,18.2,84.0,1.7,True
12.8,18.1,85.0,1.5,True
12.9,18.1,85.0,1.0,True
12.9,18.3,84.0,2.2,True
12.8,18.2,84.0,1.2,True
13.2,18.5,81.0,1.3,True
13.0,18.6,82.0,0.8,False
13.3,18.6,81.0,1.2,False
13.9,18.1,70.0,3.0,False
14.1,17.9,72.0,1.6,False
14.0,18.2,68.0,3.0,False
14.1,18.0,67.0,3.2,False
14.3,17.8,68.0,2.2,False
14.4,17.8,66.0,2.5,False
14.7,18.0,67.0,2.2,False
14.8,18.5,65.0,2.0,False
14.7,18.3,64.0,1.8,False
14.6,18.3,64.0,3.7,False
