AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
26.7,39.0,31.0,2.0,False
26.8,39.0,31.0,1.0,False
26.9,39.0,30.0,1.2,False
27.1,39.3,30.0,1.0,False
27.2,39.5,29.0,0.8,False
27.2,39.3,30.0,0.8,False
27.0,39.2,30.0,1.2,False
26.9,38.9,30.0,1.2,False
26.9,39.2,29.0,1.2,False
27.2,38.9,29.0,1.5,False
27.0,38.7,32.0,0.4,False
27.1,38.9,31.0,0.6,False
26.7,39.0,31.0,2.0,False
26.9,39.0,30.0,1.2,False
26.9,39.2,30.0,2.5,False
27.1,39.1,30.0,1.3,False
27.1,39.1,30.0,2.4,False
27.0,38.8,31.0,3.2,False
27.2,39.3,30.0,0.8,False
27.1,39.2,30.0,0.6,False
27.0,39.2,30.0,1.2,False
27.2,39.4,30.0,1.6,False
27.1,39.4,30.0,1.0,False
27.1,39.4,29.0,3.7,False
27.0,38.7,29.0,5.0,False
27.1,39.0,29.0,0.5,False
27.3,38.9,29.0,1.3,False
27.2,38.6,29.0,1.7,False
27.0,38.7,32.0,0.4,False
27.1,38.9,31.0,0.6,False
26.7,39.0,31.0,2.0,False
26.9,39.0,30.0,1.2,False
26.9,39.2,30.0,2.5,False
27.1,39.1,30.0,1.3,False
27.0,38.9,31.0,3.0,False
27.1,39.4,30.0,1.2,False
27.2,39.3,30.0,0.8,False
27.1,39.2,30.0,0.6,False
27.1,39.4,30.0,1.6,False
27.2,39.4,30.0,1.6,False
27.2,39.8,30.0,2.7,False
27.1,39.4,29.0,3.7,False
27.0,38.6,29.0,5.0,False
27.2,38.9,29.0,1.5,False
27.3,38.9,29.0,1.3,False
27.2,38.6,29.0,1.7,False
27.0,38.7,32.0,0.4,False
27.1,38.9,31.0,0.6,False
26.8,39.0,31.0,1.0,False
26.9,39.2,30.0,2.5,False
27.1,39.2,30.0,1.8,False
27.1,39.1,30.0,2.4,False
27.1,39.4,30.0,1.2,False
27.1,39.4,30.0,1.7,False
27.2,39.5,29.0,0.8,False
27.1,39.2,30.0,0.6,False
27.0,39.2,30.0,1.2,False
27.1,39.4,30.0,1.6,False
27.2,39.8,30.0,2.7,False
27.0,38.7,29.0,5.0,False
27.0,38.6,29.0,5.0,False
27.1,39.0,29.0,0.5,False
27.2,38.9,29.0,1.5,False
27.2,38.6,29.0,1.7,False
27.1,38.9,31.0,0.6,False
26.7,39.0,31.0,2.0,False
26.8,39.0,31.0,1.0,False
26.9,39.2,30.0,2.5,False
27.1,39.1,30.0,1.3,False
27.1,39.1,30.0,2.4,False
27.0,38.9,31.0,3.0,False
26.8,38.9,31.0,0.8,False
27.1,39.4,30.0,1.2,False
27.1,39.3,30.0,1.0,False
27.2,39.5,29.0,0.8,False
27.2,39.3,30.0,0.8,False
27.0,39.2,30.0,1.2,False
27.1,39.4,29.0,3.7,False
27.0,38.7,29.0,5.0,False
26.9,38.9,30.0,1.2,False
26.9,39.2,29.0,1.2,False
27.2,38.9,29.0,1.5,False
27.0,38.7,32.0,0.4,False
26.8,39.0,31.0,1.0,False
26.9,39.2,30.0,2.5,False
27.1,39.2,30.0,1.8,False
27.1,39.1,30.0,2.4,False
27.1,39.4,31.0,1.5,False
27.1,39.4,30.0,1.2,False
27.2,39.5,29.0,0.8,False
27.1,39.2,30.0,0.6,False
27.0,39.2,30.0,1.2,False
27.1,39.4,30.0,1.6,False
27.2,39.8,30.0,2.7,False
27.1,39.4,29.0,3.7,False
27.0,38.6,29.0,5.0,False
27.1,39.0,29.0,0.5,False
27.2,38.9,29.0,1.5,False
27.2,38.6,29.0,1.7,False
27.0,38.7,32.0,0.4,False
26.8,39.0,31.0,1.0,False
26.9,39.2,30.0,2.5,False
27.1,39.2,30.0,1.8,False
27.1,39.1,30.0,1.3,False
27.1,39.4,31.0,1.5,False
27.1,39.4,30.0,1.2,False
27.2,39.3,30.0,0.8,False
27.1,39.2,30.0,0.6,False
27.0,39.2,30.0,1.2,False
27.2,39.4,30.0,1.6,False
27.2,39.8,30.0,2.7,False
27.1,39.4,29.0,3.7,False
27.0,38.7,29.0,5.0,False
26.9,39.2,29.0,1.2,False
27.1,39.0,29.0,0.5,False
27.2,38.9,29.0,1.5,False
27.0,38.7,32.0,0.4,False
26.5,38.9,31.0,0.6,False
26.6,38.9,31.0,1.0,False
26.6,39.0,31.0,1.8,False
26.8,39.0,31.0,1.0,False
26.9,39.2,30.0,2.5,False
27.1,39.2,30.0,1.8,False
27.1,39.1,30.0,1.3,False
27.0,39.3,31.0,1.2,False
27.1,39.4,31.0,1.5,False
27.2,39.5,29.0,0.8,False
27.1,39.2,30.0,0.6,False
27.0,39.2,30.0,1.2,False
27.2,39.4,30.0,1.6,False
27.2,39.8,30.0,2.7,False
27.1,39.4,29.0,3.7,False
27.0,38.7,29.0,5.0,False
26.9,38.9,30.0,1.2,False
27.1,39.0,29.0,0.5,False
27.2,38.9,29.0,1.5,False
27.0,38.7,32.0,0.4,False
26.6,38.9,31.0,1.0,False
26.6,38.9,31.0,0.0,False
26.6,39.0,31.0,1.8,False
26.8,39.0,31.0,1.0,False
27.1,39.1,30.0,1.3,False
27.1,39.1,30.0,2.4,False
27.0,38.8,31.0,3.2,False
27.1,39.4,31.0,1.5,False
27.1,39.4,30.0,1.2,False
27.2,39.3,30.0,0.8,False
27.0,39.2,30.0,1.2,False
27.1,39.4,30.0,1.6,False
27.2,39.4,30.0,1.6,False
27.2,39.8,30.0,2.7,False
27.1,39.4,29.0,3.7,False
27.0,38.6,29.0,5.0,False
26.9,39.2,29.0,1.2,False
27.1,39.0,29.0,0.5,False
27.3,38.9,29.0,1.3,False
27.1,38.9,31.0,0.6,False
26.6,39.0,31.0,1.8,False
26.7,39.0,31.0,2.0,False
26.8,39.0,31.0,1.0,False
26.9,39.2,30.0,2.5,False
27.1,39.1,30.0,1.3,False
27.1,39.1,30.0,2.4,False
27.0,38.8,31.0,3.2,False
27.1,39.4,31.0,1.5,False
27.1,39.4,30.0,1.2,False
27.2,39.3,30.0,0.8,False
27.0,39.2,30.0,1.2,False
27.1,39.4,30.0,1.6,False
27.3,39.3,30.0,2.5,False
27.2,39.8,30.0,2.7,False
26.6,38.9,31.0,1.0,False
26.6,38.9,31.0,0.0,False
26.6,39.0,31.0,1.8,False
26.8,39.0,31.0,1.0,False
27.1,39.1,30.0,1.3,False
27.1,39.1,30.0,2.4,False
27.0,38.8,31.0,3.2,False
27.1,39.4,31.0,1.5,False
27.1,39.4,30.0,1.7,False
27.2,39.3,30.0,0.8,False
27.0,39.2,30.0,1.2,False
27.1,39.4,30.0,1.6,False
27.2,39.4,30.0,1.6,False
27.1,39.4,29.0,3.7,False
27.0,38.7,29.0,5.0,False
26.9,39.2,30.0,2.5,False
27.1,39.1,30.0,1.3,False
27.1,39.1,30.0,2.4,False
27.0,38.8,31.0,3.2,False
27.1,39.4,31.0,1.5,False
27.1,39.4,30.0,1.2,False
27.2,39.3,30.0,0.8,False
27.1,39.2,30.0,0.6,False
27.1,39.4,30.0,1.6,False
27.2,39.4,30.0,1.6,False
27.2,39.8,30.0,2.7,False
27.1,39.4,29.0,3.7,False
26.9,39.2,30.0,2.5,False
27.1,39.1,30.0,1.3,False
27.1,39.1,30.0,2.4,False
27.0,38.8,31.0,3.2,False
27.1,39.4,30.0,1.2,False
27.0,39.2,30.0,1.2,False
27.2,39.4,30.0,1.6,False
27.3,39.3,30.0,2.5,False
27.2,39.0,30.0,0.8,False
27.1,39.4,29.0,3.7,False
27.0,38.7,29.0,5.0,False
26.5,38.9,31.0,0.6,False
26.6,38.9,31.0,0.0,False
26.6,39.0,31.0,1.8,False
26.8,39.0,31.0,1.0,False
27.1,39.1,30.0,1.3,False
27.1,39.1,30.0,2.4,False
27.0,38.8,31.0,3.2,False
27.0,39.3,31.0,1.2,False
27.1,39.4,30.0,1.2,False
27.2,39.3,30.0,0.8,False
27.1,39.2,30.0,0.6,False
27.0,39.2,30.0,1.2,False
27.2,39.4,30.0,1.6,False
27.2,39.8,30.0,2.7,False
27.1,39.4,29.0,3.7,False
26.5,38.9,31.0,0.6,False
26.6,38.9,31.0,0.0,False
26.6,39.0,31.0,1.8,False
26.8,39.0,31.0,1.0,False
26.9,39.0,30.0,1.2,False
27.1,39.2,30.0,1.8,False
27.1,39.1,30.0,1.3,False
26.8,38.9,31.0,0.8,False
27.0,39.3,31.0,1.2,False
27.1,39.4,31.0,1.5,False
27.0,39.4,30.0,0.8,False
27.2,39.5,29.0,0.8,False
27.2,39.3,30.0,0.8,False
27.0,39.2,30.0,1.2,False
27.2,39.0,30.0,0.8,False
27.1,39.2,30.0,1.7,False
26.5,38.9,31.0,0.6,False
26.6,38.9,31.0,0.0,False
26.6,39.0,31.0,1.8,False
26.8,39.0,31.0,1.0,False
27.1,39.1,30.0,1.3,False
27.1,39.1,30.0,2.4,False
27.0,38.9,31.0,3.0,False
27.1,39.4,31.0,1.5,False
27.1,39.4,30.0,1.2,False
26.7,39.0,31.0,2.0,False
26.8,39.0,31.0,1.0,False
26.9,39.0,30.0,1.2,False
27.1,39.2,30.0,1.8,False
27.1,39.1,30.0,2.4,False
27.0,38.9,31.0,3.0,False
27.1,39.4,31.0,1.5,False
27.1,39.4,30.0,1.2,False
26.5,38.9,31.0,0.6,False
26.6,38.9,31.0,1.0,False
26.6,39.0,31.0,1.8,False
26.8,39.0,31.0,1.0,False
26.9,39.2,30.0,2.5,False
27.1,39.2,30.0,1.8,False
27.1,39.1,30.0,1.3,False
27.0,39.3,31.0,1.2,False
27.1,39.4,31.0,1.5,False
26.6,39.0,31.0,1.8,False
26.7,39.0,31.0,2.0,False
26.8,39.0,31.0,1.0,False
26.9,39.2,30.0,2.5,False
27.1,39.1,30.0,2.4,False
27.0,38.9,31.0,3.0,False
27.0,38.8,31.0,3.2,False
27.1,39.4,31.0,1.5,False
26.5,38.9,31.0,0.6,False
26.6,38.9,31.0,0.0,False
26.6,39.0,31.0,1.8,False
26.8,39.0,31.0,1.0,False
27.1,39.4,31.0,1.5,False
