AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
30.6,56.0,47.0,1.6,False
30.7,56.1,45.0,1.2,False
30.7,56.1,45.0,1.8,False
30.7,55.6,45.0,2.9,False
30.8,54.7,46.0,1.8,False
30.5,54.6,45.0,1.2,False
30.7,54.3,44.0,1.5,False
30.5,54.8,44.0,2.2,False
30.2,54.2,45.0,3.4,False
30.2,54.3,45.0,2.2,False
30.2,54.3,45.0,0.8,False
30.1,53.7,45.0,1.8,False
30.3,53.7,45.0,1.7,False
30.1,53.7,46.0,2.2,False
30.2,54.1,46.0,1.5,False
29.8,53.6,46.0,1.5,False
29.9,53.6,46.0,1.6,False
30.7,56.1,45.0,1.8,False
30.7,55.7,45.0,1.6,False
30.7,55.6,45.0,2.9,False
30.5,54.8,46.0,2.0,False
30.4,55.1,44.0,1.7,False
30.5,54.6,45.0,1.2,False
30.7,54.3,44.0,1.7,False
30.5,54.8,44.0,2.2,False
30.1,53.7,45.0,1.8,False
30.3,53.7,45.0,1.7,False
30.1,53.7,46.0,2.2,False
30.2,54.1,46.0,1.5,False
29.8,53.6,46.0,1.5,False
29.9,53.6,46.0,1.6,False
30.6,56.0,47.0,1.6,False
30.7,56.1,45.0,1.2,False
30.7,56.1,45.0,2.0,False
30.7,55.6,45.0,2.9,False
30.8,54.7,46.0,1.8,False
30.5,54.8,47.0,1.7,False
30.4,55.1,44.0,1.7,False
30.6,55.5,44.0,1.5,False
30.5,54.6,45.0,1.2,False
30.7,54.3,44.0,1.5,False
30.5,54.8,44.0,2.2,False
30.1,53.8,45.0,2.4,False
30.2,54.3,45.0,2.2,False
30.3,54.1,44.0,1.5,False
30.1,53.7,45.0,1.8,False
30.3,53.7,45.0,1.6,False
30.1,53.7,46.0,2.2,False
30.2,54.1,46.0,1.5,False
29.8,53.6,46.0,2.0,False
29.9,53.6,46.0,1.6,False
30.7,56.1,45.0,1.8,False
30.7,55.7,45.0,1.6,False
30.6,55.3,46.0,2.7,False
30.5,54.8,47.0,1.7,False
30.6,54.8,45.0,1.2,False
30.5,55.0,44.0,1.5,False
30.6,54.3,44.0,1.2,False
30.7,54.3,44.0,1.7,False
30.7,55.1,44.0,2.0,False
30.6,55.0,43.0,1.5,False
30.1,53.8,45.0,2.4,False
30.2,54.3,45.0,2.2,False
30.3,54.1,44.0,1.5,False
30.3,53.7,45.0,2.0,False
30.3,53.7,45.0,1.7,False
30.1,53.4,46.0,1.5,False
30.0,53.6,46.0,1.6,False
29.8,53.6,46.0,1.5,False
29.9,53.6,46.0,1.6,False
30.7,56.1,45.0,1.8,False
30.7,55.7,45.0,1.6,False
30.6,55.3,46.0,2.7,False
30.5,55.0,44.0,1.5,False
30.7,54.3,44.0,1.5,False
30.7,54.3,44.0,1.7,False
30.1,53.8,45.0,2.4,False
30.2,54.3,45.0,2.2,False
30.3,53.7,45.0,2.0,False
30.3,53.7,45.0,1.7,False
30.1,53.4,46.0,1.5,False
30.0,53.6,46.0,1.6,False
29.8,53.6,46.0,1.5,False
29.9,53.7,46.0,1.7,False
30.7,56.1,45.0,1.8,False
30.7,55.7,45.0,1.6,False
30.6,55.3,46.0,2.7,False
30.5,54.8,47.0,1.7,False
30.4,54.8,45.0,1.6,False
30.4,55.1,44.0,1.7,False
30.5,55.0,44.0,1.5,False
30.6,54.3,44.0,1.2,False
30.7,54.3,44.0,1.7,False
30.7,55.1,44.0,2.0,False
30.6,55.0,43.0,1.5,False
30.2,54.2,45.0,3.4,False
30.2,54.3,45.0,2.2,False
30.2,54.3,45.0,0.8,False
30.3,53.7,45.0,2.0,False
30.3,53.7,45.0,1.7,False
30.1,53.4,46.0,1.5,False
30.0,53.6,46.0,1.6,False
29.8,53.6,46.0,1.5,False
29.9,53.7,46.0,1.7,False
30.7,56.1,45.0,2.0,False
30.6,55.3,46.0,2.7,False
30.7,54.7,46.0,3.0,False
30.5,54.8,46.0,2.0,False
30.4,54.8,45.0,1.6,False
30.5,54.6,45.0,1.2,False
30.7,54.3,44.0,1.5,False
30.5,54.8,44.0,2.2,False
30.2,54.2,45.0,3.4,False
30.1,53.8,45.0,2.7,False
30.2,54.3,45.0,0.8,False
30.1,53.7,45.0,1.8,False
30.3,53.7,45.0,1.6,False
30.1,53.7,46.0,2.2,False
30.2,54.1,46.0,1.5,False
29.8,53.6,46.0,2.0,False
29.9,53.6,46.0,1.6,False
30.6,56.0,47.0,1.6,False
30.7,56.1,45.0,1.2,False
30.7,56.1,45.0,2.0,False
30.7,55.6,45.0,2.9,False
30.7,54.7,46.0,3.0,False
30.5,54.8,47.0,1.7,False
30.4,54.8,45.0,1.6,False
30.4,55.1,44.0,1.7,False
30.5,55.0,44.0,1.5,False
30.7,54.3,44.0,1.5,False
30.7,54.3,44.0,1.7,False
