AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
30.3,51.1,44.0,1.2,False
30.5,52.3,44.0,1.3,False
30.3,52.2,47.0,2.7,False
30.3,52.2,47.0,3.0,False
30.3,52.2,46.0,1.8,False
30.4,54.1,47.0,2.7,False
30.4,54.4,45.0,2.4,False
30.3,54.0,46.0,2.2,False
30.6,54.1,46.0,2.2,False
30.6,54.1,46.0,4.0,False
30.5,53.8,47.0,2.5,False
30.3,54.6,47.0,2.0,False
30.3,55.5,46.0,2.7,False
30.1,54.8,47.0,2.2,False
30.2,55.0,47.0,2.0,False
30.3,55.1,47.0,2.5,False
30.4,55.2,47.0,2.4,False
30.3,54.9,48.0,3.5,False
30.1,55.4,47.0,2.7,False
30.2,55.5,48.0,3.5,False
30.3,55.9,47.0,2.4,False
30.5,55.9,48.0,1.8,False
30.5,55.6,48.0,1.7,False
30.4,55.6,47.0,1.7,False
30.6,56.5,46.0,1.3,False
30.4,56.2,47.0,1.7,False
30.4,55.8,48.0,2.7,False
30.2,55.6,48.0,2.7,False
30.1,55.4,50.0,2.9,False
29.9,55.8,51.0,2.9,False
29.9,56.1,51.0,2.0,False
29.9,57.1,51.0,1.8,False
30.1,57.2,49.0,2.9,False
30.1,56.3,49.0,1.8,False
30.4,55.9,48.0,2.2,False
30.4,56.3,49.0,1.6,False
30.3,56.7,49.0,1.0,False
30.2,56.2,48.0,2.2,False
30.1,56.0,49.0,2.2,False
30.0,55.2,49.0,2.0,False
30.1,55.0,50.0,2.0,False
30.0,55.0,51.0,3.2,False
29.9,55.6,52.0,1.8,False
29.9,55.6,52.0,2.0,False
29.8,56.4,52.0,1.8,False
29.6,56.1,52.0,2.5,False
29.5,55.7,54.0,2.7,False
29.9,55.6,55.0,1.8,False
29.9,56.9,54.0,1.2,False
29.8,56.3,54.0,1.6,False
29.7,55.9,54.0,0.8,False
29.6,55.9,54.0,0.8,False
29.5,55.2,54.0,2.2,False
30.3,51.1,44.0,1.2,False
30.5,52.3,44.0,1.3,False
30.3,52.2,47.0,2.7,False
30.3,52.2,47.0,1.7,False
30.3,52.2,46.0,1.8,False
30.4,54.1,47.0,2.7,False
30.3,54.0,45.0,2.4,False
30.3,54.0,46.0,2.2,False
30.6,54.1,46.0,2.2,False
30.6,54.1,47.0,2.5,False
30.5,53.8,47.0,2.5,False
30.3,54.6,47.0,2.0,False
30.1,55.4,46.0,2.9,False
30.1,54.8,47.0,2.2,False
30.2,55.0,47.0,2.0,False
30.4,55.3,46.0,3.5,False
30.4,54.9,47.0,3.0,False
30.3,54.9,48.0,3.5,False
30.1,55.4,47.0,2.7,False
30.2,55.5,48.0,2.9,False
30.3,55.9,47.0,2.4,False
30.5,55.9,48.0,1.8,False
30.5,55.6,48.0,1.7,False
30.4,55.6,47.0,1.7,False
30.6,56.2,46.0,2.0,False
30.4,56.2,47.0,1.7,False
30.4,55.8,48.0,2.7,False
30.1,55.4,49.0,3.7,False
30.1,55.4,50.0,2.9,False
29.9,55.8,51.0,2.9,False
29.9,56.7,51.0,2.2,False
29.9,57.1,51.0,1.8,False
30.1,57.2,49.0,2.9,False
30.2,55.9,48.0,1.5,False
30.4,55.9,48.0,2.2,False
30.3,56.1,49.0,2.0,False
30.1,56.2,48.0,1.0,False
30.2,56.2,48.0,2.2,False
30.0,56.0,49.0,2.0,False
30.0,55.1,50.0,1.7,False
30.1,55.0,50.0,2.0,False
29.9,55.1,51.0,2.2,False
29.9,55.6,52.0,2.0,False
29.8,56.4,51.0,2.9,False
29.7,56.4,52.0,2.5,False
29.5,55.7,54.0,2.7,False
29.6,55.6,55.0,2.0,False
29.9,56.8,54.0,2.0,False
29.8,56.3,54.0,1.6,False
29.7,55.9,54.0,0.8,False
29.6,55.9,54.0,0.8,False
29.6,56.1,54.0,1.3,False
29.4,55.8,54.0,1.3,False
30.3,51.1,44.0,1.2,False
30.5,52.3,44.0,1.3,False
30.3,52.2,47.0,2.7,False
30.3,52.2,47.0,3.0,False
30.3,52.2,46.0,1.8,False
30.4,54.1,47.0,2.7,False
30.4,54.4,45.0,2.4,False
30.3,54.0,46.0,2.2,False
30.6,54.1,46.0,2.2,False
30.6,54.1,46.0,4.0,False
30.5,53.8,47.0,2.5,False
30.3,54.6,47.0,2.0,False
30.3,55.5,46.0,2.7,False
30.1,54.8,47.0,2.2,False
30.2,55.0,47.0,2.0,False
30.3,55.1,47.0,2.5,False
30.4,55.2,47.0,2.4,False
30.3,54.9,48.0,3.5,False
30.1,55.4,47.0,2.7,False
30.2,55.5,48.0,3.5,False
30.3,55.9,47.0,2.4,False
30.5,55.9,48.0,1.8,False
30.5,55.6,48.0,1.7,False
30.4,55.6,47.0,1.7,False
30.6,56.2,46.0,2.0,False
30.4,56.2,47.0,1.7,False
30.4,55.8,48.0,2.7,False
30.2,55.6,48.0,2.7,False
