AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
19.8,26.9,58.0,3.2,False
19.8,26.9,58.0,2.0,False
19.9,27.0,57.0,2.7,False
20.0,26.7,58.0,2.7,False
20.1,26.7,57.0,2.5,False
20.2,26.7,57.0,1.7,False
20.3,26.5,57.0,2.2,False
19.7,25.7,58.0,2.0,False
19.7,25.8,58.0,2.0,False
19.7,25.9,58.0,1.8,False
19.7,25.8,58.0,3.9,False
19.6,25.9,59.0,3.0,False
19.8,27.0,58.0,3.2,False
19.9,27.0,57.0,2.7,False
20.0,26.9,58.0,3.2,False
20.0,26.8,58.0,1.7,False
20.1,26.6,57.0,3.9,False
20.1,26.6,57.0,3.0,False
20.1,26.7,57.0,2.5,False
19.7,25.9,58.0,2.7,False
19.7,25.8,58.0,2.0,False
19.7,25.9,58.0,1.8,False
19.7,25.8,58.0,2.7,False
19.7,25.8,58.0,3.9,False
19.8,27.0,58.0,3.2,False
19.8,26.9,58.0,2.9,False
19.9,27.0,57.0,2.7,False
20.0,26.7,58.0,2.7,False
20.1,26.6,57.0,3.9,False
20.1,26.6,57.0,3.0,False
20.1,26.7,57.0,2.5,False
19.7,25.9,58.0,2.7,False
19.7,25.8,58.0,2.0,False
19.7,25.9,58.0,1.8,False
19.7,25.8,58.0,2.7,False
19.6,25.9,59.0,3.0,False
19.8,26.9,58.0,3.2,False
19.8,26.9,58.0,2.0,False
19.8,26.9,58.0,2.9,False
20.0,26.9,58.0,3.2,False
20.1,26.6,57.0,3.5,False
20.2,26.7,57.0,1.7,False
20.3,26.5,57.0,2.2,False
20.0,26.2,57.0,4.0,False
20.0,26.2,57.0,2.2,False
19.9,26.0,57.0,2.7,False
19.7,25.9,58.0,2.7,False
19.7,25.8,58.0,2.0,False
19.7,25.9,58.0,1.8,False
19.7,25.8,58.0,2.7,False
19.6,25.9,59.0,3.0,False
19.8,26.9,58.0,2.9,False
20.0,26.9,58.0,3.2,False
20.0,26.7,58.0,2.7,False
20.1,26.8,57.0,2.7,False
19.9,26.7,57.0,3.0,False
20.0,26.8,58.0,2.5,False
20.1,27.1,58.0,2.0,False
20.1,26.7,57.0,2.5,False
20.2,26.7,57.0,1.7,False
20.3,26.5,57.0,2.2,False
20.0,26.2,57.0,4.0,False
20.0,26.2,57.0,2.2,False
19.9,26.0,57.0,2.7,False
19.7,25.9,58.0,2.7,False
19.7,25.7,58.0,2.0,False
19.7,25.8,58.0,2.5,False
19.7,25.8,58.0,2.7,False
19.6,25.9,59.0,3.0,False
19.8,26.9,58.0,3.2,False
19.8,27.0,58.0,3.2,False
19.8,26.9,58.0,2.9,False
20.0,26.9,58.0,3.2,False
20.0,26.8,57.0,2.5,False
20.0,26.8,57.0,2.5,False
19.9,26.7,57.0,3.0,False
20.0,26.8,58.0,2.5,False
20.1,27.1,58.0,2.0,False
20.1,26.7,57.0,2.5,False
20.2,26.6,57.0,2.2,False
20.3,26.4,57.0,2.7,False
20.0,26.1,57.0,2.5,False
20.0,26.0,57.0,3.0,False
19.9,25.9,57.0,2.7,False
19.7,25.7,58.0,2.0,False
19.7,25.8,58.0,2.0,False
19.7,25.9,58.0,1.8,False
19.7,25.8,58.0,3.9,False
19.6,25.9,59.0,3.0,False
19.8,26.9,58.0,2.9,False
20.0,26.9,58.0,3.2,False
20.0,26.8,58.0,1.7,False
20.0,26.8,57.0,2.5,False
20.1,26.7,57.0,2.5,False
20.2,26.7,57.0,1.7,False
20.3,26.5,57.0,2.2,False
20.0,26.1,57.0,2.5,False
20.0,26.0,57.0,3.0,False
19.9,25.9,57.0,2.7,False
19.7,25.7,58.0,2.0,False
19.7,25.8,58.0,2.0,False
19.7,25.9,58.0,1.8,False
19.7,25.8,58.0,3.9,False
19.6,25.9,59.0,3.0,False
19.8,26.9,58.0,3.2,False
19.8,26.9,58.0,2.0,False
19.8,26.9,58.0,2.9,False
20.0,26.9,58.0,3.2,False
20.0,26.8,57.0,2.5,False
20.0,26.8,57.0,2.5,False
19.9,26.7,57.0,3.0,False
20.0,26.8,58.0,2.5,False
20.1,26.7,57.0,2.5,False
20.2,26.6,57.0,2.2,False
20.3,26.4,57.0,2.7,False
20.0,26.1,57.0,2.5,False
20.0,26.0,57.0,3.0,False
19.9,25.9,57.0,2.7,False
19.7,25.7,58.0,2.0,False
19.7,25.8,58.0,2.0,False
19.7,25.9,58.0,1.8,False
19.7,25.8,58.0,3.9,False
19.6,25.9,59.0,3.0,False
19.8,26.9,58.0,3.2,False
19.8,26.9,58.0,2.0,False
19.9,27.0,57.0,2.7,False
20.0,26.7,58.0,2.7,False
19.9,26.7,57.0,2.5,False
20.0,26.7,58.0,2.2,False
20.1,27.1,57.0,2.7,False
20.1,26.6,57.0,3.5,False
20.2,26.7,57.0,1.7,False
20.3,26.5,57.0,2.2,False
20.0,26.2,57.0,4.0,False
20.0,26.2,57.0,2.2,False
19.9,26.0,57.0,2.7,False
19.7,25.8,58.0,2.5,False
19.7,25.9,58.0,1.7,False
19.8,26.9,58.0,2.7,False
19.8,27.0,58.0,3.2,False
19.8,26.9,58.0,2.0,False
20.0,26.9,58.0,3.2,False
20.0,26.8,58.0,1.7,False
19.9,26.7,57.0,3.0,False
20.0,26.7,58.0,2.2,False
20.1,27.1,57.0,2.7,False
20.1,26.7,57.0,2.5,False
20.2,26.7,57.0,1.7,False
20.3,26.5,57.0,2.2,False
20.0,26.1,57.0,2.5,False
20.0,26.2,57.0,2.2,False
19.9,26.0,57.0,2.7,False
19.7,25.7,58.0,2.0,False
19.7,25.8,58.0,2.0,False
19.7,25.9,58.0,1.8,False
19.7,25.8,58.0,2.7,False
19.8,27.0,58.0,3.2,False
19.8,26.9,58.0,2.9,False
19.9,27.0,57.0,2.7,False
20.0,26.7,58.0,2.7,False
19.9,26.7,57.0,3.0,False
20.0,26.8,58.0,2.5,False
20.1,26.7,57.0,2.5,False
20.2,26.6,57.0,2.2,False
20.3,26.4,57.0,2.7,False
20.0,26.1,57.0,2.5,False
20.0,26.0,57.0,3.0,False
19.8,26.9,58.0,2.0,False
19.9,27.0,57.0,2.7,False
20.0,26.9,58.0,3.2,False
20.0,26.8,58.0,1.7,False
19.9,26.7,57.0,2.5,False
20.0,26.7,58.0,2.2,False
20.1,27.1,57.0,2.7,False
20.2,26.7,57.0,1.7,False
20.2,26.6,57.0,2.2,False
20.3,26.4,57.0,2.7,False
20.0,26.1,57.0,2.5,False
20.0,26.2,57.0,2.2,False
19.8,26.7,57.0,2.4,False
19.8,26.7,58.0,2.0,False
19.8,26.9,58.0,3.2,False
19.8,27.0,58.0,3.2,False
20.0,26.7,58.0,2.7,False
20.0,26.8,58.0,1.7,False
20.0,26.8,57.0,2.5,False
19.9,26.7,57.0,3.0,False
20.0,26.8,58.0,2.5,False
20.1,27.1,58.0,2.0,False
20.1,26.7,57.0,2.5,False
20.2,26.7,57.0,1.7,False
20.3,26.5,57.0,2.2,False
20.0,26.1,57.0,2.5,False
20.0,26.2,57.0,2.2,False
19.8,26.9,58.0,2.0,False
19.9,27.0,57.0,2.7,False
20.0,26.9,58.0,3.2,False
20.0,26.8,58.0,1.7,False
19.9,26.7,57.0,3.0,False
20.0,26.7,58.0,2.2,False
20.1,27.1,57.0,2.7,False
20.2,26.7,57.0,1.7,False
20.2,26.6,57.0,2.2,False
20.3,26.4,57.0,2.7,False
20.0,26.1,57.0,2.5,False
20.0,26.2,57.0,2.2,False
19.8,27.0,58.0,3.2,False
19.8,26.9,58.0,2.9,False
20.0,26.9,58.0,3.2,False
20.0,26.8,58.0,1.7,False
19.9,26.7,57.0,3.0,False
20.0,26.7,58.0,2.2,False
20.1,27.1,57.0,2.7,False
20.1,26.7,57.0,2.5,False
20.2,26.6,57.0,2.2,False
20.3,26.4,57.0,2.7,False
20.0,26.1,57.0,2.5,False
20.0,26.2,57.0,2.2,False
19.8,26.9,58.0,2.9,False
20.0,26.9,58.0,3.2,False
20.0,26.7,58.0,2.7,False
20.1,26.8,57.0,2.7,False
20.0,26.7,58.0,2.2,False
20.0,26.8,58.0,2.5,False
19.8,26.7,57.0,2.4,False
19.8,26.7,58.0,2.0,False
19.8,26.9,58.0,2.7,False
19.8,27.0,58.0,3.2,False
20.0,26.7,58.0,2.7,False
20.0,26.8,58.0,1.7,False
20.0,26.8,57.0,2.5,False
19.9,26.7,57.0,3.0,False
20.0,26.7,58.0,2.2,False
19.8,27.0,58.0,3.2,False
19.8,26.9,58.0,2.9,False
20.0,26.9,58.0,3.2,False
20.0,26.8,58.0,1.7,False
19.9,26.7,57.0,3.0,False
20.0,26.7,58.0,2.2,False
19.8,27.0,58.0,3.2,False
19.8,26.9,58.0,2.0,False
19.9,27.0,57.0,2.7,False
20.0,26.7,58.0,2.7,False
19.9,26.7,57.0,2.5,False
20.0,26.7,58.0,2.2,False
19.8,26.7,57.0,2.4,False
19.8,26.7,58.0,2.0,False
19.8,26.9,58.0,2.7,False
19.9,27.0,57.0,2.7,False
20.0,26.7,58.0,2.7,False
20.1,26.8,57.0,2.7,False
19.9,26.7,57.0,2.5,False
20.0,26.7,58.0,2.2,False
