AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
30.2,39.0,64.0,2.5,False
30.2,39.7,63.0,1.6,False
30.4,40.4,62.0,1.7,False
31.0,44.0,61.0,2.5,False
31.4,46.5,59.0,2.2,False
31.3,46.4,60.0,2.0,False
31.4,46.0,61.0,1.5,False
31.5,46.3,60.0,1.2,False
31.7,46.7,59.0,2.7,False
31.6,46.7,60.0,1.7,False
31.3,45.0,60.0,2.4,False
31.0,44.9,61.0,2.0,False
30.9,45.6,60.0,2.7,False
30.6,45.2,61.0,2.2,False
30.5,45.2,60.0,2.5,False
30.2,45.1,61.0,2.2,False
30.0,44.8,62.0,2.7,False
30.2,45.3,62.0,2.2,False
30.1,43.3,62.0,2.2,False
30.0,42.9,62.0,2.2,False
29.8,42.6,64.0,2.5,False
29.7,42.3,64.0,2.4,False
29.7,42.4,64.0,3.4,False
29.8,42.1,63.0,2.7,False
30.0,42.1,63.0,3.5,False
30.0,42.5,64.0,3.7,False
30.1,44.1,64.0,1.8,False
30.2,44.5,63.0,3.4,False
30.3,46.4,62.0,4.1,False
30.0,45.6,63.0,4.6,False
29.9,43.8,63.0,5.0,False
29.8,43.8,63.0,3.2,False
29.8,44.3,63.0,2.7,False
29.9,44.3,64.0,3.7,False
29.8,43.0,63.0,3.0,False
29.6,42.1,64.0,3.2,False
29.4,41.8,64.0,3.4,False
29.4,41.0,65.0,2.7,False
29.6,41.7,64.0,2.9,False
29.7,42.9,64.0,2.4,False
29.8,41.4,63.0,2.9,False
29.8,41.1,64.0,3.0,False
29.8,40.5,65.0,3.0,False
29.6,40.2,66.0,2.5,False
29.4,40.3,66.0,2.7,False
29.5,39.8,66.0,3.0,False
29.5,40.5,67.0,2.4,False
29.6,40.7,67.0,2.0,False
29.6,39.8,66.0,2.4,False
29.6,39.6,66.0,2.2,False
29.7,39.5,66.0,2.0,False
29.6,38.6,67.0,1.7,False
29.7,39.2,67.0,2.7,False
29.5,38.5,66.0,2.7,False
29.5,38.5,66.0,2.7,False
29.6,39.2,67.0,1.7,False
29.6,39.2,66.0,2.7,False
30.2,39.0,64.0,2.5,False
30.2,39.7,63.0,1.6,False
30.7,42.4,62.0,1.7,False
31.0,44.0,61.0,2.5,False
31.4,46.5,59.0,2.2,False
31.3,46.4,60.0,2.0,False
31.4,46.0,61.0,1.5,False
31.7,48.1,60.0,2.2,False
31.7,46.7,59.0,2.7,False
31.6,46.6,59.0,1.7,False
31.3,45.0,60.0,2.4,False
31.0,44.9,61.0,2.0,False
30.7,45.2,61.0,2.2,False
30.6,45.2,61.0,2.2,False
30.3,46.5,60.0,3.5,False
30.2,45.1,61.0,2.2,False
30.2,45.7,62.0,1.7,False
30.2,44.7,63.0,1.7,False
30.1,43.3,62.0,2.2,False
29.9,42.6,63.0,3.5,False
29.7,42.3,64.0,2.4,False
29.8,42.3,64.0,4.0,False
29.8,42.1,63.0,2.7,False
29.9,42.3,63.0,3.2,False
30.0,42.5,64.0,3.7,False
30.1,44.1,64.0,1.8,False
30.2,44.5,63.0,2.0,False
30.3,46.4,62.0,4.1,False
30.1,46.4,63.0,3.5,False
30.0,45.1,63.0,3.7,False
29.9,43.8,63.0,5.0,False
29.9,45.0,63.0,3.5,False
29.9,44.3,64.0,3.7,False
29.9,44.3,64.0,3.0,False
29.6,42.1,64.0,3.2,False
29.5,41.8,64.0,3.7,False
29.4,41.0,65.0,2.7,False
29.6,41.7,64.0,3.4,False
29.7,42.9,64.0,2.4,False
29.8,41.4,63.0,2.9,False
29.8,41.1,64.0,3.0,False
29.8,40.5,65.0,3.0,False
29.6,40.2,66.0,2.5,False
29.4,40.3,66.0,2.7,False
29.5,39.8,66.0,3.0,False
30.2,39.0,64.0,2.5,False
30.2,39.7,63.0,1.6,False
30.4,40.4,62.0,1.7,False
31.0,44.0,61.0,2.5,False
31.4,46.5,59.0,2.2,False
31.3,46.4,60.0,2.0,False
31.4,46.0,61.0,1.5,False
31.5,46.3,60.0,1.2,False
31.7,46.7,59.0,2.7,False
31.6,46.6,59.0,1.7,False
31.3,45.0,60.0,2.4,False
31.0,44.9,61.0,2.0,False
30.9,45.6,60.0,2.7,False
30.6,45.2,61.0,2.2,False
30.5,45.2,60.0,2.5,False
30.2,45.1,61.0,2.2,False
30.2,45.7,62.0,1.7,False
30.2,45.3,62.0,2.2,False
30.1,43.3,62.0,2.2,False
30.0,42.9,62.0,2.2,False
29.8,42.6,64.0,2.5,False
29.8,42.3,64.0,4.0,False
29.7,42.4,64.0,3.4,False
29.9,42.3,63.0,3.2,False
30.0,42.1,63.0,3.5,False
30.0,43.7,64.0,2.5,False
30.1,44.1,64.0,1.8,False
30.2,44.5,63.0,3.4,False
30.1,46.4,63.0,3.5,False
30.0,45.6,63.0,4.6,False
29.9,43.8,63.0,5.0,False
29.9,45.0,63.0,3.5,False
29.8,44.3,63.0,2.7,False
29.9,44.3,64.0,3.0,False
29.8,43.0,63.0,3.0,False
29.5,41.8,64.0,3.7,False
29.4,41.8,64.0,3.4,False
29.6,41.7,64.0,3.4,False
29.6,41.7,64.0,2.9,False
29.8,42.7,63.0,2.7,False
29.9,41.4,64.0,2.7,False
29.9,41.1,64.0,3.4,False
29.8,40.5,65.0,3.0,False
29.5,40.3,66.0,3.2,False
29.4,40.3,66.0,2.7,False
29.5,39.8,66.0,3.0,False
29.5,40.5,67.0,2.4,False
29.6,40.7,67.0,2.0,False
29.6,39.8,66.0,2.4,False
29.6,39.6,66.0,2.2,False
29.7,39.5,66.0,2.0,False
29.6,38.7,67.0,1.8,False
29.7,39.2,67.0,2.7,False
29.5,38.5,66.0,2.7,False
29.5,38.5,66.0,2.7,False
29.6,39.2,67.0,1.7,False
29.6,39.2,66.0,2.7,False
30.2,39.0,64.0,2.5,False
30.2,39.7,63.0,1.6,False
30.7,42.4,62.0,1.7,False
31.0,44.0,61.0,2.5,False
31.4,46.5,59.0,2.2,False
31.3,46.4,60.0,2.0,False
31.4,46.0,61.0,1.5,False
31.7,48.1,60.0,2.2,False
31.7,46.7,59.0,2.7,False
31.6,46.6,59.0,1.7,False
31.3,45.0,60.0,2.4,False
31.0,44.9,61.0,2.0,False
30.7,45.2,61.0,2.2,False
30.6,45.2,61.0,2.2,False
30.3,46.5,60.0,3.5,False
30.2,45.1,61.0,2.2,False
30.2,45.7,62.0,1.7,False
30.2,44.7,63.0,1.7,False
30.1,43.3,62.0,2.2,False
29.9,42.6,63.0,3.5,False
29.7,42.3,64.0,2.4,False
29.8,42.3,64.0,4.0,False
29.8,42.1,63.0,2.7,False
29.9,42.3,63.0,3.2,False
30.0,42.5,64.0,3.7,False
30.1,44.1,64.0,1.8,False
30.2,44.5,63.0,2.0,False
30.3,46.4,62.0,4.1,False
30.1,46.4,63.0,3.5,False
30.0,45.1,63.0,3.7,False
29.9,43.8,63.0,5.0,False
29.9,45.0,63.0,3.5,False
29.9,44.3,64.0,3.7,False
29.9,44.3,64.0,3.0,False
29.6,42.1,64.0,3.2,False
29.5,41.8,64.0,3.7,False
29.4,41.0,65.0,2.7,False
29.6,41.7,64.0,3.4,False
29.7,42.9,64.0,2.4,False
29.8,41.4,63.0,2.9,False
29.9,41.4,64.0,2.7,False
29.9,41.1,64.0,3.4,False
29.8,40.5,65.0,3.0,False
29.5,40.3,66.0,3.2,False
29.4,40.3,66.0,2.7,False
29.5,39.8,66.0,3.0,False
29.5,40.5,67.0,2.4,False
29.6,40.7,67.0,2.0,False
29.6,39.8,66.0,2.4,False
29.7,39.5,66.0,1.8,False
29.7,39.5,66.0,2.0,False
29.6,38.7,67.0,1.8,False
29.7,39.2,67.0,2.7,False
29.5,38.5,66.0,2.7,False
29.5,38.5,66.0,2.7,False
29.6,39.2,67.0,1.7,False
29.7,39.7,67.0,2.5,False
30.2,39.0,64.0,2.5,False
30.2,39.7,63.0,1.6,False
30.4,40.4,62.0,1.7,False
31.0,44.0,61.0,2.5,False
31.4,46.5,59.0,2.2,False
31.3,46.4,60.0,2.0,False
31.4,46.0,61.0,1.5,False
31.5,46.3,60.0,1.2,False
31.7,46.7,59.0,2.7,False
31.6,46.7,60.0,1.7,False
31.3,45.0,60.0,2.4,False
31.0,44.9,61.0,2.0,False
30.9,45.6,60.0,2.7,False
30.6,45.2,61.0,2.2,False
30.5,45.2,60.0,2.5,False
30.2,45.1,61.0,2.2,False
30.0,44.8,62.0,2.7,False
30.2,45.3,62.0,2.2,False
30.1,43.3,62.0,2.2,False
30.0,42.9,62.0,2.2,False
29.8,42.6,64.0,2.5,False
29.7,42.3,64.0,2.4,False
29.7,42.4,64.0,3.4,False
29.8,42.1,63.0,2.7,False
30.0,42.1,63.0,3.5,False
30.0,43.7,64.0,2.5,False
30.1,44.1,64.0,1.8,False
30.2,44.5,63.0,3.4,False
30.1,46.4,63.0,3.5,False
30.0,45.6,63.0,4.6,False
29.9,43.8,63.0,5.0,False
29.8,43.8,63.0,3.2,False
29.8,44.3,63.0,2.7,False
29.9,44.3,64.0,3.7,False
29.8,43.0,63.0,3.0,False
29.6,42.1,64.0,3.2,False
29.4,41.8,64.0,3.4,False
29.4,41.0,65.0,2.7,False
29.6,41.7,64.0,2.9,False
29.8,42.7,63.0,2.7,False
29.8,41.4,63.0,2.9,False
29.8,41.1,64.0,3.0,False
29.8,40.5,65.0,3.0,False
29.6,40.2,66.0,2.5,False
29.4,40.3,66.0,2.7,False
29.5,39.8,66.0,3.0,False
29.5,40.5,67.0,2.4,False
29.6,40.7,67.0,2.0,False
29.6,39.8,66.0,2.4,False
29.6,39.6,66.0,2.2,False
29.7,39.5,66.0,2.0,False
29.6,38.6,67.0,1.7,False
29.7,39.2,67.0,2.7,False
29.5,38.5,66.0,2.7,False
29.5,38.5,66.0,2.7,False
29.6,39.2,67.0,1.7,False
29.6,39.2,66.0,2.7,False
30.2,39.0,64.0,2.5,False
30.2,39.7,63.0,1.6,False
30.7,42.4,62.0,1.7,False
31.0,44.0,61.0,2.5,False
31.4,46.5,59.0,2.2,False
31.3,46.0,61.0,2.4,False
31.4,46.0,61.0,1.5,False
31.7,48.1,60.0,2.2,False
31.7,46.7,59.0,2.7,False
31.6,46.6,59.0,1.7,False
31.1,44.9,60.0,1.7,False
31.0,44.9,61.0,2.0,False
30.7,45.2,61.0,2.2,False
30.6,45.2,61.0,2.2,False
30.3,46.5,60.0,3.5,False
30.0,44.8,62.0,2.7,False
30.2,45.7,62.0,1.7,False
30.2,44.7,63.0,1.7,False
30.1,43.3,62.0,2.2,False
