AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
25.7,47.3,53.0,0.6,False
25.9,47.1,55.0,0.6,False
25.8,46.5,52.0,0.5,False
26.1,46.4,52.0,0.5,False
26.3,46.4,52.0,0.6,False
26.4,46.3,48.0,0.6,False
26.5,46.7,44.0,0.6,False
26.6,45.9,47.0,0.8,False
26.6,45.6,50.0,0.6,False
26.9,51.2,45.0,1.0,False
27.1,51.2,46.0,0.8,False
27.1,51.2,46.0,0.8,False
27.2,51.0,47.0,2.0,False
27.2,51.0,46.0,1.7,False
27.4,51.0,47.0,0.8,False
27.5,51.2,45.0,0.5,False
27.4,51.5,45.0,0.8,False
27.6,51.8,42.0,2.2,False
27.4,47.8,43.0,1.1,False
27.2,47.5,41.0,1.1,False
26.7,47.4,42.0,1.0,False
26.6,46.6,43.0,0.6,False
26.5,45.6,42.0,0.8,False
26.7,44.7,44.0,0.5,False
25.7,47.3,53.0,0.6,False
25.9,47.1,55.0,0.6,False
25.8,46.5,52.0,0.5,False
26.1,46.4,52.0,0.5,False
26.3,46.4,52.0,0.6,False
26.4,46.3,48.0,0.6,False
26.5,46.7,44.0,0.6,False
26.6,45.9,47.0,0.8,False
26.6,45.6,50.0,0.6,False
26.9,51.2,45.0,1.0,False
27.0,51.0,47.0,0.6,False
27.1,51.2,46.0,0.8,False
27.2,51.0,47.0,2.0,False
27.2,51.0,46.0,1.7,False
27.4,51.0,47.0,0.8,False
27.4,51.3,45.0,0.6,False
27.4,51.2,45.0,0.0,False
27.4,51.5,45.0,0.8,False
27.6,51.8,42.0,2.2,False
27.4,51.3,43.0,1.3,False
27.4,47.8,43.0,1.1,False
27.2,47.5,41.0,1.1,False
26.7,47.0,42.0,0.6,False
26.5,45.6,42.0,0.8,False
26.7,44.7,44.0,0.5,False
25.7,47.3,49.0,0.0,False
25.7,47.3,53.0,0.6,False
25.7,47.0,53.0,0.6,False
25.8,46.5,52.0,0.5,False
26.0,46.4,54.0,0.4,False
26.3,46.4,52.0,0.6,False
26.3,46.2,51.0,0.5,False
26.5,46.7,44.0,0.6,False
26.5,46.7,45.0,1.1,False
26.9,51.2,45.0,1.0,False
27.0,51.0,47.0,0.6,False
27.1,51.2,46.0,0.8,False
27.2,51.0,47.0,1.2,False
27.4,51.0,47.0,0.8,False
27.4,51.0,46.0,1.1,False
27.4,51.5,45.0,0.8,False
27.6,51.8,42.0,2.2,False
27.4,51.3,43.0,1.3,False
27.4,47.8,43.0,1.1,False
26.7,47.4,42.0,1.0,False
26.7,47.0,42.0,0.6,False
26.6,46.6,43.0,0.6,False
26.6,45.7,42.0,1.0,False
26.6,45.3,42.0,0.3,False
26.7,44.7,44.0,0.5,False
25.7,47.3,49.0,0.0,False
25.7,47.3,53.0,0.6,False
25.9,47.1,55.0,0.6,False
25.8,46.5,52.0,0.5,False
26.1,46.4,52.0,0.5,False
26.3,46.4,52.0,0.6,False
26.3,46.2,51.0,0.5,False
26.5,46.7,44.0,0.6,False
26.5,46.7,45.0,1.1,False
26.9,51.2,45.0,1.0,False
27.0,51.0,47.0,0.6,False
27.1,51.2,46.0,0.8,False
27.2,51.0,47.0,2.0,False
27.2,51.0,46.0,1.7,False
27.4,51.0,47.0,0.8,False
27.4,51.5,45.0,0.8,False
27.6,51.8,42.0,2.2,False
27.4,51.3,43.0,1.3,False
27.4,47.8,43.0,1.1,False
26.7,47.4,42.0,1.0,False
26.7,47.0,42.0,0.6,False
26.6,45.7,42.0,1.0,False
26.6,45.6,42.0,0.6,False
26.6,45.3,42.0,0.3,False
26.7,44.7,44.0,0.5,False
25.8,47.2,54.0,0.5,False
25.7,47.3,49.0,0.0,False
25.7,47.0,53.0,0.6,False
25.8,46.5,52.0,0.5,False
26.0,46.4,54.0,0.4,False
26.1,46.4,52.0,0.5,False
26.3,46.2,51.0,0.5,False
26.6,45.9,47.0,0.8,False
26.6,45.6,50.0,0.6,False
26.2,45.0,51.0,1.0,False
25.9,44.9,51.0,0.6,False
25.8,45.0,52.0,0.5,False
26.9,51.2,45.0,1.0,False
27.0,51.0,47.0,0.6,False
27.1,51.2,46.0,0.8,False
27.2,51.0,47.0,2.0,False
27.2,51.0,47.0,1.2,False
27.4,51.3,45.0,0.6,False
27.4,51.2,45.0,0.0,False
27.4,51.5,45.0,0.8,False
27.4,47.8,43.0,1.1,False
26.7,47.4,42.0,1.0,False
26.7,47.0,42.0,0.6,False
26.6,45.7,42.0,1.0,False
26.5,45.6,42.0,0.8,False
26.6,45.3,42.0,0.3,False
25.8,47.2,54.0,0.5,False
25.7,47.3,53.0,0.6,False
25.7,47.0,53.0,0.6,False
25.8,46.5,52.0,0.5,False
26.0,46.4,54.0,0.4,False
26.3,46.4,52.0,0.6,False
