AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
23.8,26.0,55.0,1.7,False
23.9,26.1,55.0,2.2,False
23.6,25.6,56.0,3.7,False
23.6,25.6,57.0,2.7,False
23.6,25.6,57.0,1.3,False
23.8,26.1,56.0,2.0,False
23.8,25.9,57.0,2.2,False
23.8,26.0,57.0,1.6,False
23.4,25.6,58.0,3.7,False
23.5,25.5,58.0,3.4,False
23.2,24.8,62.0,2.5,False
23.2,24.9,62.0,2.7,False
23.3,24.9,62.0,2.2,False
23.3,25.0,61.0,2.7,False
23.2,24.8,61.0,2.2,False
23.2,24.8,62.0,2.9,False
23.2,24.7,62.0,2.7,False
23.2,24.7,62.0,3.0,False
23.2,24.7,62.0,2.4,False
23.7,25.9,55.0,2.5,False
23.8,25.8,55.0,3.0,False
23.8,26.1,55.0,3.2,False
23.6,25.6,56.0,3.7,False
23.6,25.6,57.0,2.7,False
23.8,25.8,56.0,1.8,False
23.8,26.1,56.0,2.0,False
23.4,25.6,58.0,3.4,False
23.4,25.6,58.0,3.7,False
23.6,25.6,58.0,3.0,False
23.2,24.9,62.0,3.0,False
23.2,24.8,62.0,2.5,False
23.3,24.9,62.0,2.2,False
23.3,25.0,62.0,2.7,False
23.4,25.0,61.0,2.9,False
23.2,24.8,62.0,3.0,False
23.2,24.8,61.0,3.7,False
23.2,24.7,62.0,2.2,False
23.3,24.8,62.0,2.2,False
23.2,24.7,62.0,3.0,False
23.2,24.7,62.0,2.7,False
23.2,24.7,62.0,3.2,False
23.7,25.9,55.0,2.5,False
23.8,25.8,55.0,3.0,False
23.8,26.1,55.0,3.2,False
23.6,25.6,56.0,3.7,False
23.6,25.6,57.0,2.7,False
23.8,25.8,56.0,1.8,False
23.8,26.1,56.0,2.0,False
23.4,25.6,58.0,3.4,False
23.5,25.5,58.0,3.4,False
23.6,25.6,58.0,3.0,False
23.6,25.5,57.0,3.5,False
23.2,24.9,62.0,3.0,False
23.2,24.8,62.0,2.5,False
23.2,24.9,62.0,2.9,False
23.3,24.9,62.0,2.2,False
23.3,25.0,61.0,2.7,False
23.2,24.8,61.0,2.2,False
23.2,24.8,61.0,3.7,False
23.2,24.7,62.0,2.2,False
23.3,24.8,62.0,2.2,False
23.2,24.7,62.0,3.0,False
23.2,24.7,62.0,2.7,False
23.8,25.8,55.0,3.0,False
23.8,26.1,55.0,3.2,False
23.6,25.6,56.0,3.7,False
23.7,25.6,56.0,2.9,False
23.6,25.6,57.0,1.3,False
23.8,26.1,56.0,2.0,False
23.8,25.9,57.0,2.2,False
23.8,26.0,57.0,1.6,False
23.4,25.6,58.0,3.7,False
23.6,25.6,58.0,3.0,False
23.6,25.6,57.0,2.7,False
23.2,24.9,62.0,3.0,False
23.2,24.9,62.0,2.7,False
23.3,24.9,62.0,2.2,False
23.3,25.0,61.0,2.7,False
23.2,24.8,62.0,3.0,False
23.2,24.8,61.0,3.7,False
23.2,24.7,62.0,2.2,False
23.3,24.9,62.0,2.5,False
23.2,24.8,61.0,2.7,False
23.2,24.7,62.0,3.0,False
23.2,24.7,62.0,2.4,False
23.6,25.6,56.0,3.7,False
23.6,25.6,57.0,2.7,False
23.6,25.6,57.0,1.3,False
23.8,26.1,56.0,1.8,False
23.8,25.9,57.0,2.2,False
23.8,26.0,57.0,1.6,False
23.8,25.9,57.0,2.2,False
23.8,26.0,57.0,2.5,False
23.4,25.5,58.0,2.7,False
23.4,25.6,58.0,3.7,False
23.2,24.9,62.0,3.0,False
23.2,24.9,62.0,2.7,False
23.3,24.9,62.0,2.2,False
23.3,25.0,62.0,2.7,False
23.4,25.0,61.0,2.9,False
23.2,24.8,61.0,2.2,False
23.2,24.8,61.0,3.7,False
23.2,24.7,62.0,2.2,False
23.2,24.7,62.0,2.7,False
23.7,25.9,55.0,2.5,False
23.7,25.9,55.0,3.0,False
