AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
36.6,49.3,7.0,3.2,False
36.7,49.4,7.0,2.7,False
36.7,49.4,7.0,2.9,False
36.9,49.4,6.0,4.4,False
37.0,49.5,6.0,3.2,False
37.0,49.3,6.0,2.9,False
36.9,49.5,6.0,3.5,False
37.0,49.5,6.0,3.2,False
37.0,49.5,6.0,3.2,False
37.0,49.6,6.0,2.5,False
37.0,49.7,6.0,4.3,False
37.0,49.7,6.0,4.4,False
37.0,49.7,6.0,3.2,False
36.9,49.7,6.0,3.9,False
36.8,49.7,5.0,4.5,False
36.7,49.7,6.0,4.5,False
36.7,49.7,6.0,2.5,False
36.9,49.7,6.0,3.2,False
37.2,49.7,5.0,3.5,False
37.1,49.7,6.0,2.5,False
37.1,49.7,5.0,3.9,False
37.1,49.0,6.0,2.5,False
37.0,49.0,6.0,2.5,False
37.1,49.4,6.0,4.3,False
37.0,49.4,6.0,2.7,False
37.0,49.4,6.0,2.2,False
37.0,49.4,7.0,1.0,False
37.0,49.4,6.0,3.4,False
37.0,49.4,7.0,3.5,False
37.2,49.3,6.0,4.3,False
37.2,49.3,6.0,4.3,False
37.1,49.5,6.0,2.2,False
37.1,49.5,6.0,4.6,False
36.7,49.3,6.0,4.5,False
36.7,49.2,7.0,2.9,False
36.6,49.1,7.0,3.0,False
36.6,49.0,7.0,3.0,False
36.8,49.3,7.0,3.5,False
36.9,49.1,7.0,3.7,False
36.7,49.1,7.0,3.7,False
36.8,49.0,8.0,3.2,False
36.6,49.0,8.0,3.5,False
36.6,49.0,7.0,3.0,False
36.6,48.7,8.0,2.5,False
36.6,49.1,8.0,2.4,False
36.7,49.1,8.0,3.0,False
36.8,49.0,7.0,2.9,False
36.8,49.0,7.0,2.7,False
36.6,49.0,8.0,1.7,False
36.5,49.0,8.0,1.3,False
36.9,48.8,7.0,3.2,False
36.9,48.8,7.0,3.4,False
36.9,48.9,7.0,3.7,False
36.7,48.8,7.0,2.7,False
36.6,48.5,8.0,2.0,False
36.5,48.3,9.0,2.5,False
36.5,48.3,9.0,2.2,False
36.3,48.4,8.0,3.5,False
36.3,48.4,7.0,5.5,False
36.3,48.3,9.0,2.7,False
36.4,48.2,9.0,2.7,False
36.5,47.9,9.0,3.2,False
36.5,48.0,9.0,4.5,False
36.5,48.0,8.0,4.3,False
36.5,47.9,8.0,2.7,False
36.4,48.1,7.0,4.3,False
36.6,49.3,7.0,3.2,False
36.7,49.4,7.0,2.7,False
36.9,49.4,6.0,3.5,False
36.9,49.4,6.0,4.4,False
37.0,49.5,6.0,3.2,False
37.0,49.3,6.0,2.9,False
36.9,49.5,6.0,3.5,False
37.0,49.5,6.0,3.2,False
37.0,49.5,6.0,3.2,False
37.0,49.6,6.0,2.5,False
37.0,49.7,6.0,4.3,False
37.0,49.7,6.0,4.4,False
37.0,49.7,6.0,3.2,False
36.9,49.7,6.0,3.9,False
36.8,49.7,6.0,3.5,False
36.7,49.7,6.0,4.5,False
36.6,49.7,6.0,3.2,False
36.9,49.7,6.0,3.2,False
37.1,49.7,5.0,3.4,False
37.1,49.7,6.0,2.5,False
37.1,49.7,5.0,3.9,False
37.1,49.0,6.0,2.5,False
37.0,49.0,6.0,2.5,False
37.1,49.4,6.0,4.3,False
37.0,49.4,6.0,2.7,False
37.0,49.4,6.0,2.2,False
37.0,49.4,7.0,1.0,False
37.0,49.4,6.0,3.4,False
37.0,49.4,7.0,3.5,False
37.2,49.3,6.0,4.3,False
37.2,49.3,6.0,4.3,False
37.1,49.5,6.0,2.2,False
37.1,49.5,6.0,4.6,False
36.7,49.3,6.0,4.5,False
36.7,49.2,7.0,2.9,False
36.6,49.1,7.0,3.0,False
36.6,49.0,7.0,3.0,False
36.8,49.3,7.0,3.5,False
36.9,49.1,7.0,3.7,False
36.8,49.1,8.0,2.0,False
36.8,49.0,8.0,3.2,False
36.6,49.0,7.0,3.7,False
36.6,49.0,7.0,3.0,False
36.6,48.9,8.0,3.2,False
36.6,49.1,8.0,2.4,False
36.7,49.1,8.0,3.0,False
36.8,49.0,7.0,2.9,False
36.8,49.0,7.0,2.7,False
36.6,49.0,8.0,1.7,False
36.5,49.0,8.0,1.3,False
36.9,48.8,7.0,3.2,False
36.9,48.8,7.0,3.4,False
36.9,48.9,7.0,3.7,False
36.7,48.8,7.0,2.7,False
36.6,48.4,8.0,2.2,False
36.5,48.3,9.0,2.5,False
36.4,48.4,8.0,2.0,False
36.3,48.4,8.0,3.5,False
36.3,48.3,8.0,4.5,False
36.3,48.3,9.0,2.7,False
36.4,48.2,9.0,2.7,False
36.5,47.9,9.0,3.2,False
36.5,48.0,9.0,4.5,False
36.4,48.0,8.0,3.2,False
36.5,47.9,8.0,2.7,False
36.4,48.1,7.0,4.1,False
36.6,49.3,7.0,3.2,False
36.7,49.4,7.0,2.7,False
36.7,49.4,7.0,2.9,False
36.9,49.4,6.0,4.4,False
37.0,49.5,6.0,3.2,False
37.0,49.3,6.0,2.9,False
36.9,49.5,6.0,3.5,False
37.0,49.5,6.0,3.2,False
37.0,49.5,6.0,3.2,False
