AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
19.2,26.9,94.0,0.6,False
19.2,27.1,94.0,0.5,False
19.2,27.3,94.0,0.8,False
19.1,27.4,94.0,1.1,False
19.1,27.0,94.0,1.7,False
19.2,27.1,94.0,1.2,False
19.2,27.3,94.0,1.2,False
19.2,27.3,94.0,1.2,False
19.2,27.3,94.0,1.7,False
19.2,27.1,94.0,1.5,False
19.2,27.2,94.0,1.5,False
19.2,27.2,94.0,2.2,False
19.2,27.1,94.0,1.6,False
19.2,26.9,94.0,1.3,False
19.1,27.1,94.0,0.8,False
19.2,27.2,94.0,1.0,False
19.2,27.4,93.0,1.1,False
19.2,27.4,93.0,1.1,False
19.3,27.4,94.0,0.8,False
19.2,27.5,94.0,0.6,False
19.2,27.3,93.0,0.0,False
19.2,27.2,93.0,0.6,False
19.2,27.5,93.0,1.2,False
19.2,27.0,94.0,0.6,True
19.3,26.2,93.0,0.8,True
19.2,26.3,93.0,1.7,True
19.2,27.3,94.0,0.8,False
19.1,27.4,94.0,1.1,False
19.1,27.0,94.0,1.3,False
19.2,27.1,94.0,1.2,False
19.2,27.3,94.0,1.2,False
19.2,27.3,94.0,1.7,False
19.1,27.2,94.0,1.6,False
19.2,27.2,94.0,1.3,False
19.2,27.2,94.0,1.5,False
19.2,27.2,94.0,2.2,False
19.1,26.9,94.0,1.3,False
19.2,26.9,94.0,1.3,False
19.1,27.1,94.0,0.8,False
19.2,27.3,94.0,1.6,False
19.2,27.4,93.0,1.1,False
19.2,27.4,93.0,1.1,False
19.3,27.4,94.0,0.8,False
19.2,27.5,93.0,0.8,False
19.2,27.3,93.0,0.0,False
19.2,27.2,93.0,0.6,False
19.2,27.0,93.0,1.1,False
19.3,26.2,93.0,0.8,True
19.2,26.3,93.0,1.7,True
19.2,27.1,94.0,0.6,False
19.1,27.4,94.0,1.1,False
19.1,27.0,94.0,1.7,False
19.2,27.1,94.0,1.2,False
19.2,27.2,94.0,0.8,False
19.2,27.3,94.0,1.2,False
19.2,27.3,94.0,1.7,False
19.2,27.1,94.0,0.6,False
19.2,27.2,94.0,1.3,False
19.2,27.2,94.0,1.5,False
19.2,27.2,94.0,2.2,False
19.1,26.9,94.0,1.3,False
19.2,27.2,94.0,1.0,False
19.2,27.3,94.0,1.6,False
19.2,27.4,93.0,1.1,False
19.2,27.4,94.0,0.8,False
19.2,27.5,93.0,0.8,False
19.2,27.5,93.0,1.2,False
19.2,27.5,94.0,0.6,False
19.2,27.2,93.0,0.6,False
19.2,27.5,93.0,1.2,False
19.2,27.0,93.0,1.1,False
19.2,26.3,93.0,1.7,True
19.2,26.4,93.0,1.8,True
19.2,27.1,94.0,0.5,False
19.2,27.1,94.0,0.6,False
19.1,27.4,94.0,1.1,False
19.1,27.0,94.0,1.7,False
19.2,27.1,94.0,1.2,False
