AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
27.5,41.3,39.0,1.0,False
27.3,41.1,39.0,0.4,False
27.4,41.5,39.0,0.6,False
27.4,41.5,39.0,1.2,False
27.0,40.1,40.0,0.8,False
26.8,40.1,41.0,1.1,False
26.7,39.8,41.0,0.4,False
26.8,40.3,40.0,1.7,False
26.9,39.9,40.0,1.7,False
26.7,39.5,41.0,1.0,False
26.5,39.1,41.0,0.8,False
26.5,39.0,41.0,1.5,False
26.5,39.2,42.0,0.6,False
26.3,38.5,44.0,0.6,False
26.2,38.5,44.0,0.8,False
26.2,37.9,44.0,1.1,False
26.3,38.3,43.0,0.3,False
26.3,38.2,44.0,0.4,False
26.2,37.8,44.0,0.8,False
26.0,37.6,45.0,0.8,False
26.0,37.5,46.0,0.5,False
26.0,37.4,46.0,0.4,False
25.9,36.9,46.0,0.5,False
25.8,36.9,46.0,0.0,False
27.4,41.3,40.0,0.6,False
27.3,41.1,39.0,0.4,False
27.4,41.5,39.0,0.6,False
27.4,41.5,39.0,1.2,False
27.0,40.1,40.0,0.8,False
26.8,40.1,41.0,1.1,False
26.7,39.8,41.0,0.4,False
26.8,40.3,40.0,1.7,False
26.9,39.9,40.0,1.7,False
26.8,39.6,40.0,1.7,False
26.7,39.5,41.0,1.0,False
26.3,38.5,44.0,0.6,False
26.3,38.2,44.0,0.5,False
26.2,37.9,44.0,1.1,False
26.4,38.6,43.0,1.0,False
26.3,38.2,44.0,0.4,False
26.2,37.8,44.0,0.8,False
26.1,37.8,46.0,0.6,False
26.1,38.2,45.0,0.8,False
26.1,38.5,45.0,0.8,False
26.1,37.9,44.0,1.3,False
26.0,37.6,45.0,0.8,False
26.0,37.5,46.0,0.5,False
26.0,37.4,46.0,0.4,False
25.8,36.9,46.0,0.0,False
25.8,37.3,46.0,0.8,False
27.4,41.3,40.0,0.6,False
27.3,41.1,39.0,0.4,False
27.4,41.5,39.0,0.6,False
27.4,41.5,39.0,1.2,False
27.0,40.1,40.0,0.8,False
26.8,40.1,41.0,1.1,False
26.7,39.8,41.0,0.4,False
26.8,40.3,40.0,1.7,False
26.9,39.9,40.0,1.7,False
26.8,39.6,40.0,1.7,False
26.7,39.5,41.0,1.0,False
26.2,38.5,44.0,0.8,False
26.3,38.2,44.0,0.5,False
26.3,38.2,44.0,1.5,False
26.3,38.3,43.0,0.3,False
26.3,38.2,44.0,0.4,False
26.3,37.8,45.0,0.4,False
26.1,38.5,45.0,0.8,False
26.1,38.5,45.0,0.3,False
26.1,37.9,44.0,1.6,False
26.0,37.6,45.0,0.8,False
26.0,37.5,46.0,0.5,False
26.0,37.4,46.0,0.4,False
25.8,36.9,46.0,0.0,False
25.8,37.3,46.0,0.8,False
27.4,41.3,40.0,0.6,False
27.3,41.1,39.0,0.4,False
27.4,41.5,39.0,0.6,False
27.4,41.5,39.0,1.2,False
27.0,40.1,40.0,0.8,False
26.9,40.1,40.0,0.8,False
26.8,40.1,41.0,1.1,False
26.8,39.6,41.0,0.5,False
26.9,39.9,40.0,1.7,False
26.7,39.5,41.0,1.0,False
26.5,39.1,41.0,0.8,False
26.5,39.0,41.0,1.5,False
26.5,39.0,41.0,0.4,False
26.2,38.5,44.0,0.8,False
26.3,38.2,44.0,0.5,False
26.2,37.9,44.0,1.1,False
26.1,38.5,45.0,0.8,False
26.1,37.9,44.0,1.3,False
26.0,37.6,45.0,0.8,False
26.0,37.5,46.0,0.5,False
26.0,37.4,46.0,0.4,False
25.8,36.9,46.0,0.0,False
25.8,37.3,46.0,0.8,False
27.4,41.3,40.0,0.6,False
27.4,41.5,39.0,0.6,False
27.4,41.5,39.0,1.0,False
27.4,41.5,39.0,1.2,False
27.0,40.1,40.0,0.8,False
26.8,40.1,41.0,1.1,False
26.7,39.8,41.0,0.4,False
26.8,39.6,41.0,0.5,False
26.8,40.3,40.0,1.5,False
26.9,39.9,40.0,1.7,False
26.5,39.1,41.0,0.8,False
26.5,39.0,41.0,1.5,False
26.2,38.5,44.0,0.8,False
26.3,38.2,44.0,0.5,False
26.2,37.9,44.0,1.1,False
26.2,37.8,44.0,0.8,False
26.3,37.8,45.0,0.4,False
26.1,37.7,45.0,0.8,False
26.1,38.5,45.0,0.8,False
26.1,38.5,45.0,0.3,False
26.0,37.4,45.0,1.2,False
26.0,37.6,45.0,1.2,False
26.0,37.6,45.0,1.0,False
25.8,36.9,46.0,0.0,False
25.8,37.3,46.0,0.8,False
27.5,41.3,39.0,1.0,False
27.4,41.3,40.0,0.6,False
27.4,41.5,39.0,0.6,False
27.4,41.5,39.0,1.0,False
26.8,39.6,41.0,0.5,False
26.8,40.3,40.0,1.5,False
26.9,39.9,40.0,1.7,False
26.7,39.5,41.0,1.0,False
26.5,39.1,41.0,0.8,False
26.5,39.0,41.0,1.5,False
26.5,39.0,41.0,0.4,False
26.2,38.5,44.0,0.8,False
26.3,38.2,44.0,0.5,False
26.3,38.2,44.0,1.5,False
26.3,38.3,43.0,0.3,False
26.3,38.2,44.0,0.4,False
26.2,37.8,44.0,0.8,False
26.1,38.5,45.0,0.8,False
26.1,38.5,45.0,0.3,False
26.1,37.9,44.0,1.3,False
26.0,37.6,45.0,0.8,False
26.0,37.5,46.0,0.5,False
26.0,37.4,45.0,1.2,False
25.9,36.9,46.0,0.5,False
25.8,36.9,46.0,0.0,False
27.5,41.3,39.0,1.0,False
27.3,41.1,39.0,0.4,False
27.4,41.5,39.0,0.6,False
27.4,41.5,39.0,1.0,False
27.0,40.1,40.0,0.8,False
26.9,40.1,40.0,0.8,False
26.8,40.1,41.0,1.1,False
26.8,39.6,41.0,0.5,False
26.9,39.9,40.0,1.7,False
26.8,39.6,40.0,1.7,False
26.6,39.2,41.0,1.2,False
26.5,39.1,41.0,0.8,False
