AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
24.9,43.4,49.0,0.8,False
25.0,43.3,50.0,2.2,False
25.0,43.1,49.0,1.3,False
24.9,43.1,49.0,1.0,False
25.0,43.2,50.0,0.8,False
25.0,43.3,49.0,1.0,False
24.8,42.3,49.0,0.6,False
24.8,41.7,51.0,0.8,False
25.0,42.0,50.0,0.6,False
25.0,42.4,50.0,0.8,False
25.2,42.7,48.0,0.8,False
25.0,40.9,50.0,1.2,False
24.8,41.0,51.0,1.2,False
25.0,41.7,50.0,1.0,False
25.1,42.8,49.0,1.8,False
25.0,43.0,48.0,0.5,False
25.1,42.5,48.0,1.2,False
25.1,42.6,48.0,1.0,False
25.1,42.0,48.0,1.3,False
25.2,41.2,48.0,1.0,False
25.4,41.0,47.0,0.6,False
25.4,40.8,48.0,1.0,False
25.4,41.4,47.0,0.0,False
25.4,40.3,48.0,0.8,False
25.3,40.9,48.0,1.3,False
25.4,40.5,48.0,0.6,False
25.5,40.5,48.0,1.6,False
25.5,40.5,48.0,0.8,False
25.6,41.3,46.0,1.8,False
25.6,40.9,48.0,1.2,False
25.5,40.7,47.0,0.8,False
25.5,40.7,48.0,0.8,False
25.4,40.3,47.0,1.1,False
25.5,40.1,47.0,1.0,False
25.5,39.8,47.0,1.0,False
25.4,39.4,47.0,0.6,False
25.4,38.9,48.0,1.2,False
25.4,38.8,48.0,1.0,False
25.3,38.8,48.0,1.3,False
25.3,39.1,47.0,0.8,False
25.5,38.0,48.0,0.8,False
25.4,38.0,48.0,0.8,False
25.2,38.0,48.0,0.8,False
25.3,37.5,48.0,0.8,False
25.3,37.3,47.0,1.0,False
25.2,37.0,48.0,1.1,False
25.1,36.5,48.0,1.0,False
25.0,36.2,49.0,2.0,False
24.8,35.8,50.0,1.6,False
24.8,35.6,50.0,1.2,False
24.8,35.1,51.0,1.3,False
24.9,43.4,49.0,0.8,False
25.0,43.3,50.0,2.2,False
25.0,43.1,49.0,1.3,False
24.9,43.1,49.0,1.0,False
25.0,43.2,50.0,0.8,False
24.8,43.3,49.0,0.6,False
24.8,41.6,50.0,1.5,False
25.0,41.7,50.0,0.8,False
25.0,42.0,50.0,0.6,False
25.0,42.4,50.0,0.8,False
25.2,42.6,49.0,0.8,False
24.8,41.0,51.0,1.3,False
24.8,41.0,51.0,1.2,False
25.0,41.7,50.0,1.0,False
25.1,42.8,49.0,1.8,False
25.0,43.0,48.0,0.5,False
25.1,42.5,48.0,1.2,False
25.1,42.6,48.0,1.0,False
25.2,41.9,48.0,1.3,False
25.2,41.2,48.0,1.0,False
25.4,41.0,47.0,0.6,False
25.4,40.8,48.0,1.0,False
25.5,40.6,48.0,1.2,False
25.3,40.4,48.0,1.2,False
25.3,40.9,47.0,1.2,False
25.4,40.5,48.0,0.6,False
25.6,40.5,48.0,1.2,False
25.5,40.5,47.0,0.5,False
25.6,41.0,47.0,1.3,False
25.5,40.7,47.0,0.8,False
25.5,40.9,47.0,1.2,False
25.4,40.7,47.0,0.6,False
25.5,40.1,47.0,0.6,False
25.5,39.8,47.0,1.0,False
25.4,39.4,48.0,1.0,False
25.5,39.4,48.0,0.8,False
25.4,39.1,48.0,0.8,False
25.3,38.8,48.0,1.3,False
25.3,39.1,47.0,0.8,False
25.5,38.9,47.0,1.5,False
25.4,37.6,48.0,0.5,False
25.2,38.0,48.0,0.8,False
25.3,37.5,48.0,0.8,False
25.3,37.5,48.0,1.1,False
25.3,37.1,47.0,0.8,False
25.1,36.5,48.0,1.0,False
25.0,36.2,49.0,2.0,False
24.8,35.8,50.0,1.6,False
24.8,35.6,50.0,1.1,False
24.8,35.1,51.0,1.3,False
24.7,35.1,51.0,1.7,False
24.9,43.4,49.0,0.8,False
25.0,43.3,50.0,2.2,False
25.0,43.1,49.0,1.3,False
24.9,43.1,49.0,1.0,False
25.0,43.2,50.0,0.8,False
25.0,43.3,49.0,1.0,False
24.8,42.3,49.0,0.6,False
24.8,41.7,51.0,0.8,False
25.0,42.0,50.0,0.6,False
25.0,42.4,50.0,0.8,False
25.2,42.7,48.0,0.8,False
25.0,40.9,50.0,1.2,False
24.8,41.0,51.0,1.2,False
25.0,41.7,50.0,1.0,False
25.1,42.8,49.0,1.8,False
25.0,43.0,48.0,0.5,False
25.1,42.5,48.0,1.2,False
25.1,42.6,48.0,1.0,False
25.1,42.0,48.0,1.3,False
25.2,41.2,48.0,1.0,False
25.4,41.0,47.0,0.6,False
25.4,40.8,48.0,1.0,False
25.4,41.4,47.0,0.0,False
25.4,40.3,48.0,0.8,False
25.3,40.9,48.0,1.3,False
25.4,40.5,48.0,0.6,False
25.5,40.5,48.0,1.6,False
25.5,40.5,48.0,0.8,False
25.6,41.3,46.0,1.8,False
25.6,40.9,48.0,1.2,False
25.5,40.7,47.0,0.8,False
25.5,40.7,48.0,0.8,False
25.4,40.3,47.0,1.1,False
25.5,40.1,47.0,1.0,False
25.5,39.8,47.0,1.0,False
25.4,39.4,47.0,0.6,False
25.4,38.9,48.0,1.2,False
25.4,38.8,48.0,1.0,False
25.3,38.8,48.0,1.3,False
25.3,39.1,47.0,0.8,False
25.5,38.0,48.0,0.8,False
25.4,38.0,48.0,0.8,False
25.2,38.0,48.0,0.8,False
25.3,37.5,48.0,0.8,False
25.3,37.3,47.0,1.0,False
25.2,37.0,48.0,1.1,False
25.1,36.5,48.0,1.0,False
25.0,36.2,49.0,2.0,False
24.8,35.8,50.0,1.6,False
24.8,35.6,50.0,1.2,False
24.8,35.1,51.0,1.3,False
24.9,43.4,49.0,0.8,False
25.0,43.3,50.0,2.2,False
25.0,43.1,49.0,1.3,False
24.9,43.1,49.0,1.0,False
25.0,43.2,50.0,0.8,False
25.0,43.3,49.0,1.0,False
24.8,42.3,49.0,0.6,False
24.8,41.7,51.0,0.8,False
25.0,42.0,50.0,0.6,False
25.0,42.4,50.0,0.8,False
25.2,42.7,48.0,0.8,False
25.0,40.9,50.0,1.2,False
24.8,41.0,51.0,1.2,False
25.0,41.7,50.0,1.0,False
25.1,42.8,49.0,1.8,False
25.0,43.0,48.0,0.5,False
25.1,42.5,48.0,1.2,False
25.1,42.6,48.0,1.0,False
25.1,42.0,48.0,1.3,False
25.2,41.2,48.0,1.0,False
25.4,41.0,47.0,0.6,False
25.4,40.8,48.0,1.0,False
25.4,41.4,47.0,0.0,False
25.4,40.3,48.0,0.8,False
25.3,40.9,48.0,1.3,False
25.4,40.5,48.0,0.6,False
25.6,40.5,48.0,1.2,False
25.5,40.5,48.0,0.8,False
25.6,41.3,46.0,1.8,False
25.6,40.9,48.0,1.2,False
25.5,40.9,47.0,1.2,False
25.5,40.7,48.0,0.8,False
25.4,40.3,47.0,1.1,False
25.5,40.1,47.0,1.0,False
25.4,39.4,48.0,1.0,False
25.4,39.4,47.0,0.6,False
25.4,38.9,48.0,1.2,False
25.4,38.8,48.0,1.0,False
25.3,38.8,48.0,1.0,False
25.3,39.1,47.0,0.8,False
25.5,38.0,48.0,0.8,False
25.4,38.0,48.0,0.8,False
25.2,37.7,48.0,1.0,False
25.3,37.5,48.0,0.8,False
25.3,37.3,47.0,1.0,False
25.2,37.0,48.0,1.1,False
25.0,36.5,49.0,1.2,False
25.0,36.2,49.0,2.0,False
24.8,35.8,50.0,1.6,False
24.8,35.6,50.0,1.2,False
24.7,35.1,51.0,1.7,False
24.9,43.4,49.0,0.8,False
25.0,43.3,50.0,2.2,False
25.0,43.1,49.0,1.3,False
24.9,43.1,49.0,1.0,False
25.0,43.2,50.0,0.8,False
25.0,43.3,49.0,1.0,False
24.8,42.3,49.0,0.6,False
24.8,41.7,51.0,0.8,False
25.0,42.0,50.0,0.6,False
25.0,42.4,50.0,0.8,False
25.2,42.7,48.0,0.8,False
25.0,40.9,50.0,1.2,False
24.8,41.0,51.0,1.2,False
25.0,41.7,50.0,1.0,False
25.1,42.8,49.0,1.8,False
25.0,43.0,48.0,0.5,False
25.1,42.5,48.0,1.2,False
25.1,42.6,48.0,1.0,False
25.1,42.0,48.0,1.3,False
25.2,41.2,48.0,1.0,False
25.4,41.0,47.0,0.6,False
25.4,40.8,48.0,1.0,False
25.4,41.4,47.0,0.0,False
25.4,40.3,48.0,0.8,False
25.3,40.9,48.0,1.3,False
25.4,40.5,48.0,0.6,False
25.5,40.5,48.0,1.6,False
25.5,40.5,48.0,0.8,False
25.6,41.3,46.0,1.8,False
25.6,40.9,48.0,1.2,False
25.5,40.9,47.0,1.2,False
25.5,40.7,48.0,0.8,False
25.4,40.3,47.0,1.1,False
25.5,40.1,47.0,1.0,False
25.4,39.4,48.0,1.0,False
25.4,39.4,47.0,0.6,False
25.4,38.9,48.0,1.2,False
25.4,38.8,48.0,1.0,False
25.3,38.8,48.0,1.0,False
25.3,39.1,47.0,0.8,False
25.5,38.0,48.0,0.8,False
25.4,38.0,48.0,0.8,False
25.2,37.7,48.0,1.0,False
25.3,37.5,48.0,0.8,False
25.3,37.3,47.0,1.0,False
25.2,37.0,48.0,1.1,False
25.0,36.5,49.0,1.2,False
25.0,36.2,49.0,2.0,False
24.8,35.8,50.0,1.6,False
24.8,35.6,50.0,1.2,False
24.7,35.1,51.0,1.7,False
24.9,43.4,49.0,0.8,False
25.0,43.3,50.0,2.2,False
25.0,43.1,49.0,1.3,False
24.9,43.1,49.0,1.0,False
25.0,43.2,50.0,0.8,False
25.0,43.3,49.0,1.0,False
24.8,42.3,49.0,0.6,False
24.8,41.7,51.0,0.8,False
25.0,42.0,50.0,0.6,False
25.0,42.4,50.0,0.8,False
25.2,42.7,48.0,0.8,False
25.0,40.9,50.0,1.2,False
24.8,41.0,51.0,1.2,False
25.0,41.7,50.0,1.0,False
25.1,42.8,49.0,1.8,False
25.0,43.0,48.0,0.5,False
25.1,42.5,48.0,1.2,False
25.1,42.6,48.0,1.0,False
25.1,42.0,48.0,1.3,False
25.2,41.2,48.0,1.0,False
25.4,41.0,47.0,0.6,False
25.4,40.8,48.0,1.0,False
25.5,40.6,48.0,1.2,False
25.4,40.3,48.0,0.8,False
25.3,40.9,48.0,1.3,False
25.4,40.5,48.0,0.6,False
25.6,40.5,48.0,1.2,False
25.5,40.5,48.0,0.8,False
25.6,41.3,46.0,1.8,False
25.6,40.9,48.0,1.2,False
25.5,40.9,47.0,1.2,False
25.4,40.7,47.0,0.6,False
25.4,40.3,47.0,1.1,False
25.5,40.1,47.0,1.0,False
25.4,39.4,48.0,1.0,False
25.5,39.4,48.0,0.8,False
25.4,38.9,48.0,1.2,False
25.4,38.8,48.0,1.0,False
25.3,38.8,48.0,1.0,False
25.5,38.9,47.0,1.5,False
25.4,37.6,48.0,0.5,False
25.4,38.0,48.0,0.8,False
25.2,37.7,48.0,1.0,False
25.3,37.5,48.0,1.1,False
25.3,37.1,47.0,0.8,False
25.2,37.0,48.0,1.1,False
25.0,36.5,49.0,1.2,False
24.9,35.8,50.0,1.6,False
24.8,35.6,50.0,1.1,False
24.8,35.6,50.0,1.2,False
24.7,35.1,51.0,1.7,False
24.9,43.4,49.0,0.8,False
25.0,43.3,50.0,2.2,False
25.0,43.1,49.0,1.3,False
24.9,43.1,49.0,1.0,False
25.0,43.2,50.0,0.8,False
24.8,43.3,49.0,0.6,False
24.8,42.3,49.0,0.6,False
24.8,41.7,51.0,0.8,False
25.0,42.0,50.0,0.6,False
25.0,42.4,50.0,0.8,False
25.2,42.6,49.0,0.8,False
24.8,41.0,51.0,1.3,False
24.8,41.0,51.0,1.2,False
25.0,41.7,50.0,1.0,False
25.1,42.8,49.0,1.8,False
25.0,43.0,48.0,0.5,False
25.1,42.5,48.0,1.2,False
25.1,42.6,48.0,1.0,False
25.2,41.9,48.0,1.3,False
25.2,41.2,48.0,1.0,False
25.4,41.0,47.0,0.6,False
25.4,40.8,48.0,1.0,False
25.5,40.6,48.0,1.2,False
25.3,40.4,48.0,1.2,False
25.3,40.9,48.0,1.3,False
25.4,40.5,48.0,0.6,False
25.6,40.5,48.0,1.2,False
25.5,40.5,47.0,0.5,False
25.6,41.0,47.0,1.3,False
25.6,40.9,48.0,1.2,False
25.5,40.9,47.0,1.2,False
25.4,40.7,47.0,0.6,False
25.5,40.1,47.0,0.6,False
25.5,39.8,47.0,1.0,False
25.4,39.4,48.0,1.0,False
25.5,39.4,48.0,0.8,False
25.4,39.1,48.0,0.8,False
25.3,38.8,48.0,1.3,False
25.3,39.1,47.0,0.8,False
25.5,38.9,47.0,1.5,False
25.4,37.6,48.0,0.5,False
25.2,38.0,48.0,0.8,False
25.3,37.5,48.0,0.8,False
25.3,37.3,47.0,1.0,False
25.3,37.1,47.0,0.8,False
25.1,36.5,48.0,1.0,False
25.0,36.2,49.0,2.0,False
24.8,35.8,50.0,1.6,False
24.8,35.6,50.0,1.1,False
24.8,35.1,51.0,1.3,False
24.7,35.1,51.0,1.7,False
