AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
24.4,29.1,17.0,0.0,False
24.3,28.9,15.0,0.8,False
24.3,28.7,16.0,0.6,False
24.3,28.7,16.0,0.4,False
24.4,28.7,16.0,0.3,False
24.1,28.4,15.0,0.5,False
24.0,28.4,16.0,0.6,False
23.8,27.8,20.0,0.5,False
23.8,27.8,20.0,0.0,False
23.9,27.7,20.0,0.0,False
23.2,27.0,30.0,0.8,False
23.1,26.8,31.0,0.8,False
23.1,26.8,32.0,1.0,False
23.1,26.7,33.0,0.8,False
23.1,26.6,33.0,0.8,False
24.4,29.1,17.0,0.0,False
24.3,28.7,16.0,0.6,False
24.2,28.7,16.0,0.6,False
24.3,28.6,16.0,0.8,False
24.4,28.6,16.0,0.5,False
24.1,28.4,15.0,0.5,False
24.0,28.4,16.0,0.6,False
23.8,27.8,20.0,0.5,False
23.8,27.8,20.0,0.0,False
23.9,27.7,20.0,0.0,False
23.2,27.0,30.0,0.8,False
23.1,26.8,31.0,0.8,False
23.1,26.8,32.0,1.0,False
23.1,26.7,33.0,0.8,False
23.1,26.6,33.0,0.8,False
24.3,29.0,17.0,0.4,False
24.4,29.1,16.0,0.0,False
24.4,29.1,17.0,0.0,False
24.3,28.7,16.0,0.6,False
24.2,28.7,16.0,0.6,False
24.3,28.7,16.0,0.4,False
24.4,28.6,16.0,0.5,False
24.1,28.4,15.0,0.5,False
24.0,28.4,16.0,0.6,False
23.8,27.9,20.0,0.6,False
23.8,27.8,20.0,0.0,False
23.9,27.7,20.0,0.0,False
23.6,27.6,21.0,0.8,False
23.6,27.5,23.0,0.6,False
23.6,27.3,26.0,0.0,False
23.2,27.0,30.0,0.8,False
23.1,26.8,31.0,0.8,False
24.3,29.0,17.0,0.4,False
24.4,29.1,16.0,0.0,False
24.4,29.1,17.0,0.0,False
24.3,28.7,16.0,0.6,False
24.2,28.7,16.0,0.6,False
24.3,28.6,16.0,0.8,False
24.4,28.6,16.0,0.5,False
23.8,27.9,20.0,0.6,False
23.8,27.8,20.0,0.0,False
23.9,27.7,20.0,0.0,False
23.6,27.6,21.0,0.8,False
23.6,27.4,24.0,0.5,False
23.6,27.3,26.0,0.0,False
23.1,26.9,31.0,1.3,False
23.1,26.8,31.0,0.8,False
23.1,26.8,32.0,1.0,False
23.1,26.7,33.0,0.8,False
23.1,26.6,33.0,0.8,False
24.3,28.9,15.0,0.8,False
24.3,28.7,16.0,0.6,False
24.3,28.7,16.0,0.4,False
24.4,28.7,16.0,0.3,False
24.1,28.6,16.0,0.5,False
24.1,28.4,15.0,0.8,False
24.1,28.3,16.0,0.4,False
23.8,27.9,20.0,0.6,False
23.8,27.8,20.0,0.5,False
23.9,27.7,20.0,0.4,False
23.6,27.6,21.0,0.8,False
23.6,27.5,23.0,0.6,False
23.6,27.4,26.0,0.5,False
23.1,26.8,32.0,1.0,False
23.1,26.8,33.0,1.2,False
24.3,28.7,16.0,0.6,False
24.2,28.7,16.0,0.6,False
24.3,28.6,16.0,0.8,False
24.4,28.6,16.0,0.5,False
24.1,28.4,15.0,0.5,False
24.0,28.4,16.0,0.6,False
24.1,28.3,16.0,0.4,False
23.8,27.9,20.0,0.6,False
23.8,27.8,20.0,0.0,False
23.9,27.7,20.0,0.0,False
23.6,27.6,21.0,0.8,False
23.6,27.4,24.0,0.5,False
23.6,27.3,26.0,0.0,False
23.1,26.8,32.0,1.0,False
23.1,26.8,33.0,1.2,False
24.3,28.7,16.0,0.6,False
24.2,28.7,16.0,0.6,False
24.3,28.6,16.0,0.8,False
24.4,28.6,16.0,0.5,False
24.1,28.4,15.0,0.5,False
24.0,28.4,16.0,0.6,False
24.1,28.3,16.0,0.4,False
23.8,27.9,20.0,0.6,False
23.8,27.8,20.0,0.0,False
23.9,27.7,20.0,0.0,False
23.6,27.6,21.0,0.8,False
23.6,27.4,24.0,0.5,False
23.6,27.3,26.0,0.0,False
23.1,26.8,32.0,1.0,False
23.1,26.8,33.0,1.2,False
24.3,28.9,15.0,0.8,False
24.3,28.7,16.0,0.6,False
24.3,28.7,16.0,0.4,False
24.4,28.7,16.0,0.3,False
24.1,28.6,16.0,0.5,False
24.1,28.4,15.0,0.5,False
24.0,28.4,16.0,0.6,False
23.9,27.9,19.0,0.6,False
23.8,27.8,20.0,0.5,False
23.9,27.7,20.0,0.4,False
23.6,27.6,21.0,0.8,False
23.6,27.4,24.0,0.5,False
23.6,27.3,26.0,0.0,False
23.1,26.9,31.0,1.3,False
23.1,26.8,31.0,0.8,False
23.1,26.8,32.0,1.0,False
23.1,26.7,33.0,0.8,False
23.0,26.6,33.0,0.8,False
24.3,28.7,16.0,0.6,False
24.2,28.7,16.0,0.6,False
24.3,28.7,16.0,0.4,False
24.4,28.7,16.0,0.3,False
24.1,28.6,16.0,0.5,False
24.1,28.4,15.0,0.8,False
24.1,28.3,16.0,0.4,False
23.9,27.9,19.0,0.6,False
23.8,27.8,20.0,0.5,False
23.9,27.7,20.0,0.4,False
23.6,27.6,21.0,0.8,False
23.6,27.5,23.0,0.6,False
23.6,27.4,26.0,0.5,False
23.1,26.7,33.0,0.8,False
23.0,26.6,33.0,0.8,False
24.4,29.1,17.0,0.4,False
24.4,29.1,17.0,0.4,False
24.3,28.9,15.0,0.8,False
24.3,28.7,16.0,0.6,False
24.3,28.7,16.0,0.4,False
24.4,28.7,16.0,0.3,False
24.1,28.4,15.0,0.5,False
24.1,28.4,15.0,0.8,False
24.1,28.3,16.0,0.4,False
23.8,27.9,20.0,0.6,False
23.8,27.8,20.0,0.5,False
23.9,27.7,20.0,0.4,False
23.6,27.6,21.0,0.8,False
23.6,27.5,23.0,0.6,False
23.6,27.4,26.0,0.5,False
23.1,26.8,32.0,1.0,False
23.1,26.8,33.0,1.2,False
24.4,29.1,17.0,0.0,False
24.3,28.7,16.0,0.6,False
24.3,28.7,16.0,0.4,False
24.3,28.6,16.0,0.8,False
24.4,28.6,16.0,0.5,False
24.1,28.6,16.0,0.5,False
24.1,28.4,15.0,0.5,False
24.1,28.3,16.0,0.4,False
23.8,27.9,20.0,0.6,False
23.8,27.8,20.0,0.5,False
23.9,27.7,20.0,0.4,False
23.6,27.6,21.0,0.8,False
23.6,27.5,23.0,0.6,False
24.3,28.9,15.0,0.8,False
24.3,28.7,16.0,0.6,False
24.2,28.7,16.0,0.6,False
24.3,28.6,16.0,0.8,False
24.1,28.6,16.0,0.5,False
24.1,28.4,15.0,0.5,False
24.0,28.4,16.0,0.6,False
23.8,27.9,20.0,0.6,False
23.8,27.8,20.0,0.5,False
23.9,27.7,20.0,0.4,False
23.6,27.6,21.0,0.8,False
23.6,27.5,23.0,0.6,False
24.3,28.9,15.0,0.8,False
24.3,28.7,16.0,0.6,False
24.2,28.7,16.0,0.6,False
24.3,28.6,16.0,0.8,False
24.1,28.6,16.0,0.5,False
24.1,28.4,15.0,0.5,False
24.0,28.4,16.0,0.6,False
23.8,27.9,20.0,0.6,False
23.8,27.8,20.0,0.5,False
23.9,27.7,20.0,0.4,False
23.6,27.6,21.0,0.8,False
23.6,27.5,23.0,0.6,False
24.3,29.0,17.0,0.4,False
24.4,29.1,16.0,0.0,False
24.4,29.1,17.0,0.4,False
24.3,28.7,16.0,0.6,False
24.2,28.7,16.0,0.6,False
24.3,28.7,16.0,0.4,False
24.4,28.7,16.0,0.3,False
24.2,28.6,15.0,0.6,False
24.1,28.4,15.0,0.5,False
24.0,28.4,16.0,0.6,False
23.8,27.9,20.0,0.6,False
23.8,27.8,20.0,0.0,False
23.9,27.7,20.0,0.4,False
23.6,27.6,21.0,0.8,False
23.6,27.5,23.0,0.6,False
24.3,28.9,15.0,0.8,False
24.3,28.7,16.0,0.6,False
24.2,28.7,16.0,0.6,False
24.3,28.6,16.0,0.8,False
24.2,28.6,15.0,0.6,False
24.1,28.4,15.0,0.5,False
24.0,28.4,16.0,0.6,False
23.8,27.7,20.0,0.0,False
24.3,28.7,16.0,0.6,False
24.3,28.7,16.0,0.4,False
24.3,28.6,16.0,0.8,False
24.4,28.6,16.0,0.5,False
24.1,28.4,15.0,0.5,False
24.1,28.4,15.0,0.8,False
24.3,28.9,15.0,0.8,False
24.3,28.7,16.0,0.6,False
24.2,28.7,16.0,0.6,False
24.3,28.6,16.0,0.8,False
24.1,28.6,16.0,0.5,False
24.1,28.4,15.0,0.5,False
24.4,29.1,17.0,0.0,False
24.3,28.7,16.0,0.6,False
24.2,28.7,16.0,0.6,False
24.3,28.6,16.0,0.8,False
24.4,28.6,16.0,0.5,False
24.1,28.6,16.0,0.5,False
24.1,28.4,15.0,0.8,False
24.3,29.0,17.0,0.4,False
24.4,29.1,16.0,0.0,False
24.4,29.1,17.0,0.4,False
24.3,28.7,16.0,0.6,False
24.2,28.7,16.0,0.6,False
24.3,28.7,16.0,0.4,False
24.4,28.7,16.0,0.3,False
24.1,28.6,16.0,0.5,False
24.1,28.4,15.0,0.5,False
24.3,28.7,16.0,0.6,False
24.3,28.7,16.0,0.4,False
24.3,28.6,16.0,0.8,False
24.4,28.6,16.0,0.5,False
24.1,28.6,16.0,0.5,False
24.1,28.4,15.0,0.8,False
