AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
28.2,40.5,40.0,0.8,False
28.2,40.9,39.0,0.4,False
28.3,40.4,40.0,2.0,False
28.2,40.7,41.0,2.2,False
28.3,40.9,41.0,1.1,False
28.2,41.1,40.0,0.8,False
28.2,40.6,40.0,1.7,False
28.1,38.9,41.0,1.1,False
28.2,39.4,42.0,0.6,False
28.2,39.6,42.0,1.2,False
28.3,39.7,41.0,1.3,False
28.3,39.9,41.0,1.2,False
28.3,39.9,41.0,1.7,False
28.2,38.7,41.0,0.8,False
28.2,38.3,40.0,0.6,False
28.0,38.8,41.0,1.0,False
28.0,38.8,41.0,1.0,False
28.0,39.2,41.0,1.5,False
27.9,38.7,40.0,1.1,False
27.9,38.7,40.0,1.3,False
28.3,40.9,40.0,0.6,False
28.2,40.5,40.0,0.6,False
28.2,40.5,40.0,0.8,False
28.3,40.9,40.0,1.0,False
28.2,40.7,41.0,2.2,False
28.4,40.9,40.0,1.6,False
28.3,41.1,39.0,1.0,False
28.2,40.6,40.0,1.1,False
28.2,39.5,40.0,1.7,False
28.1,38.9,41.0,1.1,False
28.3,39.7,41.0,1.3,False
28.3,39.9,41.0,1.6,False
28.3,39.9,41.0,1.7,False
28.2,38.7,41.0,0.8,False
28.2,38.3,40.0,0.6,False
28.3,38.2,40.0,0.8,False
28.0,38.3,40.0,0.8,False
28.0,38.8,41.0,1.0,False
28.0,38.8,42.0,1.2,False
27.9,38.7,40.0,1.1,False
27.9,38.7,40.0,1.3,False
28.2,40.5,40.0,0.8,False
28.2,40.9,39.0,0.4,False
28.3,40.4,40.0,2.0,False
28.2,40.7,41.0,2.2,False
28.3,40.9,41.0,1.1,False
28.3,41.1,39.0,1.0,False
28.2,40.6,40.0,1.1,False
28.2,39.5,40.0,1.7,False
28.1,38.9,41.0,1.1,False
28.2,39.4,42.0,0.6,False
28.3,39.7,41.0,1.3,False
28.3,39.9,41.0,1.6,False
28.3,39.9,41.0,1.7,False
28.4,38.9,41.0,1.2,False
28.2,38.3,40.0,0.6,False
28.3,38.2,40.0,0.4,False
28.0,38.3,40.0,0.8,False
28.0,38.8,41.0,1.0,False
28.0,39.2,41.0,1.5,False
27.9,38.7,40.0,1.1,False
27.9,38.7,40.0,1.3,False
28.2,40.5,40.0,0.8,False
28.2,40.5,40.0,0.6,False
28.2,40.9,39.0,0.4,False
28.3,40.9,40.0,1.0,False
28.3,40.9,41.0,1.1,False
28.2,41.1,40.0,0.8,False
28.2,40.6,40.0,1.1,False
28.1,38.9,41.0,1.1,False
28.1,38.9,42.0,1.3,False
28.2,39.6,42.0,1.2,False
28.3,39.9,41.0,1.7,False
28.3,39.0,41.0,1.7,False
28.4,39.3,42.0,1.7,False
28.4,38.9,41.0,1.2,False
28.2,38.3,40.0,0.6,False
28.3,38.2,40.0,0.4,False
28.0,38.8,41.0,1.0,False
28.0,38.8,41.0,1.0,False
28.0,39.2,41.0,1.5,False
27.9,38.7,40.0,1.3,False
27.9,39.0,41.0,1.5,False
28.2,40.5,40.0,0.8,False
28.2,40.5,40.0,0.6,False
28.2,40.9,39.0,0.4,False
28.3,40.9,40.0,1.0,False
28.2,40.7,40.0,1.2,False
28.2,40.7,41.0,2.2,False
28.3,40.9,41.0,1.1,False
28.2,40.6,40.0,1.1,False
28.2,39.5,40.0,1.7,False
28.1,38.9,41.0,1.1,False
28.3,39.7,41.0,1.3,False
28.3,39.9,41.0,1.6,False
28.3,39.9,41.0,1.7,False
