AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
31.5,34.6,55.0,3.7,False
31.5,34.6,55.0,4.4,False
31.5,34.4,55.0,4.0,False
31.5,34.6,55.0,3.0,False
31.5,34.7,55.0,3.2,False
31.5,34.7,55.0,3.7,False
31.5,34.6,55.0,3.5,False
31.4,34.3,55.0,3.7,False
31.5,34.6,55.0,2.5,False
31.4,34.3,57.0,3.4,False
31.4,34.4,57.0,4.0,False
31.4,34.3,57.0,3.5,False
31.4,34.2,57.0,3.2,False
31.4,34.3,57.0,3.0,False
31.3,34.4,57.0,3.2,False
31.3,34.1,57.0,2.7,False
31.3,34.0,57.0,3.4,False
31.3,34.2,57.0,2.7,False
31.3,33.9,57.0,3.0,False
31.5,34.6,55.0,4.4,False
31.5,34.4,55.0,4.0,False
31.5,34.4,55.0,3.9,False
31.5,34.7,55.0,3.0,False
31.5,34.6,55.0,3.5,False
31.5,34.7,55.0,3.2,False
31.4,34.3,55.0,3.7,False
31.5,34.6,55.0,2.5,False
31.5,34.6,55.0,2.9,False
31.4,34.6,56.0,3.2,False
31.4,34.4,57.0,4.0,False
31.4,34.3,57.0,3.5,False
31.4,34.3,57.0,2.7,False
31.4,34.2,57.0,3.5,False
31.3,34.4,57.0,3.0,False
31.3,34.3,57.0,3.4,False
31.3,34.1,57.0,2.7,False
31.3,34.0,57.0,3.4,False
31.3,34.2,57.0,2.7,False
31.3,33.9,58.0,2.9,False
31.3,33.9,58.0,3.0,False
31.5,34.6,55.0,4.4,False
31.5,34.4,55.0,4.0,False
31.5,34.6,55.0,3.0,False
31.5,34.7,55.0,3.0,False
31.5,34.6,55.0,3.5,False
31.5,34.7,55.0,3.2,False
31.5,34.6,55.0,3.5,False
31.5,34.5,55.0,3.0,False
31.5,34.6,55.0,2.9,False
31.4,34.6,56.0,3.2,False
31.4,34.4,57.0,4.0,False
31.4,34.3,57.0,3.5,False
31.4,34.3,57.0,2.7,False
31.4,34.3,57.0,3.0,False
31.3,34.4,57.0,3.0,False
31.3,34.3,57.0,3.4,False
31.3,34.1,57.0,2.7,False
