AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
29.9,40.8,42.0,2.9,False
29.8,40.8,42.0,3.0,False
29.9,40.7,41.0,2.9,False
29.9,40.7,41.0,4.0,False
29.9,40.6,42.0,4.0,False
30.0,40.6,43.0,3.9,False
30.0,41.0,41.0,3.2,False
30.0,40.5,40.0,4.1,False
30.0,41.1,41.0,2.4,False
30.0,40.4,41.0,3.2,False
30.0,40.7,41.0,3.4,False
30.0,40.0,42.0,3.5,False
30.3,41.5,41.0,1.1,False
30.4,41.5,39.0,1.5,False
30.4,41.3,39.0,3.4,False
30.3,41.6,39.0,2.2,False
30.4,41.5,38.0,1.8,False
30.5,41.8,39.0,5.0,False
30.2,41.6,40.0,4.3,False
30.2,41.6,40.0,3.5,False
30.1,41.3,40.0,2.2,False
30.2,41.3,39.0,2.5,False
30.3,41.4,39.0,2.2,False
30.4,42.0,38.0,1.3,False
30.7,41.6,37.0,4.5,False
30.5,41.3,38.0,4.0,False
30.4,41.0,39.0,4.0,False
30.5,41.4,37.0,5.3,False
30.5,41.4,37.0,4.5,False
30.4,41.0,37.0,4.8,False
30.1,41.0,38.0,3.0,False
30.3,41.2,38.0,2.4,False
30.6,41.6,37.0,3.2,False
30.5,41.8,38.0,6.0,False
30.5,41.1,38.0,3.7,False
30.4,41.3,39.0,5.0,False
30.6,41.6,38.0,4.5,False
30.4,41.4,39.0,4.9,False
30.2,41.2,39.0,3.4,False
30.3,41.0,39.0,1.7,False
30.5,41.4,39.0,2.5,False
30.8,41.9,38.0,2.4,False
31.0,42.2,38.0,3.7,False
30.9,41.8,38.0,5.0,False
30.6,40.7,39.0,3.4,False
30.5,40.7,39.0,5.0,False
30.8,41.3,38.0,1.5,False
31.0,41.7,38.0,3.2,False
31.0,41.6,38.0,3.9,False
30.9,40.8,39.0,3.2,False
31.0,41.1,40.0,3.7,False
30.9,40.9,40.0,1.2,False
30.9,41.3,39.0,2.4,False
30.7,40.8,39.0,2.4,False
30.8,41.0,40.0,2.5,False
30.8,40.2,41.0,3.4,False
29.9,40.8,42.0,2.9,False
29.8,40.8,42.0,3.0,False
29.9,40.7,41.0,2.9,False
29.9,40.7,41.0,4.0,False
29.9,40.6,42.0,4.0,False
30.0,40.6,43.0,3.9,False
30.0,41.0,41.0,3.2,False
30.0,40.5,40.0,4.1,False
30.0,41.1,41.0,2.4,False
30.0,40.4,41.0,3.2,False
30.1,40.5,41.0,4.4,False
30.0,40.0,42.0,3.5,False
