AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
18.8,34.9,53.0,1.0,False
18.8,34.9,54.0,1.5,False
18.8,35.2,54.0,1.9,False
18.8,35.0,53.0,1.6,False
18.8,35.0,53.0,1.4,False
18.8,34.7,54.0,1.0,False
18.9,35.0,53.0,1.8,False
18.9,34.9,53.0,1.5,False
18.8,34.9,53.0,2.7,False
18.5,34.9,54.0,1.9,False
18.6,34.6,53.0,1.1,False
18.6,34.5,53.0,1.4,False
18.8,34.7,53.0,1.3,False
18.9,34.2,53.0,0.8,False
18.8,34.3,52.0,1.8,False
18.5,33.9,54.0,2.3,False
18.7,33.8,52.0,1.2,False
18.6,33.7,53.0,0.8,False
18.6,33.2,54.0,1.3,False
18.6,32.8,54.0,0.8,False
18.5,32.5,54.0,1.1,False
18.8,34.9,54.0,1.4,False
18.8,35.2,54.0,1.9,False
18.8,35.2,53.0,2.3,False
18.8,35.0,53.0,1.6,False
18.8,35.0,53.0,1.6,False
18.8,34.7,54.0,1.0,False
18.5,34.9,54.0,1.9,False
18.6,34.6,53.0,1.1,False
18.6,34.5,53.0,1.4,False
18.8,34.5,53.0,1.8,False
18.9,34.2,53.0,0.8,False
18.9,34.3,53.0,1.6,False
18.5,34.1,53.0,1.4,False
18.6,33.9,52.0,1.4,False
18.7,33.8,52.0,1.2,False
18.6,33.2,54.0,1.3,False
18.6,32.8,54.0,0.8,False
18.5,32.5,54.0,1.1,False
18.8,34.9,53.0,1.0,False
18.8,34.9,54.0,1.5,False
18.8,35.2,54.0,1.9,False
18.8,35.1,53.0,1.4,False
18.8,35.0,53.0,1.4,False
18.8,35.0,53.0,1.6,False
18.8,35.0,54.0,0.8,False
18.9,34.9,53.0,1.5,False
18.8,35.0,52.0,1.5,False
18.5,34.9,54.0,1.9,False
18.6,34.5,53.0,1.4,False
18.7,34.7,53.0,2.3,False
18.8,34.5,53.0,1.8,False
18.8,34.3,52.0,1.8,False
18.9,34.3,53.0,1.6,False
18.8,34.5,54.0,1.3,False
18.5,33.9,54.0,2.3,False
18.7,33.8,52.0,1.2,False
18.6,33.7,53.0,0.8,False
