AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
27.2,37.6,40.0,0.9,False
27.3,37.9,39.0,0.6,False
27.7,38.4,38.0,0.9,False
27.7,38.1,39.0,1.0,False
27.5,37.3,38.0,0.8,False
27.3,37.6,38.0,1.5,False
27.3,38.0,39.0,1.3,False
26.9,37.0,37.0,2.3,False
26.6,37.0,36.0,2.2,False
26.7,37.1,36.0,0.8,False
27.1,37.1,35.0,1.0,False
27.2,37.1,35.0,1.2,False
27.1,36.8,35.0,1.2,False
27.1,37.0,34.0,1.2,False
27.3,36.7,33.0,1.6,False
26.3,34.8,36.0,2.1,False
26.1,34.8,34.0,2.7,False
26.2,34.7,34.0,0.7,False
26.7,34.0,32.0,0.5,False
26.5,33.9,32.0,1.0,False
27.2,37.6,40.0,0.9,False
27.5,38.5,39.0,1.4,False
27.7,38.4,38.0,0.9,False
27.8,38.1,38.0,1.5,False
27.5,37.3,38.0,0.8,False
27.2,37.7,38.0,0.5,False
27.3,37.7,38.0,1.7,False
27.4,37.6,37.0,1.6,False
27.6,37.5,37.0,1.2,False
26.8,36.8,37.0,1.9,False
26.6,37.0,36.0,2.2,False
26.8,37.2,36.0,0.5,False
27.2,36.9,34.0,1.0,False
27.2,37.1,33.0,0.8,False
26.3,34.8,36.0,2.1,False
26.1,34.8,34.0,2.7,False
26.2,34.7,34.0,0.7,False
26.7,34.0,32.0,0.5,False
26.5,33.9,32.0,1.0,False
27.2,37.6,40.0,0.9,False
27.3,37.9,39.0,0.6,False
27.7,38.1,38.0,0.8,False
27.7,38.1,39.0,1.0,False
27.4,37.3,38.0,0.8,False
27.2,37.7,38.0,0.5,False
27.4,38.0,38.0,2.2,False
27.3,37.6,38.0,0.8,False
27.6,37.4,37.0,0.9,False
27.6,37.3,37.0,1.6,False
26.9,37.0,37.0,2.3,False
26.6,37.0,36.0,2.2,False
26.7,37.1,36.0,0.8,False
27.0,37.2,36.0,0.6,False
27.2,37.1,35.0,1.2,False
27.1,36.8,35.0,1.2,False
27.1,37.0,34.0,1.2,False
27.3,36.7,33.0,1.6,False
26.2,34.7,35.0,3.0,False
26.1,34.8,34.0,2.7,False
26.2,34.7,34.0,0.7,False
26.7,34.0,32.0,0.5,False
26.5,33.9,32.0,1.0,False
27.2,37.6,40.0,0.9,False
27.3,37.9,39.0,0.6,False
27.7,38.4,38.0,0.9,False
27.7,38.1,39.0,1.0,False
27.5,37.3,38.0,0.8,False
27.3,37.6,38.0,1.5,False
27.3,37.7,38.0,1.3,False
26.6,37.0,36.0,2.2,False
26.6,37.0,36.0,1.0,False
27.0,37.2,36.0,0.6,False
26.2,34.7,35.0,3.0,False
26.1,34.7,34.0,0.8,False
26.5,34.6,33.0,1.3,False
26.7,33.9,32.0,2.4,False
26.5,33.9,32.0,1.0,False
27.1,37.6,40.0,0.8,False
27.2,37.8,39.0,0.8,False
27.5,38.5,39.0,1.4,False
27.7,38.1,38.0,0.8,False
27.8,38.1,38.0,1.5,False
27.4,37.3,38.0,0.8,False
27.2,37.7,38.0,0.5,False
27.3,38.0,39.0,1.3,False
27.3,37.6,38.0,0.8,False
26.8,36.8,37.0,1.9,False
26.6,37.0,36.0,2.2,False
26.7,37.1,36.0,0.8,False
27.1,36.8,35.0,1.2,False
27.1,37.0,34.0,1.2,False
27.3,36.7,33.0,1.6,False
26.3,34.8,36.0,2.1,False
26.1,34.8,34.0,2.7,False
26.2,34.7,34.0,0.7,False
26.7,34.0,32.0,0.5,False
26.7,33.9,32.0,2.4,False
27.2,37.6,40.0,0.9,False
27.3,37.9,39.0,0.6,False
27.5,38.5,39.0,1.4,False
27.7,38.1,39.0,1.0,False
27.5,37.3,38.0,0.8,False
27.3,37.6,38.0,1.5,False
27.3,37.7,38.0,1.7,False
27.4,37.6,37.0,1.6,False
27.6,37.5,37.0,1.2,False
26.6,37.0,36.0,2.2,False
26.6,37.0,36.0,1.0,False
27.0,37.2,36.0,0.6,False
27.2,36.9,34.0,1.0,False
27.2,37.1,33.0,0.8,False
27.3,36.7,33.0,0.7,False
26.2,34.7,35.0,3.0,False
26.1,34.7,34.0,0.8,False
26.5,34.6,33.0,1.3,False
