AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
16.3,20.7,77.0,1.4,True
16.3,20.7,76.0,1.5,True
16.2,20.4,74.0,1.4,True
16.2,20.0,75.0,0.7,True
16.0,19.9,78.0,0.9,True
16.0,20.0,78.0,1.7,True
16.0,20.1,79.0,0.5,True
16.0,20.5,80.0,1.3,True
16.1,23.0,78.0,0.7,True
16.5,24.5,78.0,1.2,False
16.8,24.8,76.0,1.2,False
17.3,25.7,78.0,0.5,False
17.4,25.8,74.0,0.6,False
17.5,25.9,74.0,1.4,False
17.5,26.1,72.0,1.5,False
17.7,26.3,72.0,1.9,False
17.9,26.3,73.0,1.2,False
17.9,26.7,70.0,0.8,False
18.0,26.7,71.0,1.1,False
18.0,26.6,72.0,1.6,False
18.2,27.0,72.0,0.7,False
18.2,27.0,71.0,0.9,False
18.3,27.3,71.0,1.2,False
18.3,27.3,71.0,1.2,False
18.4,26.1,71.0,1.1,False
18.3,24.5,71.0,1.1,False
18.2,24.4,71.0,0.7,False
18.1,23.7,72.0,0.6,False
18.0,22.8,70.0,1.8,True
18.0,22.8,72.0,1.1,False
17.9,22.5,72.0,0.7,True
17.7,22.3,73.0,0.8,True
17.6,22.0,74.0,1.1,True
17.4,21.5,76.0,0.7,True
17.4,21.5,76.0,0.8,True
17.2,21.3,76.0,0.8,True
17.1,21.2,76.0,0.4,False
17.0,21.3,76.0,0.8,False
17.1,21.2,76.0,0.7,False
17.1,21.2,76.0,1.5,False
17.2,21.3,76.0,0.8,False
17.2,22.3,77.0,0.6,False
17.5,23.9,77.0,0.5,False
17.7,24.9,77.0,0.8,False
17.9,25.7,75.0,0.5,False
18.4,26.1,74.0,0.8,False
18.5,26.9,75.0,1.2,False
18.7,27.0,73.0,0.9,False
18.7,26.7,73.0,0.7,False
18.9,26.4,74.0,0.8,False
18.8,27.0,76.0,0.5,False
18.9,27.0,74.0,0.9,False
19.0,26.9,72.0,1.1,False
19.0,27.1,72.0,1.6,False
18.9,27.0,70.0,1.0,False
18.8,26.9,71.0,1.3,False
18.7,26.9,71.0,0.6,False
18.8,26.1,70.0,1.4,False
18.8,25.8,72.0,1.5,False
18.8,25.7,71.0,1.9,False
18.9,26.9,72.0,1.1,False
19.0,26.9,72.0,1.3,False
19.1,26.8,70.0,2.4,False
19.1,26.7,70.0,2.8,False
18.9,27.8,70.0,1.7,False
18.7,28.0,68.0,3.1,False
18.6,28.0,68.0,2.6,False
18.6,28.2,68.0,2.2,False
18.5,27.8,69.0,1.1,False
18.4,27.0,69.0,2.1,False
16.3,20.7,77.0,1.4,True
16.3,20.7,76.0,1.5,True
16.2,20.4,74.0,1.4,True
16.0,19.9,76.0,1.3,True
15.9,19.9,78.0,0.8,True
16.0,20.0,78.0,1.7,True
15.9,20.3,77.0,1.4,True
16.0,20.5,80.0,1.3,True
16.5,23.8,78.0,1.1,True
16.5,24.5,78.0,1.2,False
17.0,25.3,79.0,0.7,False
17.4,25.8,74.0,0.6,False
17.5,25.8,72.0,1.1,False
17.5,26.1,72.0,1.5,False
17.6,26.3,73.0,1.5,False
17.9,26.3,73.0,1.2,False
17.9,26.5,72.0,1.0,False
17.9,26.7,70.0,0.8,False
18.0,26.6,72.0,1.6,False
18.1,26.7,71.0,0.9,False
18.2,27.0,71.0,0.9,False
18.2,26.9,72.0,0.6,False
18.3,27.3,71.0,1.2,False
18.4,27.2,71.0,0.8,False
18.5,25.2,70.0,1.0,False
18.2,24.4,71.0,0.7,False
18.2,23.8,72.0,0.0,False
18.1,23.7,72.0,0.6,False
18.0,22.8,70.0,1.8,True
18.0,22.8,72.0,1.1,False
17.7,22.4,73.0,0.5,True
17.7,22.3,73.0,0.8,True
17.5,21.7,75.0,0.5,True
17.4,21.5,76.0,0.7,True
17.3,21.5,77.0,1.0,True
17.2,21.3,76.0,0.8,True
17.0,21.3,75.0,1.5,False
17.0,21.3,76.0,0.8,False
17.1,21.2,76.0,0.7,False
17.1,21.2,76.0,1.2,False
17.2,22.3,77.0,0.6,False
17.3,22.9,75.0,1.2,False
17.7,24.9,77.0,0.8,False
17.9,25.7,75.0,0.5,False
18.4,26.1,74.0,0.8,False
18.5,26.3,77.0,0.7,False
18.5,26.9,75.0,1.2,False
18.7,26.7,73.0,0.7,False
18.9,26.4,74.0,1.8,False
18.9,26.4,74.0,0.8,False
18.9,27.0,74.0,0.9,False
18.9,27.0,74.0,1.6,False
19.0,26.9,72.0,1.1,False
18.9,27.0,72.0,1.1,False
19.0,26.8,69.0,2.0,False
18.8,26.9,71.0,1.3,False
18.7,26.9,71.0,0.6,False
18.8,26.1,70.0,1.4,False
18.8,25.8,72.0,1.5,False
18.8,25.7,71.0,1.9,False
18.9,26.9,72.0,1.1,False
19.0,26.9,72.0,1.3,False
19.1,26.8,70.0,2.4,False
19.0,27.7,70.0,2.5,False
18.9,27.8,70.0,1.7,False
18.7,28.0,68.0,3.1,False
18.6,28.2,68.0,2.2,False
18.5,28.5,69.0,1.8,False
18.5,27.8,69.0,1.1,False
18.4,27.0,69.0,2.1,False
16.3,20.7,77.0,1.4,True
16.3,20.7,76.0,1.5,True
16.2,20.4,74.0,1.4,True
16.0,19.9,76.0,1.3,True
15.9,19.9,78.0,0.8,True
16.0,20.0,78.0,1.7,True
15.9,20.3,77.0,1.4,True
16.0,20.5,80.0,1.3,True
16.5,23.8,78.0,1.1,True
16.5,24.5,78.0,1.2,False
17.0,25.3,79.0,0.7,False
17.4,25.8,74.0,0.6,False
17.5,25.8,72.0,1.1,False
17.5,26.1,72.0,1.5,False
17.6,26.3,73.0,1.5,False
17.9,26.3,73.0,1.2,False
17.9,26.5,72.0,1.0,False
17.9,26.7,70.0,0.8,False
18.0,26.6,72.0,1.6,False
18.1,26.7,71.0,0.9,False
18.2,27.0,71.0,0.9,False
18.2,26.9,72.0,0.6,False
18.3,27.3,71.0,1.2,False
18.4,27.2,71.0,0.8,False
18.5,25.2,70.0,1.0,False
18.2,24.4,71.0,0.7,False
18.2,23.8,72.0,0.0,False
18.1,23.7,72.0,0.6,False
18.0,22.8,70.0,1.8,True
18.0,22.8,72.0,1.1,False
17.7,22.4,73.0,0.5,True
