AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
18.8,30.3,66.0,1.4,False
18.7,31.3,66.0,1.1,False
18.7,31.0,65.0,1.3,False
18.8,31.0,65.0,1.5,False
19.0,30.5,65.0,3.2,False
19.0,30.7,66.0,1.6,False
19.0,31.0,66.0,2.1,False
19.0,30.7,65.0,1.8,False
19.0,30.9,65.0,0.8,False
19.0,30.7,65.0,1.9,False
19.0,30.3,65.0,2.9,False
18.9,30.2,66.0,2.5,False
18.8,30.5,66.0,1.0,False
18.8,30.5,65.0,2.1,False
18.9,30.3,65.0,1.3,False
18.8,30.1,65.0,2.7,False
18.8,29.8,66.0,1.7,False
18.6,29.9,67.0,3.2,False
18.6,29.9,67.0,2.5,False
18.5,29.9,67.0,2.7,False
18.6,29.9,66.0,3.1,False
18.6,29.6,66.0,2.6,False
18.6,29.5,66.0,2.5,False
18.6,29.4,66.0,2.7,False
18.6,29.4,67.0,1.9,False
18.6,29.4,66.0,1.7,False
18.7,29.5,66.0,2.6,False
18.6,29.2,67.0,2.7,False
18.6,29.2,67.0,1.1,False
18.5,29.2,67.0,2.5,False
18.4,28.9,67.0,1.5,False
18.5,28.8,66.0,1.8,False
18.3,28.8,67.0,1.7,False
18.4,28.9,67.0,1.8,False
18.3,28.9,67.0,2.0,False
18.3,28.9,67.0,2.1,False
18.4,28.7,67.0,2.1,False
18.4,28.8,67.0,1.8,False
18.4,28.5,67.0,1.4,False
18.4,28.5,68.0,1.2,False
18.4,28.3,68.0,1.3,False
18.4,28.4,67.0,1.5,False
18.4,28.2,67.0,2.1,False
18.4,28.1,67.0,2.5,False
18.4,27.8,67.0,2.1,False
18.3,27.7,67.0,2.2,False
18.2,27.6,67.0,1.7,False
18.2,27.4,67.0,2.8,False
18.2,28.0,68.0,2.1,False
18.2,28.0,68.0,2.0,False
18.2,27.6,67.0,3.4,False
18.2,27.7,68.0,3.1,False
18.2,27.6,68.0,1.1,False
18.2,27.9,68.0,0.9,False
18.2,27.4,67.0,1.5,False
18.2,27.4,67.0,2.2,False
18.8,30.3,66.0,1.4,False
18.7,31.3,66.0,1.1,False
18.8,30.4,65.0,1.0,False
18.8,31.0,65.0,1.5,False
19.0,30.5,65.0,3.2,False
19.0,30.7,66.0,1.6,False
19.0,31.0,66.0,2.1,False
19.0,30.7,65.0,1.8,False
19.0,30.7,65.0,2.3,False
19.0,30.6,65.0,2.3,False
19.0,30.3,65.0,2.9,False
18.9,30.2,66.0,2.5,False
18.8,30.5,66.0,1.2,False
18.9,30.3,66.0,1.5,False
18.8,30.1,66.0,1.0,False
18.8,29.8,66.0,1.7,False
18.6,29.8,66.0,2.5,False
18.6,29.7,66.0,1.6,False
18.5,29.9,67.0,2.7,False
18.6,29.9,67.0,3.2,False
18.7,29.6,66.0,3.5,False
18.6,29.5,66.0,3.4,False
18.6,29.4,66.0,2.5,False
18.6,29.7,67.0,1.0,False
18.6,29.4,66.0,2.0,False
18.7,29.4,66.0,2.7,False
18.7,29.5,66.0,2.6,False
18.6,29.2,67.0,2.7,False
18.6,29.2,67.0,1.7,False
18.5,29.2,67.0,2.5,False
18.4,28.9,67.0,1.5,False
18.5,28.8,66.0,1.8,False
18.3,28.8,67.0,1.7,False
18.4,28.9,67.0,1.8,False
18.3,28.9,67.0,2.0,False
18.3,28.9,67.0,2.1,False
18.4,28.7,67.0,2.1,False
18.4,28.5,67.0,2.2,False
18.4,28.4,68.0,2.7,False
18.4,28.3,68.0,1.3,False
18.4,28.3,68.0,1.9,False
18.4,28.1,67.0,1.5,False
18.4,28.1,67.0,2.5,False
18.4,27.9,67.0,2.4,False
18.3,27.7,67.0,3.0,False
