AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
25.1,44.5,50.0,1.5,False
25.0,45.5,50.0,2.5,False
25.1,45.3,50.0,3.4,False
25.1,45.2,50.0,3.4,False
25.3,43.6,51.0,4.2,False
25.4,42.7,50.0,3.3,False
25.3,41.7,51.0,3.4,False
25.0,40.5,51.0,1.9,False
25.1,40.4,51.0,2.4,False
24.9,40.1,51.0,2.5,False
24.8,39.6,50.0,3.4,False
24.7,39.4,50.0,1.3,False
24.8,39.4,49.0,3.4,False
25.0,40.1,50.0,1.3,False
25.1,41.0,49.0,2.4,False
25.2,41.3,49.0,2.6,False
25.1,42.0,49.0,2.8,False
25.1,42.0,47.0,2.6,False
25.3,41.9,48.0,4.1,False
25.4,42.3,48.0,4.2,False
25.5,42.2,47.0,2.4,False
25.5,41.8,48.0,2.5,False
25.5,42.2,48.0,3.0,False
25.5,42.4,47.0,2.6,False
25.5,42.1,46.0,2.8,False
25.4,42.2,47.0,2.0,False
25.3,43.0,45.0,3.0,False
25.3,42.0,46.0,5.0,False
25.4,41.9,46.0,2.5,False
25.5,42.5,46.0,2.0,False
25.5,42.4,46.0,2.1,False
25.6,42.4,47.0,2.1,False
25.7,42.5,46.0,2.4,False
25.7,42.6,45.0,1.0,False
25.6,42.6,44.0,4.2,False
25.7,42.6,45.0,3.9,False
25.7,42.1,45.0,2.5,False
25.7,42.4,46.0,2.9,False
25.6,42.6,45.0,4.3,False
25.7,42.5,44.0,2.5,False
25.8,42.0,45.0,2.2,False
25.6,42.0,45.0,3.3,False
25.7,41.8,44.0,3.7,False
25.7,41.6,44.0,2.4,False
25.8,42.1,44.0,2.7,False
25.8,42.1,44.0,2.2,False
25.8,41.5,44.0,2.6,False
25.9,40.5,45.0,1.9,False
25.8,40.1,45.0,3.3,False
25.6,39.5,45.0,1.6,False
25.6,39.3,45.0,3.1,False
25.6,39.1,44.0,3.2,False
25.5,39.1,44.0,1.9,False
25.5,39.0,45.0,2.4,False
25.5,39.4,45.0,3.1,False
25.4,38.6,45.0,1.6,False
25.3,38.9,45.0,1.9,False
25.4,38.9,45.0,1.7,False
25.5,38.9,44.0,2.0,False
25.4,38.8,44.0,2.3,False
25.4,38.7,44.0,1.5,False
25.6,40.2,44.0,2.2,False
25.8,40.6,43.0,1.8,False
25.1,44.5,50.0,1.5,False
25.0,45.5,50.0,2.5,False
25.1,45.3,50.0,3.4,False
25.1,45.2,50.0,3.4,False
25.3,43.6,51.0,4.2,False
25.4,42.7,50.0,3.3,False
25.3,41.7,51.0,3.4,False
25.0,40.5,51.0,1.9,False
25.1,40.4,51.0,2.4,False
24.9,40.1,51.0,2.5,False
24.8,39.6,50.0,3.4,False
24.7,39.4,50.0,1.3,False
24.8,39.4,49.0,3.4,False
25.0,40.1,50.0,1.3,False
25.1,41.0,49.0,2.4,False
25.2,41.3,49.0,2.6,False
25.1,42.0,49.0,2.8,False
25.1,42.0,47.0,2.6,False
25.3,42.2,48.0,3.7,False
25.4,42.3,48.0,4.2,False
25.5,42.2,47.0,2.4,False
25.5,41.8,48.0,2.5,False
25.5,42.2,48.0,3.0,False
25.5,42.3,46.0,2.7,False
25.5,42.1,46.0,2.8,False
25.3,42.6,45.0,2.7,False
25.3,43.0,45.0,3.0,False
25.3,42.0,46.0,5.0,False
25.4,42.6,46.0,2.4,False
25.5,42.5,46.0,2.0,False
25.5,42.4,46.0,2.1,False
25.6,42.3,46.0,2.5,False
25.7,42.5,46.0,2.4,False
25.7,42.6,45.0,1.0,False
25.6,42.6,44.0,4.2,False
25.7,42.6,45.0,3.9,False
25.7,42.1,45.0,2.5,False
25.7,42.4,46.0,2.9,False
25.6,42.6,45.0,4.3,False
25.7,42.5,44.0,2.5,False
25.8,42.0,45.0,2.2,False
25.6,42.0,45.0,3.3,False
25.7,41.8,44.0,3.7,False
25.7,41.6,44.0,2.4,False
25.8,42.1,44.0,2.7,False
25.8,42.1,44.0,2.2,False
