AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
33.8,51.3,32.0,1.9,False
33.9,50.5,31.0,1.4,False
33.7,50.6,30.0,2.3,False
33.7,50.6,31.0,1.9,False
33.7,50.6,31.0,1.8,False
33.5,50.2,31.0,2.0,False
33.5,49.6,32.0,2.1,False
33.3,49.5,32.0,1.0,False
33.3,49.0,31.0,1.7,False
33.3,48.6,31.0,1.8,False
33.2,48.4,31.0,1.5,False
33.2,47.7,31.0,1.6,False
33.0,47.6,31.0,1.3,False
33.0,47.5,31.0,2.3,False
32.9,47.9,31.0,1.9,False
32.8,47.9,31.0,2.0,False
32.9,47.5,31.0,1.4,False
32.9,47.2,31.0,1.7,False
32.8,46.8,31.0,1.1,False
32.8,46.6,31.0,1.6,False
32.8,46.3,32.0,1.8,False
32.7,46.2,31.0,1.8,False
32.7,46.1,31.0,1.5,False
32.6,45.7,31.0,1.6,False
32.6,45.8,32.0,1.8,False
32.7,45.5,31.0,2.2,False
32.6,45.5,31.0,2.2,False
32.5,45.3,31.0,1.8,False
32.5,46.2,32.0,2.4,False
32.5,46.1,32.0,1.9,False
32.4,45.9,32.0,1.3,False
32.5,45.9,32.0,1.4,False
32.5,45.7,32.0,1.4,False
32.7,45.5,32.0,1.7,False
32.7,45.5,31.0,1.5,False
32.5,45.4,32.0,1.2,False
32.5,45.2,32.0,1.1,False
32.5,45.2,31.0,1.5,False
32.5,44.9,31.0,1.7,False
32.5,44.9,32.0,1.2,False
32.5,44.7,32.0,1.5,False
32.4,44.5,32.0,1.3,False
32.5,45.0,32.0,1.6,False
32.4,44.9,32.0,1.5,False
32.4,44.6,32.0,1.5,False
32.3,44.6,33.0,1.6,False
32.4,44.4,32.0,1.3,False
32.4,44.2,32.0,1.6,False
32.3,44.2,33.0,1.1,False
32.3,44.1,32.0,1.6,False
32.3,44.1,32.0,1.6,False
32.2,43.9,33.0,1.4,False
32.2,43.8,32.0,1.7,False
33.8,51.3,32.0,1.9,False
33.9,50.5,31.0,1.4,False
33.7,50.6,30.0,2.3,False
33.7,50.6,31.0,1.9,False
33.7,50.6,31.0,1.8,False
33.5,50.2,31.0,2.0,False
33.5,49.6,32.0,2.1,False
33.3,49.5,32.0,1.0,False
33.3,49.0,31.0,1.7,False
33.3,48.6,31.0,1.8,False
33.2,48.4,31.0,1.5,False
33.2,47.7,31.0,1.6,False
33.0,47.6,31.0,1.3,False
33.0,47.5,31.0,2.3,False
32.9,47.9,31.0,1.9,False
32.8,47.9,31.0,2.0,False
32.9,47.5,31.0,1.4,False
32.9,47.2,31.0,1.7,False
32.8,46.8,31.0,1.1,False
32.8,46.6,31.0,1.6,False
32.8,46.3,32.0,1.8,False
32.7,46.2,31.0,1.8,False
32.7,46.1,31.0,1.5,False
32.6,45.7,31.0,1.6,False
32.6,45.8,32.0,1.8,False
32.7,45.5,31.0,2.2,False
32.6,45.5,31.0,2.2,False
32.5,45.3,31.0,1.8,False
32.5,46.2,32.0,2.4,False
32.5,46.1,32.0,1.9,False
32.5,46.1,32.0,2.1,False
32.5,45.9,32.0,1.4,False
32.5,45.7,32.0,1.4,False
32.7,45.5,32.0,1.7,False
32.7,45.5,31.0,1.5,False
32.6,45.4,32.0,1.3,False
32.5,45.2,32.0,1.1,False
32.5,45.2,31.0,1.5,False
32.5,44.9,31.0,1.7,False
32.5,44.9,32.0,1.2,False
32.5,44.7,32.0,1.6,False
32.4,44.5,32.0,1.3,False
32.5,45.0,32.0,1.6,False
32.4,44.9,32.0,1.5,False
32.4,44.6,32.0,1.5,False
32.3,44.6,32.0,1.3,False
32.4,44.4,32.0,1.3,False
32.4,44.2,32.0,1.6,False
32.3,44.2,33.0,1.1,False
32.3,44.1,32.0,1.6,False
32.3,44.1,33.0,1.2,False
32.2,43.9,33.0,1.4,False
32.2,43.8,32.0,1.7,False
33.8,51.3,32.0,1.9,False
33.9,50.5,31.0,1.4,False
33.7,50.6,30.0,2.3,False
33.7,50.6,31.0,1.9,False
33.7,50.6,31.0,1.8,False
33.5,50.2,31.0,2.0,False
33.5,49.6,32.0,2.1,False
33.3,49.5,32.0,1.0,False
33.3,49.0,31.0,1.7,False
33.3,48.6,31.0,1.8,False
33.2,48.4,31.0,1.5,False
33.1,47.6,32.0,1.0,False
33.0,47.6,31.0,1.3,False
33.0,47.5,31.0,2.3,False
32.9,47.9,31.0,1.9,False
32.8,47.8,30.0,1.9,False
32.9,47.5,31.0,1.4,False
32.9,47.2,31.0,1.7,False
32.8,46.8,31.0,1.1,False
32.8,46.6,31.0,1.6,False
32.8,46.3,32.0,1.8,False
32.7,46.2,31.0,1.8,False
32.7,46.1,31.0,1.5,False
32.6,45.7,31.0,1.6,False
32.6,45.8,32.0,1.8,False
32.7,45.5,31.0,2.2,False
32.6,45.5,31.0,2.2,False
32.5,45.3,31.0,1.8,False
32.5,46.2,32.0,2.4,False
32.5,46.1,32.0,1.9,False
32.4,45.9,32.0,1.3,False
32.5,45.9,32.0,1.4,False
32.5,45.7,32.0,1.4,False
32.7,45.5,32.0,1.7,False
32.7,45.5,31.0,1.5,False
32.5,45.4,32.0,1.2,False
32.5,45.2,32.0,1.1,False
32.5,45.0,31.0,1.4,False
32.5,44.9,31.0,1.7,False
32.5,44.9,32.0,1.2,False
32.5,44.7,32.0,1.6,False
32.4,44.5,32.0,1.3,False
32.5,44.9,32.0,1.1,False
32.4,44.9,32.0,1.5,False
32.4,44.6,32.0,1.5,False
32.3,44.6,32.0,1.3,False
32.4,44.4,32.0,1.3,False
32.4,44.2,32.0,1.6,False
32.3,44.2,33.0,1.1,False
32.3,44.1,32.0,1.6,False
32.3,44.1,33.0,1.2,False
32.2,43.9,33.0,1.4,False
32.2,43.8,32.0,1.7,False
33.8,51.3,32.0,1.9,False
33.9,50.5,31.0,1.4,False
33.7,50.6,30.0,2.3,False
33.7,50.6,31.0,1.9,False
33.7,50.6,31.0,1.8,False
33.5,50.2,31.0,2.0,False
33.5,49.6,32.0,2.1,False
33.3,49.5,32.0,1.0,False
33.3,49.0,31.0,1.7,False
33.3,48.6,31.0,1.8,False
33.2,48.4,31.0,1.5,False
33.1,47.6,32.0,1.0,False
33.0,47.6,31.0,1.3,False
33.0,47.5,31.0,2.3,False
32.9,47.9,31.0,1.9,False
32.8,47.9,31.0,2.0,False
32.9,47.5,31.0,1.4,False
32.9,47.2,31.0,1.7,False
