AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
18.0,18.0,51.0,2.7,False
18.0,18.2,50.0,1.2,False
18.0,18.0,50.0,1.1,False
18.0,17.9,50.0,2.7,False
17.9,17.8,50.0,2.7,False
17.9,17.7,51.0,2.0,False
17.9,17.7,50.0,2.7,False
17.9,17.6,50.0,2.9,False
17.9,17.6,51.0,3.1,False
17.9,17.6,50.0,2.2,False
17.9,17.6,51.0,3.1,False
17.9,17.7,51.0,1.7,False
17.9,17.5,50.0,2.4,False
17.8,17.5,50.0,3.0,False
17.7,17.5,50.0,2.5,False
17.7,17.4,50.0,3.9,False
17.7,17.4,50.0,3.7,False
17.6,17.3,50.0,3.0,False
17.6,17.3,50.0,3.1,False
17.6,17.4,49.0,2.4,False
17.6,17.4,49.0,3.3,False
17.6,17.4,49.0,3.4,False
17.6,17.3,48.0,3.7,False
17.6,17.2,49.0,3.4,False
17.5,17.1,49.0,3.5,False
17.6,17.2,48.0,4.7,False
17.6,17.2,48.0,2.5,False
17.5,17.1,47.0,4.9,False
17.6,17.0,47.0,2.9,False
17.5,17.0,47.0,4.1,False
17.5,17.1,46.0,3.4,False
17.5,17.0,46.0,2.8,False
17.5,17.0,46.0,3.2,False
17.4,17.0,45.0,3.5,False
17.3,17.0,44.0,3.5,False
17.3,16.9,44.0,4.4,False
17.4,16.9,44.0,2.7,False
17.3,16.9,43.0,3.4,False
17.3,16.9,43.0,4.0,False
17.3,16.8,43.0,3.4,False
17.2,16.8,43.0,3.2,False
17.2,16.8,43.0,3.2,False
17.2,16.8,43.0,4.7,False
17.2,16.8,43.0,3.8,False
17.1,16.8,43.0,3.0,False
17.1,16.7,43.0,4.4,False
17.0,16.7,43.0,5.0,False
17.1,16.7,43.0,3.4,False
17.1,16.7,43.0,4.0,False
17.1,16.7,43.0,4.0,False
18.0,18.0,51.0,2.7,False
18.0,18.2,50.0,1.2,False
18.0,18.0,50.0,1.1,False
18.0,17.9,50.0,2.7,False
17.9,17.8,50.0,2.7,False
17.9,17.7,51.0,2.0,False
17.9,17.7,50.0,2.7,False
17.9,17.6,50.0,2.9,False
17.9,17.6,51.0,3.1,False
17.9,17.7,50.0,2.0,False
17.9,17.6,51.0,3.1,False
17.9,17.7,51.0,1.7,False
17.9,17.5,50.0,2.1,False
17.8,17.5,50.0,3.0,False
17.7,17.5,50.0,2.5,False
17.7,17.4,50.0,3.9,False
17.7,17.4,50.0,3.2,False
17.6,17.3,50.0,3.0,False
17.6,17.3,50.0,3.1,False
17.6,17.4,49.0,2.4,False
17.6,17.4,49.0,3.3,False
17.6,17.2,49.0,2.4,False
17.6,17.3,48.0,3.7,False
17.6,17.2,49.0,3.4,False
17.6,17.2,48.0,3.3,False
17.6,17.2,48.0,4.7,False
17.6,17.2,48.0,2.5,False
17.5,17.1,46.0,3.0,False
