AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
19.8,37.0,50.0,1.3,False
19.9,37.0,50.0,0.9,False
20.0,36.2,50.0,2.9,False
19.9,36.0,51.0,2.2,False
20.0,36.1,52.0,0.6,False
20.0,35.7,50.0,1.3,False
20.1,36.2,51.0,2.0,False
20.3,37.7,50.0,2.9,False
20.4,36.5,51.0,2.8,False
20.1,36.6,50.0,1.8,False
20.1,36.9,50.0,1.5,False
20.2,37.0,51.0,1.2,False
20.1,36.5,50.0,3.6,False
20.1,35.6,50.0,1.8,False
20.1,34.8,50.0,2.3,False
20.0,34.8,51.0,1.9,False
20.0,34.7,51.0,3.2,False
20.1,35.6,51.0,2.3,False
20.4,37.3,49.0,2.3,False
20.5,37.4,49.0,2.1,False
20.5,37.8,49.0,2.4,False
20.5,37.8,49.0,2.1,False
20.6,38.0,49.0,2.2,False
20.9,38.6,48.0,2.7,False
21.0,38.6,48.0,2.5,False
21.0,38.4,48.0,2.6,False
21.0,39.0,48.0,2.1,False
21.1,39.3,49.0,1.2,False
21.0,39.3,49.0,1.5,False
21.0,39.5,48.0,1.3,False
21.1,39.7,48.0,0.8,False
21.0,39.7,48.0,1.1,False
21.1,40.2,47.0,2.0,False
21.1,40.2,47.0,2.0,False
21.0,39.9,47.0,2.0,False
21.1,39.7,47.0,1.9,False
21.2,39.5,47.0,2.4,False
21.1,38.4,47.0,2.2,False
21.0,37.8,48.0,1.6,False
20.9,38.1,49.0,1.0,False
20.8,38.5,48.0,1.5,False
20.7,38.1,48.0,2.1,False
20.5,36.6,49.0,2.2,False
20.4,35.8,49.0,2.8,False
20.4,35.6,49.0,2.2,False
20.4,34.8,48.0,1.3,False
20.3,34.5,48.0,3.8,False
20.3,34.0,49.0,2.7,False
20.2,33.5,50.0,1.7,False
20.2,33.1,50.0,1.6,False
20.2,33.1,50.0,1.6,False
20.1,32.8,51.0,3.7,False
20.0,32.6,51.0,3.1,False
20.0,32.4,52.0,2.2,False
20.0,32.3,51.0,2.7,False
20.0,32.2,51.0,2.9,False
20.0,32.1,51.0,2.4,False
20.0,31.6,52.0,2.8,False
20.0,31.6,52.0,2.5,False
20.0,31.3,52.0,2.3,False
20.0,31.3,52.0,2.9,False
19.9,31.1,52.0,2.8,False
19.8,31.1,53.0,3.5,False
19.8,31.0,53.0,4.2,False
19.8,31.0,53.0,3.9,False
19.9,31.2,53.0,2.4,False
19.9,31.2,53.0,2.1,False
19.9,30.9,53.0,1.5,False
19.8,31.0,53.0,3.6,False
19.7,30.9,53.0,2.8,False
19.7,30.7,53.0,2.7,False
19.8,37.0,50.0,1.3,False
19.9,36.7,50.0,2.4,False
20.0,36.2,50.0,2.9,False
19.9,36.0,51.0,2.2,False
20.0,36.1,52.0,0.6,False
20.0,35.7,50.0,1.3,False
20.1,36.2,51.0,2.0,False
20.3,37.7,50.0,2.9,False
20.4,36.5,51.0,2.8,False
20.1,36.6,50.0,1.8,False
20.1,36.9,50.0,1.5,False
20.2,37.0,51.0,1.2,False
20.1,36.5,50.0,3.6,False
20.1,35.6,50.0,1.8,False
20.1,34.8,50.0,2.3,False
20.0,34.8,51.0,1.9,False
20.0,34.7,51.0,3.2,False
20.3,36.6,50.0,2.6,False
20.4,37.3,49.0,2.3,False
20.5,37.4,49.0,2.1,False
20.4,37.8,49.0,2.1,False
20.5,37.8,49.0,2.1,False
20.6,38.0,49.0,2.2,False
20.9,38.6,48.0,2.7,False
21.0,38.6,48.0,2.5,False
21.0,38.4,48.0,2.6,False
21.0,39.0,48.0,2.1,False
21.1,39.3,49.0,1.2,False
21.0,39.5,49.0,0.9,False
21.0,39.5,48.0,1.3,False
21.1,39.7,48.0,0.8,False
21.1,40.0,47.0,1.3,False
21.1,40.2,47.0,2.0,False
21.1,40.2,47.0,2.0,False
21.0,39.9,47.0,2.0,False
21.1,39.7,47.0,1.9,False
21.2,39.5,47.0,2.4,False
21.1,38.4,47.0,2.2,False
20.9,38.2,48.0,2.5,False
20.9,38.1,49.0,1.0,False
20.8,38.5,48.0,1.5,False
20.5,37.5,49.0,2.3,False
20.5,36.6,49.0,2.2,False
20.4,35.8,49.0,2.8,False
20.4,35.3,48.0,1.7,False
20.4,34.8,48.0,1.3,False
20.3,34.5,48.0,3.8,False
20.2,33.8,49.0,2.9,False
20.2,33.5,50.0,1.7,False
20.2,33.1,50.0,1.6,False
20.1,33.1,51.0,2.8,False
20.1,32.8,51.0,3.7,False
20.0,32.6,51.0,3.1,False
20.0,32.3,52.0,1.3,False
20.0,32.3,51.0,2.7,False
20.0,32.2,51.0,2.9,False
20.0,32.1,51.0,2.4,False
20.0,31.6,52.0,2.8,False
20.0,31.6,52.0,2.5,False
20.0,31.3,52.0,2.3,False
20.0,31.3,52.0,2.9,False
19.9,31.1,52.0,2.8,False
19.8,31.1,53.0,3.5,False
19.8,31.0,53.0,4.2,False
19.8,31.0,53.0,3.9,False
19.9,31.2,53.0,2.4,False
19.9,31.2,53.0,2.1,False
19.9,30.9,53.0,1.5,False
19.8,31.0,53.0,3.6,False
19.7,30.9,53.0,2.8,False
19.7,30.7,53.0,2.7,False
19.8,37.0,50.0,1.3,False
19.9,36.7,50.0,2.4,False
20.0,36.2,50.0,2.9,False
19.9,36.0,51.0,2.2,False
20.0,36.1,52.0,0.6,False
20.0,35.7,50.0,1.3,False
20.1,36.2,51.0,2.0,False
20.3,37.7,50.0,2.9,False
20.4,36.5,51.0,2.8,False
20.1,36.6,50.0,1.8,False
20.1,36.9,50.0,1.5,False
20.2,37.0,51.0,1.2,False
20.1,36.5,50.0,3.6,False
20.1,35.6,50.0,1.8,False
20.1,34.8,50.0,2.3,False
20.0,34.8,51.0,1.9,False
20.0,34.7,51.0,3.2,False
20.1,35.6,51.0,2.3,False
20.4,37.3,49.0,2.3,False
20.5,37.4,49.0,2.1,False
20.4,37.8,49.0,2.1,False
20.5,37.8,49.0,2.1,False
20.6,38.0,49.0,2.2,False
20.9,38.6,48.0,2.7,False
21.0,38.6,48.0,2.5,False
21.0,38.4,48.0,2.6,False
21.0,39.0,48.0,2.1,False
21.1,39.3,49.0,1.2,False
21.0,39.3,49.0,1.5,False
21.0,39.5,48.0,1.3,False
21.1,39.7,48.0,0.8,False
21.1,40.0,47.0,1.3,False
21.1,40.2,47.0,2.0,False
21.1,40.2,47.0,2.0,False
21.0,39.9,47.0,2.0,False
21.1,39.7,47.0,1.9,False
21.2,39.5,47.0,2.4,False
21.1,38.4,47.0,2.2,False
21.0,37.8,48.0,1.6,False
20.9,38.1,49.0,1.0,False
20.8,38.5,48.0,1.5,False
20.7,38.1,48.0,2.1,False
20.5,36.6,49.0,2.2,False
20.4,35.8,49.0,2.8,False
20.4,35.6,49.0,2.2,False
20.4,34.8,48.0,1.3,False
20.3,34.5,48.0,3.8,False
20.2,33.8,49.0,2.9,False
20.2,33.5,50.0,1.7,False
20.2,33.1,50.0,1.6,False
20.1,33.1,51.0,2.8,False
20.1,32.8,51.0,3.7,False
20.0,32.6,51.0,3.1,False
20.0,32.3,52.0,1.3,False
20.0,32.3,51.0,2.7,False
20.0,32.2,51.0,2.9,False
20.0,32.1,51.0,2.4,False
20.0,31.6,52.0,2.8,False
20.0,31.6,52.0,2.5,False
20.0,31.3,52.0,2.3,False
20.0,31.3,52.0,2.9,False
19.9,31.1,52.0,2.8,False
19.8,31.1,53.0,3.5,False
19.8,31.0,53.0,4.2,False
19.8,31.0,53.0,3.9,False
19.9,31.2,53.0,2.4,False
19.9,31.2,53.0,2.1,False
19.9,30.9,53.0,1.5,False
19.8,31.0,53.0,3.6,False
19.7,30.9,53.0,2.8,False
19.8,30.6,53.0,2.3,False
19.8,37.0,50.0,1.3,False
19.9,36.7,50.0,2.4,False
20.0,36.2,50.0,2.9,False
19.9,36.0,51.0,2.2,False
20.0,36.1,52.0,0.6,False
20.0,35.7,50.0,1.3,False
20.1,36.2,51.0,2.0,False
20.3,37.7,50.0,2.9,False
20.4,36.5,51.0,2.8,False
20.1,36.6,50.0,1.8,False
20.1,36.9,50.0,1.5,False
20.2,37.0,51.0,1.2,False
20.1,36.5,50.0,3.6,False
20.1,35.6,50.0,1.8,False
20.1,34.8,50.0,2.3,False
20.0,34.8,51.0,1.9,False
20.0,34.7,51.0,3.2,False
20.3,36.6,50.0,2.6,False
20.4,37.3,49.0,2.3,False
20.5,37.4,49.0,2.1,False
20.4,37.8,49.0,2.1,False
20.5,37.8,49.0,2.1,False
20.8,38.1,49.0,1.3,False
20.9,38.6,48.0,2.7,False
21.0,38.6,48.0,2.5,False
21.0,38.7,48.0,2.4,False
21.0,39.0,48.0,2.1,False
21.1,39.3,49.0,1.2,False
21.0,39.5,49.0,0.9,False
21.1,39.7,48.0,0.8,False
21.0,39.7,48.0,1.1,False
21.1,40.0,47.0,1.3,False
21.2,40.2,47.0,2.0,False
21.1,40.2,47.0,2.0,False
21.0,39.9,47.0,2.0,False
21.2,39.6,47.0,1.7,False
21.2,39.5,47.0,2.4,False
21.1,38.4,47.0,2.2,False
20.9,38.2,48.0,2.5,False
20.9,38.1,49.0,1.0,False
20.7,38.1,48.0,2.1,False
20.5,37.5,49.0,2.3,False
20.5,36.6,49.0,2.2,False
20.4,35.6,49.0,2.2,False
20.4,35.3,48.0,1.7,False
20.4,34.8,48.0,1.3,False
20.3,34.0,49.0,2.7,False
20.2,33.8,49.0,2.9,False
20.2,33.5,50.0,1.7,False
20.2,33.1,50.0,1.6,False
20.1,33.1,51.0,2.8,False
20.1,32.8,51.0,3.7,False
20.0,32.4,52.0,2.2,False
20.0,32.3,52.0,1.3,False
20.0,32.3,51.0,2.7,False
20.0,32.1,51.0,2.7,False
20.0,32.1,51.0,2.4,False
20.0,31.6,52.0,2.8,False
20.0,31.4,52.0,2.9,False
20.0,31.3,52.0,2.3,False
19.9,31.1,52.0,2.8,False
19.9,31.1,53.0,3.9,False
19.8,31.1,53.0,3.5,False
19.8,31.0,53.0,3.9,False
19.8,31.0,53.0,2.8,False
19.9,31.2,53.0,2.4,False
19.9,30.9,53.0,1.5,False
19.9,30.9,52.0,3.7,False
19.8,31.0,53.0,3.6,False
19.7,30.7,53.0,2.7,False
19.8,30.6,53.0,2.3,False
19.8,37.0,50.0,1.3,False
19.9,36.7,50.0,2.4,False
20.0,36.2,50.0,2.9,False
19.9,36.0,51.0,2.2,False
20.0,36.1,52.0,0.6,False
20.1,35.7,51.0,2.5,False
20.1,36.2,51.0,2.0,False
20.3,37.7,50.0,2.9,False
20.4,36.5,51.0,2.8,False
20.1,36.6,50.0,1.8,False
20.1,36.9,50.0,1.5,False
20.2,37.0,51.0,1.2,False
20.1,36.5,50.0,3.6,False
20.1,35.6,50.0,1.8,False
20.1,34.8,50.0,2.3,False
20.0,34.8,51.0,1.9,False
20.0,34.7,51.0,3.2,False
20.3,36.6,50.0,2.6,False
20.4,37.3,49.0,2.3,False
20.5,37.4,49.0,2.1,False
20.4,37.8,49.0,2.1,False
20.5,37.8,49.0,2.1,False
20.6,38.0,49.0,2.2,False
20.9,38.6,48.0,2.7,False
21.0,38.6,48.0,2.5,False
21.0,38.7,48.0,2.4,False
21.0,39.0,48.0,2.1,False
21.1,39.3,49.0,1.2,False
21.0,39.5,49.0,0.9,False
21.0,39.5,48.0,1.3,False
21.1,39.7,48.0,0.8,False
21.1,40.0,47.0,1.3,False
21.2,40.2,47.0,2.0,False
21.1,40.2,47.0,2.0,False
21.0,39.9,47.0,2.0,False
21.2,39.6,47.0,1.7,False
21.2,39.5,47.0,2.4,False
21.1,38.4,47.0,2.2,False
20.9,38.2,48.0,2.5,False
20.9,38.1,49.0,1.0,False
20.8,38.5,48.0,1.5,False
20.5,37.5,49.0,2.3,False
20.5,36.6,49.0,2.2,False
20.4,35.6,49.0,2.2,False
20.4,35.3,48.0,1.7,False
20.4,34.8,48.0,1.3,False
20.3,34.0,49.0,2.7,False
20.2,33.8,49.0,2.9,False
20.2,33.5,50.0,1.7,False
20.2,33.1,50.0,1.6,False
20.1,33.1,51.0,2.8,False
20.1,32.8,51.0,3.7,False
20.0,32.4,52.0,2.2,False
20.0,32.3,52.0,1.3,False
20.0,32.3,51.0,2.7,False
20.0,32.1,51.0,2.7,False
20.0,32.1,51.0,2.4,False
20.0,31.6,52.0,2.8,False
20.0,31.4,52.0,2.9,False
20.0,31.3,52.0,2.3,False
19.9,31.1,52.0,2.8,False
19.9,31.1,53.0,3.9,False
19.8,31.1,53.0,3.5,False
19.8,31.0,53.0,3.9,False
19.8,31.0,53.0,2.8,False
19.9,31.2,53.0,2.4,False
19.9,30.9,53.0,1.5,False
19.9,30.9,52.0,3.7,False
19.8,31.0,53.0,3.6,False
19.7,30.7,53.0,2.7,False
19.8,30.6,53.0,2.3,False
19.8,37.0,50.0,1.3,False
19.9,37.0,50.0,0.9,False
20.0,36.2,50.0,2.9,False
19.9,36.0,51.0,2.2,False
