AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
29.1,46.2,54.0,2.1,False
29.2,48.5,55.0,1.2,False
28.9,48.5,55.0,1.2,False
29.1,48.1,53.0,3.3,False
29.3,47.2,55.0,3.0,False
29.1,47.2,56.0,2.7,False
29.0,46.7,56.0,1.9,False
29.0,46.7,55.0,3.5,False
29.0,46.4,56.0,3.1,False
29.0,46.4,56.0,3.1,False
29.1,47.1,55.0,3.2,False
29.1,46.8,56.0,3.2,False
29.0,46.9,55.0,2.5,False
28.9,45.6,57.0,3.2,False
28.9,45.6,56.0,3.6,False
29.0,45.5,56.0,3.1,False
28.8,45.4,56.0,2.7,False
28.8,45.4,57.0,2.6,False
28.8,49.1,55.0,3.2,False
29.0,49.5,53.0,3.3,False
29.1,46.2,54.0,2.1,False
29.2,46.2,55.0,2.1,False
29.0,48.0,53.0,2.9,False
29.1,48.1,53.0,3.3,False
29.2,48.9,53.0,1.9,False
29.2,48.4,54.0,3.7,False
29.1,47.2,56.0,2.7,False
29.0,46.7,56.0,1.9,False
28.9,46.7,55.0,3.7,False
29.0,46.4,56.0,3.1,False
29.0,46.4,56.0,3.1,False
29.1,46.6,56.0,2.4,False
29.1,46.8,56.0,3.2,False
29.0,46.9,55.0,2.5,False
28.9,45.6,56.0,4.2,False
28.9,45.6,56.0,3.6,False
29.0,45.5,56.0,3.1,False
28.8,45.4,56.0,2.7,False
28.8,45.4,57.0,2.6,False
28.8,49.1,55.0,3.2,False
29.0,49.5,53.0,3.3,False
29.1,47.6,54.0,2.4,False
29.2,46.2,55.0,2.1,False
29.0,48.0,53.0,2.9,False
29.1,48.1,53.0,3.3,False
29.3,49.0,53.0,3.2,False
29.1,47.2,56.0,2.7,False
29.0,46.7,56.0,1.9,False
29.0,47.8,56.0,2.9,False
28.9,46.7,55.0,3.7,False
29.0,46.4,56.0,3.1,False
29.0,46.4,56.0,3.1,False
29.1,46.6,56.0,2.4,False
29.1,46.8,56.0,3.2,False
29.0,46.9,55.0,2.5,False
28.9,45.6,56.0,4.2,False
28.9,45.6,56.0,3.6,False
29.0,45.5,56.0,3.1,False
28.8,45.4,56.0,2.7,False
28.8,45.5,57.0,3.2,False
29.0,49.5,55.0,2.3,False
29.1,47.6,54.0,2.4,False
29.1,46.2,54.0,2.1,False
29.2,48.5,55.0,1.2,False
29.1,48.1,53.0,3.3,False
29.2,48.9,53.0,1.9,False
29.2,48.4,54.0,3.7,False
29.0,46.7,55.0,3.5,False
28.9,46.7,55.0,3.7,False
29.0,46.4,56.0,3.1,False
29.1,46.6,56.0,2.4,False
29.1,47.1,55.0,3.2,False
29.1,46.8,55.0,2.7,False
28.9,45.6,57.0,3.2,False
28.9,45.6,56.0,3.6,False
28.9,45.6,57.0,3.9,False
28.8,45.4,56.0,3.8,False
28.8,45.4,57.0,2.6,False
28.8,49.1,55.0,3.2,False
29.0,49.5,53.0,3.3,False
29.1,46.2,54.0,2.1,False
29.2,48.5,55.0,1.2,False
29.0,48.0,53.0,2.9,False
29.0,48.3,53.0,2.0,False
29.3,49.0,53.0,3.2,False
29.3,47.2,55.0,3.0,False
29.1,47.2,56.0,2.7,False
29.0,46.7,56.0,1.9,False
29.0,46.7,55.0,3.5,False
29.0,46.4,56.0,3.1,False
29.0,46.4,56.0,3.1,False
29.1,47.1,55.0,3.2,False
29.1,46.8,55.0,2.7,False
29.0,46.9,55.0,2.5,False
28.9,45.6,56.0,4.2,False
28.9,45.6,56.0,3.6,False
29.0,45.5,56.0,3.1,False
28.8,45.4,56.0,2.7,False
28.8,45.4,57.0,2.6,False
29.0,49.5,55.0,2.3,False
29.1,47.6,54.0,2.4,False
29.1,46.2,54.0,2.1,False
29.1,48.5,55.0,1.2,False
29.0,48.0,53.0,2.9,False
29.1,48.1,53.0,3.3,False
29.2,48.9,53.0,1.9,False
29.1,47.2,56.0,2.7,False
29.0,46.7,56.0,1.9,False
29.0,46.7,55.0,3.5,False
29.0,46.4,56.0,3.1,False
29.0,46.4,56.0,3.1,False
29.1,47.1,55.0,3.2,False
29.1,46.8,55.0,2.7,False
28.9,45.6,56.0,4.2,False
28.9,45.6,56.0,3.6,False
29.0,45.5,56.0,3.1,False
28.8,45.4,56.0,3.8,False
28.8,45.4,57.0,2.6,False
28.8,49.1,55.0,3.2,False
29.0,49.5,55.0,2.3,False
29.1,47.6,54.0,2.4,False
29.2,46.2,55.0,2.1,False
28.9,48.5,55.0,1.2,False
29.1,48.1,53.0,3.3,False
29.2,48.9,53.0,1.9,False
29.1,47.2,56.0,2.7,False
29.0,46.7,56.0,1.9,False
29.0,47.8,56.0,2.9,False
28.9,46.7,55.0,3.7,False
29.0,46.4,56.0,3.1,False
29.0,46.4,56.0,3.1,False
29.1,46.6,56.0,2.4,False
29.1,46.8,56.0,3.2,False
29.0,46.9,55.0,2.5,False
28.9,45.6,57.0,3.2,False
28.9,45.6,56.0,4.2,False
28.9,45.6,57.0,3.9,False
28.8,45.4,56.0,2.7,False
28.8,45.5,57.0,3.2,False
28.8,49.1,55.0,3.3,False
29.0,49.5,55.0,2.3,False
29.1,47.6,54.0,2.4,False
29.1,46.2,54.0,2.1,False
28.9,48.5,55.0,1.2,False
29.0,48.0,53.0,2.9,False
29.0,48.3,53.0,2.0,False
29.1,47.2,56.0,2.7,False
29.1,46.7,55.0,3.5,False
29.0,46.9,55.0,2.9,False
28.9,46.7,55.0,3.7,False
29.0,46.4,56.0,3.1,False
29.0,46.4,56.0,3.1,False
29.1,46.6,56.0,2.4,False
29.1,46.8,56.0,3.2,False
29.0,46.9,55.0,2.5,False
28.9,45.6,57.0,3.2,False
28.9,45.6,56.0,4.2,False
28.9,45.6,57.0,3.9,False
28.8,45.4,56.0,2.7,False
28.8,45.5,57.0,3.2,False
28.8,49.1,55.0,3.3,False
29.0,49.5,55.0,2.3,False
29.0,49.5,53.0,3.3,False
29.1,46.2,54.0,2.1,False
29.1,48.5,55.0,1.2,False
28.9,48.5,55.0,1.2,False
29.1,48.1,53.0,3.3,False
29.3,47.2,55.0,3.0,False
29.1,46.7,55.0,3.5,False
29.0,46.7,56.0,1.9,False
29.0,46.4,56.0,3.1,False
29.0,46.4,56.0,3.1,False
29.2,46.4,56.0,3.1,False
29.1,46.3,55.0,3.4,False
29.1,47.1,55.0,3.2,False
29.1,46.8,55.0,2.7,False
29.0,45.7,57.0,3.3,False
28.9,45.6,56.0,4.2,False
28.9,45.6,57.0,3.9,False
28.8,45.4,56.0,3.8,False
28.8,45.4,56.0,2.7,False
29.0,49.5,55.0,2.3,False
29.1,47.6,54.0,2.4,False
29.1,46.2,54.0,2.1,False
29.2,48.5,55.0,1.2,False
28.9,48.5,55.0,1.2,False
29.1,48.1,53.0,3.3,False
29.2,48.9,53.0,1.9,False
29.1,47.2,56.0,2.7,False
29.1,46.7,55.0,3.5,False
29.0,46.9,55.0,2.9,False
29.0,46.7,55.0,3.5,False
28.9,46.7,55.0,3.7,False
29.0,46.4,56.0,3.1,False
29.1,46.3,55.0,3.4,False
29.1,47.1,55.0,3.2,False
29.1,46.8,55.0,2.7,False
28.9,45.6,57.0,3.2,False
28.9,45.6,56.0,4.2,False
28.9,45.6,57.0,3.9,False
28.8,45.4,56.0,3.8,False
28.8,45.4,56.0,2.7,False
28.8,49.1,55.0,3.2,False
29.0,49.5,53.0,3.3,False
29.1,46.2,54.0,2.1,False
29.2,46.2,55.0,2.1,False
29.1,48.5,55.0,1.2,False
29.0,48.0,53.0,2.9,False
29.0,48.3,53.0,2.0,False
