AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
24.2,37.5,67.0,1.4,False
24.2,37.5,68.0,1.4,False
24.2,37.5,68.0,0.8,False
24.2,37.3,67.0,1.3,False
24.0,36.2,68.0,1.2,False
24.0,36.2,68.0,0.5,False
24.0,36.2,68.0,1.0,False
23.9,36.0,70.0,1.9,False
24.0,36.3,70.0,0.8,False
24.0,36.2,70.0,0.9,False
24.0,35.9,69.0,0.9,False
24.1,36.0,69.0,1.2,False
24.2,37.5,67.0,1.4,False
24.2,37.0,68.0,0.8,False
24.2,37.5,68.0,0.8,False
24.2,37.5,67.0,1.3,False
24.0,36.2,68.0,1.2,False
24.0,36.0,67.0,1.7,False
24.1,35.8,68.0,1.4,False
23.9,35.6,70.0,1.5,False
23.9,36.0,70.0,1.9,False
24.0,36.2,70.0,0.9,False
24.0,36.0,69.0,1.2,False
24.0,35.9,69.0,0.9,False
24.2,37.5,67.0,1.4,False
24.2,37.5,68.0,1.4,False
24.2,37.5,68.0,0.8,False
24.2,37.3,67.0,1.3,False
24.1,36.7,68.0,1.0,False
24.1,36.7,68.0,2.1,False
24.1,36.5,69.0,1.0,False
24.0,36.2,68.0,1.2,False
24.0,36.0,67.0,1.7,False
24.1,35.8,68.0,1.4,False
24.0,35.8,68.0,1.8,False
23.9,35.6,69.0,1.7,False
23.9,35.2,69.0,1.7,False
23.9,36.0,70.0,1.9,False
24.0,36.3,70.0,0.8,False
24.1,36.1,68.0,1.0,False
24.0,35.9,69.0,0.9,False
24.1,36.0,69.0,1.2,False
24.2,37.0,68.0,0.8,False
24.2,37.5,68.0,0.8,False
24.2,37.5,67.0,1.3,False
24.4,37.3,67.0,1.4,False
24.0,36.5,68.0,1.8,False
24.0,36.2,68.0,0.5,False
24.0,36.0,67.0,1.7,False
24.1,35.8,68.0,1.4,False
23.9,35.6,69.0,1.7,False
23.9,34.8,69.0,1.6,False
23.9,35.5,69.0,1.6,False
23.9,36.0,70.0,1.9,False
24.0,36.3,70.0,0.8,False
24.1,36.1,68.0,1.0,False
24.0,35.9,69.0,0.9,False
24.1,36.0,69.0,1.2,False
24.2,37.0,68.0,0.8,False
24.2,37.5,68.0,0.8,False
24.2,37.5,67.0,1.3,False
24.4,37.3,67.0,1.4,False
24.0,36.2,68.0,1.2,False
24.0,36.2,68.0,0.5,False
24.0,36.0,67.0,1.7,False
23.9,36.0,70.0,1.9,False
24.0,36.3,70.0,0.8,False
24.1,36.1,68.0,1.0,False
24.0,36.0,69.0,1.2,False
24.0,35.9,69.0,0.9,False
24.2,37.0,68.0,0.8,False
24.2,37.5,68.0,0.8,False
24.2,37.5,67.0,1.3,False
24.4,37.3,67.0,1.4,False
24.0,36.2,68.0,1.2,False
24.0,36.2,68.0,0.5,False
24.1,35.8,68.0,1.4,False
23.9,35.6,70.0,1.5,False
23.9,36.0,70.0,1.9,False
24.0,36.2,70.0,0.9,False
24.0,36.0,69.0,1.2,False
24.0,35.9,69.0,0.9,False
24.2,37.0,68.0,0.8,False
24.2,37.5,68.0,0.8,False
24.2,37.5,67.0,1.3,False
24.4,37.3,67.0,1.4,False
24.1,36.7,68.0,2.1,False
24.0,36.5,68.0,1.8,False
24.2,36.5,68.0,1.2,False
23.9,36.3,69.0,1.2,False
24.0,36.2,68.0,1.2,False
24.0,36.0,67.0,1.7,False
23.9,35.6,69.0,1.7,False
23.9,34.8,69.0,1.6,False
23.9,35.5,69.0,1.6,False
23.9,36.0,70.0,1.9,False
24.0,36.3,70.0,0.8,False
24.0,36.2,70.0,0.9,False
24.0,36.0,69.0,1.2,False
24.1,36.0,69.0,1.2,False
24.2,37.5,68.0,0.9,False
24.2,37.0,68.0,0.8,False
24.2,37.5,68.0,1.4,False
24.2,37.5,67.0,1.3,False
24.1,36.9,68.0,1.7,False
24.1,36.7,68.0,2.1,False
24.0,36.5,68.0,1.8,False
23.9,36.3,69.0,1.2,False
24.0,36.2,68.0,1.2,False
24.0,36.0,67.0,1.7,False
23.9,35.6,69.0,1.7,False
23.9,34.8,69.0,1.6,False
23.9,35.5,69.0,1.6,False
23.9,35.6,70.0,1.9,False
23.9,35.6,70.0,1.5,False
24.0,36.3,70.0,0.8,False
24.0,36.0,69.0,1.4,False
24.0,36.0,69.0,1.2,False
24.2,37.5,67.0,1.4,False
24.2,37.5,68.0,1.4,False
24.2,37.5,67.0,1.3,False
24.2,37.3,67.0,1.3,False
24.1,36.7,68.0,1.0,False
24.1,36.7,68.0,2.1,False
24.1,36.5,69.0,1.0,False
24.0,36.1,69.0,1.1,False
24.0,36.2,68.0,1.2,False
24.0,36.0,67.0,1.7,False
24.0,35.8,68.0,1.8,False
23.9,34.8,69.0,1.6,False
23.9,35.2,69.0,1.7,False
23.9,35.6,70.0,1.5,False
23.9,36.0,70.0,1.9,False
24.0,36.2,70.0,0.9,False
24.0,36.0,69.0,1.4,False
24.0,35.9,69.0,0.9,False
24.2,37.5,67.0,1.4,False
24.2,37.5,68.0,1.4,False
24.2,37.5,68.0,0.8,False
24.2,37.3,67.0,1.3,False
24.1,36.7,68.0,1.0,False
24.1,36.7,68.0,2.1,False
24.1,36.5,69.0,1.0,False
24.0,36.2,68.0,1.2,False
24.0,36.2,68.0,0.5,False
24.1,35.8,68.0,1.4,False
23.9,35.6,69.0,1.7,False
