AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
25.1,29.4,76.0,1.6,False
25.2,29.5,76.0,1.3,False
25.2,29.3,76.0,1.2,False
25.2,29.3,77.0,1.6,False
25.1,29.1,77.0,0.9,False
25.1,29.3,77.0,1.1,False
25.2,29.5,76.0,1.6,False
25.0,28.6,77.0,1.2,False
25.0,28.7,78.0,1.0,False
25.0,28.7,78.0,1.0,False
25.0,28.8,78.0,1.5,False
25.0,29.0,77.0,1.2,False
25.1,28.9,77.0,1.0,False
25.0,28.5,78.0,0.9,False
24.9,28.5,78.0,0.8,False
25.0,28.7,78.0,0.8,False
24.9,28.5,78.0,1.0,False
25.0,28.6,78.0,0.6,False
25.2,29.5,76.0,1.6,False
25.2,29.3,76.0,1.2,False
25.2,29.3,77.0,1.8,False
25.2,29.4,77.0,1.3,False
25.2,29.1,77.0,0.8,False
25.1,29.1,77.0,0.9,False
25.2,29.3,77.0,1.2,False
25.0,28.8,78.0,1.5,False
25.0,28.9,77.0,1.1,False
25.1,28.9,77.0,1.0,False
25.0,28.9,77.0,1.5,False
25.0,29.1,77.0,1.5,False
25.0,28.5,78.0,1.0,False
24.9,28.5,78.0,0.8,False
25.0,28.7,78.0,0.8,False
24.9,28.5,78.0,1.0,False
25.0,28.6,78.0,0.6,False
25.2,29.5,76.0,1.6,False
25.2,29.3,77.0,1.8,False
25.2,29.3,77.0,1.6,False
25.2,29.5,77.0,1.5,False
25.1,29.0,77.0,0.7,False
25.1,29.1,77.0,0.9,False
25.2,29.3,77.0,1.2,False
25.0,28.8,78.0,1.5,False
25.0,28.9,77.0,1.1,False
25.0,29.0,77.0,1.2,False
25.0,28.9,77.0,1.5,False
25.0,29.1,77.0,1.5,False
25.0,28.5,78.0,1.0,False
24.9,28.6,78.0,1.1,False
25.0,28.6,78.0,0.7,False
24.9,28.5,78.0,1.0,False
25.0,28.6,78.0,0.6,False
25.2,29.5,76.0,1.6,False
25.2,29.3,77.0,1.8,False
25.2,29.3,77.0,1.6,False
25.2,29.5,77.0,1.5,False
25.1,29.0,77.0,0.7,False
25.1,29.3,77.0,1.1,False
25.2,29.5,76.0,1.6,False
25.0,28.7,78.0,1.0,False
25.0,28.8,78.0,1.5,False
25.0,29.0,77.0,1.2,False
25.0,28.9,77.0,0.9,False
25.0,29.1,77.0,1.4,False
25.1,29.0,76.0,1.1,False
24.9,28.5,78.0,0.8,False
24.9,28.6,78.0,1.1,False
25.0,28.6,78.0,0.7,False
24.9,28.5,78.0,1.0,False
25.0,28.6,78.0,0.6,False
25.1,29.4,76.0,1.6,False
25.2,29.5,76.0,1.3,False
25.2,29.3,77.0,1.8,False
25.2,29.3,77.0,1.6,False
25.1,29.1,77.0,0.9,False
25.1,29.3,77.0,1.1,False
25.2,29.5,76.0,1.6,False
25.0,28.8,78.0,1.5,False
25.0,28.8,78.0,1.5,False
25.0,29.0,77.0,1.2,False
25.0,28.9,77.0,1.1,False
25.0,28.9,77.0,1.5,False
25.0,29.1,77.0,1.5,False
25.0,28.5,78.0,1.0,False
24.9,28.6,78.0,1.1,False
25.0,28.7,78.0,0.8,False
24.9,28.5,78.0,1.0,False
25.0,28.6,78.0,0.6,False
25.2,29.5,76.0,1.6,False
25.2,29.3,76.0,1.2,False
25.2,29.3,77.0,1.8,False
25.2,29.4,77.0,1.3,False
25.1,29.3,77.0,1.1,False
25.2,29.3,77.0,1.2,False
25.1,29.5,76.0,1.5,False
25.0,28.8,78.0,1.5,False
25.0,28.8,78.0,1.5,False
25.0,29.0,77.0,1.2,False
25.0,28.9,77.0,0.9,False
25.0,29.1,77.0,1.4,False
25.1,29.0,76.0,1.1,False
25.0,28.5,78.0,1.0,False
24.9,28.6,78.0,1.1,False
25.0,28.7,78.0,0.8,False
24.9,28.5,78.0,1.0,False
25.0,28.6,78.0,0.6,False
25.2,29.7,76.0,1.1,False
25.2,29.6,76.0,1.6,False
25.2,29.5,76.0,1.6,False
25.2,29.3,76.0,1.2,False
25.2,29.4,77.0,1.3,False
25.2,29.5,77.0,1.5,False
25.2,29.4,76.0,0.7,False
25.1,29.3,77.0,1.1,False
25.2,29.5,76.0,1.6,False
25.2,29.2,76.0,0.5,False
25.0,28.8,78.0,1.5,False
25.0,28.8,78.0,1.5,False
25.0,29.0,77.0,1.2,False
25.0,28.9,77.0,0.9,False
25.0,28.9,77.0,1.5,False
25.0,29.1,77.0,1.5,False
25.0,28.5,78.0,0.9,False
24.9,28.5,78.0,0.8,False
25.0,28.7,78.0,0.8,False
24.9,28.5,78.0,1.0,False
24.9,28.5,78.0,1.0,False
25.2,29.5,76.0,1.6,False
25.2,29.3,76.0,1.2,False
25.2,29.3,77.0,1.8,False
25.2,29.4,77.0,1.3,False
25.1,29.3,77.0,1.1,False
25.2,29.3,77.0,1.2,False
25.1,29.5,76.0,1.5,False
25.0,28.7,78.0,1.0,False
25.0,28.8,78.0,1.5,False
25.0,28.9,77.0,1.1,False
25.0,28.9,77.0,0.9,False
25.0,29.1,77.0,1.4,False
25.0,29.1,77.0,1.5,False
25.0,28.5,78.0,1.0,False
24.9,28.5,78.0,0.8,False
25.0,28.7,78.0,0.8,False
24.9,28.5,78.0,1.0,False
24.9,28.5,78.0,1.0,False
25.1,29.4,76.0,1.6,False
25.2,29.5,76.0,1.3,False
25.2,29.3,76.0,1.2,False
25.2,29.3,77.0,1.6,False
25.1,29.0,77.0,0.7,False
25.1,29.1,77.0,0.9,False
25.2,29.3,77.0,1.2,False
25.0,28.7,78.0,1.0,False
25.0,28.8,78.0,1.5,False
25.0,28.9,77.0,1.1,False
25.0,28.9,77.0,0.9,False
25.0,28.9,77.0,1.5,False
25.0,29.1,77.0,1.5,False
25.0,28.5,78.0,1.0,False
24.9,28.5,78.0,0.8,False
25.0,28.7,78.0,0.8,False
24.9,28.5,78.0,1.0,False
25.0,28.6,78.0,0.6,False
25.1,29.4,76.0,1.6,False
25.2,29.5,76.0,1.3,False
25.2,29.3,76.0,1.2,False
25.2,29.3,77.0,1.6,False
25.1,29.1,77.0,0.9,False
25.1,29.3,77.0,1.1,False
25.2,29.5,76.0,1.6,False
25.0,28.8,78.0,1.5,False
25.0,28.8,78.0,1.5,False
25.0,29.0,77.0,1.2,False
25.0,28.9,77.0,1.1,False
25.0,28.9,77.0,1.5,False
25.0,29.1,77.0,1.5,False
25.0,28.5,78.0,0.9,False
24.9,28.5,78.0,0.8,False
24.9,28.5,78.0,1.0,False
24.9,28.5,78.0,1.0,False
25.2,29.5,76.0,1.6,False
25.2,29.3,76.0,1.2,False
25.2,29.3,77.0,1.6,False
25.2,29.4,77.0,1.3,False
25.1,29.3,77.0,1.1,False
25.2,29.5,76.0,1.6,False
25.0,28.7,78.0,1.0,False
25.0,28.8,78.0,1.5,False
25.0,28.9,77.0,1.1,False
25.0,28.9,77.0,1.5,False
25.0,29.1,77.0,1.4,False
25.1,29.4,76.0,1.6,False
25.2,29.5,76.0,1.3,False
25.2,29.3,77.0,1.8,False
25.2,29.4,77.0,1.3,False
25.1,29.0,77.0,0.7,False
25.1,29.3,77.0,1.1,False
25.2,29.5,76.0,1.6,False
25.0,28.7,78.0,1.0,False
25.0,28.8,78.0,1.5,False
25.0,28.9,77.0,1.1,False
25.0,28.9,77.0,0.9,False
25.0,28.9,77.0,1.5,False
25.2,29.7,76.0,1.0,False
25.2,29.6,76.0,1.6,False
