AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
22.3,37.2,56.0,1.4,False
22.3,36.5,55.0,1.8,False
22.3,36.5,55.0,0.7,False
22.3,36.6,57.0,0.9,False
22.6,38.2,54.0,0.7,False
22.6,38.3,54.0,1.2,False
22.7,38.1,56.0,1.3,False
23.0,37.9,54.0,1.3,False
23.1,37.4,52.0,2.2,False
22.4,36.6,54.0,1.3,False
22.3,36.0,55.0,1.5,False
22.3,36.5,55.0,0.9,False
22.5,37.1,55.0,1.3,False
22.8,38.0,56.0,0.8,False
23.0,38.2,56.0,0.6,False
22.8,39.6,51.0,1.3,False
22.9,39.6,51.0,1.0,False
22.7,40.1,51.0,1.9,False
22.9,39.8,52.0,1.5,False
23.0,40.0,52.0,1.2,False
22.3,37.2,56.0,1.4,False
22.3,36.5,55.0,1.8,False
22.3,36.5,55.0,0.7,False
22.3,36.6,57.0,0.9,False
22.6,38.2,54.0,0.7,False
22.6,38.3,54.0,1.6,False
22.7,38.1,56.0,1.3,False
23.0,37.9,54.0,1.3,False
23.1,37.4,52.0,2.2,False
22.8,36.9,52.0,1.1,False
22.4,36.6,54.0,1.3,False
22.5,35.9,54.0,2.1,False
22.3,36.5,55.0,0.9,False
22.6,37.1,55.0,1.0,False
22.9,38.1,55.0,1.5,False
23.0,38.6,55.0,0.9,False
22.9,39.6,57.0,1.8,False
22.9,39.6,51.0,1.0,False
22.7,40.1,51.0,1.9,False
22.9,39.8,52.0,1.5,False
23.0,40.0,52.0,1.2,False
22.3,37.2,56.0,1.4,False
22.3,36.5,55.0,1.8,False
22.3,36.5,55.0,0.7,False
22.4,37.1,57.0,1.1,False
22.4,37.7,56.0,0.7,False
22.6,38.3,54.0,1.2,False
23.0,37.9,54.0,1.3,False
23.0,37.8,52.0,2.0,False
22.5,35.9,54.0,2.1,False
22.3,36.0,55.0,1.5,False
22.4,37.0,55.0,0.8,False
22.6,37.1,55.0,1.0,False
22.9,38.1,55.0,1.5,False
22.9,39.6,57.0,1.8,False
22.9,39.6,51.0,1.0,False
22.7,40.1,51.0,1.9,False
22.9,39.8,52.0,1.5,False
23.0,40.0,52.0,1.2,False
22.3,36.6,55.0,1.7,False
22.3,36.4,56.0,0.4,False
22.4,37.1,57.0,1.1,False
22.4,37.7,56.0,0.7,False
22.7,38.1,56.0,1.3,False
22.8,38.0,53.0,2.0,False
23.1,37.4,52.0,2.2,False
22.4,36.6,55.0,0.3,False
22.5,35.9,54.0,2.1,False
22.3,36.5,55.0,0.9,False
22.9,39.6,57.0,1.8,False
22.9,39.6,51.0,1.0,False
22.7,40.1,51.0,1.9,False
22.9,39.8,52.0,1.5,False
23.0,40.0,52.0,1.2,False
22.3,37.0,57.0,1.0,False
22.4,36.6,56.0,1.4,False
22.3,36.6,55.0,1.7,False
22.3,36.6,57.0,0.9,False
22.4,37.4,56.0,0.8,False
22.6,38.2,54.0,0.7,False
22.8,38.0,53.0,2.0,False
23.0,37.8,52.0,2.0,False
23.0,37.3,52.0,1.9,False
22.4,36.6,54.0,1.3,False
22.3,36.0,55.0,1.5,False
22.3,36.5,55.0,0.9,False
22.6,37.1,55.0,1.0,False
22.9,38.1,55.0,1.5,False
23.0,38.6,55.0,0.9,False
22.8,39.6,51.0,1.3,False
22.7,39.6,52.0,0.8,False
22.8,40.1,49.0,2.5,False
23.0,40.0,52.0,2.0,False
23.0,40.1,51.0,1.0,False
22.3,36.5,55.0,1.8,False
22.3,36.4,56.0,0.4,False
22.3,36.6,57.0,0.9,False
22.4,37.7,56.0,0.7,False
22.7,38.1,56.0,1.3,False
23.0,37.9,54.0,1.3,False
23.1,37.4,52.0,2.2,False
22.4,36.6,55.0,0.3,False
22.5,35.9,54.0,2.1,False
22.2,36.4,55.0,0.8,False
22.5,37.1,55.0,1.3,False
22.8,38.0,56.0,0.8,False
23.0,38.2,56.0,0.6,False
22.9,39.6,57.0,1.8,False
22.9,39.6,51.0,1.0,False
22.7,40.1,51.0,1.9,False
23.0,40.0,52.0,2.0,False
23.0,40.0,52.0,1.2,False
22.3,36.6,55.0,1.7,False
22.3,36.4,56.0,0.4,False
22.4,37.1,57.0,1.1,False
22.6,38.2,54.0,0.7,False
22.8,38.0,53.0,2.0,False
23.0,37.8,52.0,2.0,False
23.0,37.3,52.0,1.9,False
22.4,36.6,55.0,0.3,False
22.5,35.9,54.0,2.1,False
22.2,36.4,55.0,0.8,False
22.6,37.1,55.0,1.0,False
23.0,38.2,56.0,0.6,False
22.9,39.6,57.0,1.8,False
22.9,39.6,51.0,1.0,False
22.7,40.1,51.0,1.9,False
23.0,40.0,52.0,2.0,False
23.0,40.1,51.0,1.0,False
22.3,37.0,57.0,1.0,False
22.3,36.5,55.0,1.8,False
22.3,36.6,57.0,0.9,False
22.4,37.4,56.0,0.8,False
22.6,38.2,54.0,0.7,False
22.8,38.0,53.0,2.0,False
23.0,37.9,54.0,1.3,False
23.0,37.3,52.0,1.9,False
22.5,35.9,54.0,2.1,False
22.2,36.4,55.0,0.8,False
22.4,37.0,55.0,0.8,False
22.5,37.1,55.0,1.3,False
22.8,38.0,56.0,0.8,False
23.0,38.2,56.0,0.6,False
22.8,39.6,51.0,1.3,False
22.9,39.6,51.0,1.0,False
22.7,40.1,51.0,1.9,False
22.9,39.8,52.0,1.5,False
23.0,40.0,52.0,1.2,False
22.3,37.0,57.0,1.0,False
22.4,36.6,56.0,1.4,False
22.3,36.6,55.0,1.7,False
22.3,36.6,57.0,0.9,False
22.4,37.1,57.0,1.1,False
22.6,38.2,54.0,0.7,False
22.7,38.1,56.0,1.3,False
23.0,37.9,54.0,1.3,False
23.0,37.3,52.0,1.9,False
22.4,36.6,54.0,1.3,False
22.3,36.0,55.0,1.5,False
22.3,36.5,55.0,0.9,False
22.6,37.1,55.0,1.0,False
22.8,38.0,56.0,0.8,False
23.0,38.6,55.0,0.9,False
22.8,39.6,51.0,1.3,False
22.9,39.6,51.0,1.0,False
22.7,40.1,51.0,1.9,False
23.0,40.0,52.0,2.0,False
23.0,40.0,52.0,1.2,False
22.3,36.6,55.0,1.7,False
22.3,36.4,56.0,0.4,False
22.4,37.1,57.0,1.1,False
22.4,37.7,56.0,0.7,False
22.8,38.0,53.0,2.0,False
23.0,37.9,54.0,1.3,False
23.0,37.3,52.0,1.9,False
22.5,35.9,54.0,2.1,False
22.2,36.4,55.0,0.8,False
22.4,37.0,55.0,0.8,False
22.5,37.1,55.0,1.3,False
22.8,38.0,56.0,0.8,False
23.0,38.2,56.0,0.6,False
22.8,39.6,51.0,1.3,False
22.9,39.6,51.0,1.0,False
22.8,40.1,49.0,2.5,False
23.0,40.0,52.0,2.0,False
23.0,40.0,52.0,1.2,False
22.3,37.2,56.0,1.4,False
22.3,36.5,55.0,1.8,False
22.3,36.5,55.0,0.7,False
22.4,37.1,57.0,1.1,False
22.4,37.7,56.0,0.7,False
22.6,38.3,54.0,1.2,False
22.8,38.0,53.0,2.0,False
23.0,37.8,52.0,2.0,False
23.0,37.3,52.0,1.9,False
22.4,36.6,55.0,0.3,False
22.5,35.9,54.0,2.1,False
22.2,36.4,55.0,0.8,False
22.6,37.1,55.0,1.0,False
22.9,38.1,55.0,1.5,False
22.3,37.0,57.0,1.0,False
22.3,36.5,55.0,1.8,False
22.3,36.6,55.0,1.7,False
22.3,36.6,57.0,0.9,False
22.4,37.4,56.0,0.8,False
22.6,38.2,54.0,0.7,False
22.8,38.0,53.0,2.0,False
23.0,37.8,52.0,2.0,False
23.0,37.3,52.0,1.9,False
22.4,36.6,54.0,1.3,False
22.3,36.0,55.0,1.5,False
22.6,37.1,55.0,1.0,False
22.9,38.1,55.0,1.5,False
22.3,37.0,57.0,1.0,False
22.4,36.6,56.0,1.4,False
22.3,36.6,55.0,1.7,False
22.4,37.1,57.0,1.1,False
22.4,37.7,56.0,0.7,False
22.6,38.3,54.0,1.2,False
23.0,37.9,54.0,1.3,False
23.0,37.8,52.0,2.0,False
22.9,37.3,53.0,1.8,False
22.5,35.9,54.0,2.1,False
