AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
18.3,24.1,80.0,0.9,False
18.5,24.5,82.0,1.0,False
18.4,24.5,80.0,1.5,False
18.7,24.8,75.0,1.3,False
18.6,24.9,75.0,0.9,False
18.8,25.2,77.0,1.2,False
19.1,24.4,75.0,1.3,False
19.2,24.2,75.0,1.0,False
19.2,24.8,74.0,1.1,False
19.2,24.3,72.0,1.9,False
19.0,24.0,74.0,1.2,True
18.7,22.5,72.0,3.1,True
18.1,21.0,74.0,4.5,True
17.4,20.1,78.0,5.4,True
16.7,20.0,82.0,2.9,True
16.2,20.5,85.0,2.8,False
16.0,21.1,85.0,1.4,False
16.1,21.7,84.0,1.0,False
16.2,22.8,84.0,1.1,False
16.6,24.3,83.0,0.7,False
16.7,23.4,81.0,2.5,False
16.7,23.1,82.0,1.9,False
17.0,22.9,80.0,2.2,False
17.0,22.9,82.0,1.6,False
17.2,22.8,80.0,0.9,False
17.1,22.7,81.0,1.2,False
17.1,22.5,81.0,0.8,False
17.4,22.6,81.0,0.7,False
17.5,22.8,82.0,1.3,False
17.5,22.4,81.0,1.3,False
17.7,22.4,82.0,1.7,False
17.9,23.3,80.0,1.5,False
18.0,23.6,77.0,1.1,False
18.0,23.5,76.0,1.2,False
18.2,23.2,74.0,0.7,False
18.5,23.2,73.0,1.9,False
18.5,23.4,73.0,0.6,False
18.5,23.7,72.0,1.5,False
18.7,24.1,70.0,2.1,False
18.8,23.6,70.0,1.5,False
18.9,23.6,68.0,2.3,False
19.0,23.5,69.0,2.5,False
19.0,22.8,68.0,1.1,False
18.9,23.7,68.0,2.3,False
19.0,24.0,67.0,2.2,False
19.1,23.8,66.0,2.1,False
19.2,23.6,67.0,1.5,False
19.2,23.6,67.0,1.3,False
19.1,23.7,67.0,1.1,False
19.3,24.4,65.0,1.1,False
19.4,24.4,64.0,1.9,False
19.5,24.6,64.0,1.6,False
18.3,24.1,80.0,0.9,False
18.5,24.5,82.0,1.0,False
18.4,24.5,80.0,1.5,False
18.7,24.8,75.0,1.3,False
18.6,24.9,75.0,0.9,False
18.8,25.2,77.0,1.2,False
19.1,24.0,73.0,2.6,False
19.2,24.2,75.0,1.0,False
19.2,24.8,74.0,1.1,False
19.2,24.3,72.0,1.9,False
19.0,24.0,74.0,1.2,True
18.7,22.5,72.0,3.1,True
18.1,21.0,74.0,4.5,True
17.4,20.1,78.0,5.4,True
16.7,20.0,82.0,2.9,True
16.2,20.5,85.0,2.8,False
16.0,21.1,85.0,1.4,False
16.1,21.7,84.0,1.0,False
16.2,22.8,84.0,1.1,False
16.6,24.3,83.0,0.7,False
16.7,23.4,81.0,2.5,False
16.7,23.1,82.0,1.9,False
17.0,22.9,80.0,2.2,False
17.0,22.9,82.0,1.6,False
17.2,22.8,80.0,0.9,False
17.1,22.7,81.0,1.2,False
17.1,22.5,81.0,0.8,False
17.4,22.6,81.0,0.7,False
17.5,22.8,82.0,1.3,False
17.5,22.4,81.0,1.3,False
17.7,22.4,82.0,1.7,False
17.9,23.3,80.0,1.5,False
18.0,23.6,77.0,1.1,False
18.0,23.5,76.0,1.2,False
18.2,23.2,74.0,0.7,False
18.5,23.2,73.0,1.9,False
18.5,23.2,72.0,1.4,False
18.5,23.7,72.0,1.5,False
18.7,24.1,70.0,2.1,False
18.8,23.6,70.0,1.5,False
18.9,23.6,68.0,2.3,False
19.0,23.5,69.0,2.5,False
19.0,22.8,68.0,1.1,False
18.9,23.7,68.0,2.3,False
19.0,24.0,67.0,2.2,False
19.1,23.8,66.0,2.1,False
19.2,23.6,67.0,1.5,False
19.2,23.6,67.0,1.3,False
19.1,23.7,67.0,1.1,False
19.3,24.4,65.0,1.1,False
19.5,24.6,65.0,1.5,False
19.5,24.6,64.0,1.6,False
18.3,24.1,80.0,0.9,False
18.5,24.5,82.0,1.0,False
18.4,24.5,80.0,1.5,False
18.7,24.8,75.0,1.3,False
18.6,24.9,75.0,0.7,False
19.1,25.0,74.0,1.5,False
19.1,24.0,73.0,2.6,False
19.2,24.2,75.0,1.0,False
19.2,24.8,74.0,0.7,False
19.0,24.1,74.0,0.7,False
18.9,23.3,73.0,1.1,True
18.7,22.5,72.0,3.1,True
18.1,21.0,74.0,4.5,True
17.4,20.1,78.0,5.4,True
16.7,20.0,82.0,2.9,True
16.2,20.5,85.0,2.8,False
16.1,21.3,85.0,1.8,False
16.1,21.7,84.0,1.0,False
16.4,23.9,85.0,1.5,False
16.6,24.3,83.0,0.7,False
16.7,23.4,81.0,2.5,False
16.7,23.1,82.0,1.9,False
17.0,22.9,80.0,2.2,False
18.3,24.1,80.0,0.9,False
18.5,24.5,82.0,1.0,False
18.4,24.5,80.0,1.5,False
18.7,24.8,75.0,1.3,False
18.6,24.9,75.0,0.7,False
18.8,25.2,77.0,1.2,False
19.1,24.0,73.0,2.6,False
19.2,24.2,75.0,1.0,False
19.2,24.8,74.0,1.1,False
19.2,24.3,72.0,1.9,False
19.0,24.0,74.0,1.2,True
18.7,22.5,72.0,3.1,True
18.1,21.0,74.0,4.5,True
17.4,20.1,78.0,5.4,True
16.7,20.0,82.0,2.9,True
16.2,20.5,85.0,2.8,False
16.0,21.1,85.0,1.4,False
16.1,21.7,84.0,1.0,False
16.2,22.8,84.0,1.1,False
16.6,24.3,83.0,0.7,False
16.7,23.4,81.0,2.5,False
16.7,23.1,82.0,1.9,False
17.0,22.9,80.0,2.2,False
17.0,22.9,82.0,1.6,False
17.2,22.8,80.0,0.9,False
17.1,22.7,81.0,1.2,False
17.1,22.5,81.0,0.8,False
17.4,22.6,81.0,0.7,False
17.5,22.8,82.0,1.3,False
17.5,22.4,81.0,1.3,False
17.7,22.4,82.0,1.7,False
17.9,23.3,80.0,1.5,False
18.0,23.6,77.0,1.1,False
18.0,23.5,76.0,1.2,False
18.2,23.2,74.0,0.7,False
18.5,23.2,73.0,1.9,False
18.5,23.4,73.0,0.6,False
18.5,23.7,72.0,1.5,False
18.7,24.1,70.0,2.1,False
18.8,23.6,70.0,1.5,False
18.9,23.6,69.0,0.0,False
18.9,23.2,68.0,1.4,False
19.0,22.8,68.0,1.1,False
18.9,23.7,68.0,2.3,False
19.0,24.0,67.0,2.2,False
19.1,23.8,66.0,2.1,False
19.2,23.6,67.0,0.9,False
19.2,23.6,67.0,1.3,False
19.2,24.4,68.0,1.9,False
19.3,24.4,65.0,1.1,False
19.5,24.6,65.0,1.5,False
19.5,24.6,64.0,1.6,False
18.3,24.1,80.0,0.9,False
18.5,24.5,78.0,1.1,False
18.5,24.8,80.0,1.2,False
18.7,24.8,75.0,1.3,False
18.6,24.9,75.0,0.7,False
19.1,25.0,74.0,1.5,False
19.1,24.0,73.0,2.6,False
19.2,24.2,75.0,1.0,False
19.2,24.8,74.0,0.7,False
19.0,24.1,74.0,0.7,False
19.0,24.0,74.0,1.2,True
18.7,22.5,72.0,3.1,True
18.1,21.0,74.0,4.5,True
17.4,20.1,78.0,5.4,True
16.7,20.0,82.0,2.9,True
16.2,20.5,85.0,2.8,False
16.1,21.3,85.0,1.8,False
16.1,21.7,84.0,1.0,False
16.4,23.9,85.0,1.5,False
16.6,24.3,83.0,0.7,False
16.7,23.4,81.0,2.5,False
16.7,23.1,82.0,1.9,False
17.0,22.9,80.0,2.2,False
17.0,22.9,82.0,1.6,False
17.2,22.8,80.0,0.9,False
17.2,22.5,80.0,1.3,False
17.1,22.5,81.0,0.8,False
17.4,22.6,81.0,0.7,False
17.5,22.8,82.0,1.3,False
17.5,22.4,81.0,1.3,False
17.7,22.4,82.0,1.7,False
17.9,23.3,80.0,1.5,False
18.0,23.6,77.0,1.1,False
18.0,23.5,76.0,1.2,False
18.2,23.2,74.0,0.7,False
18.5,23.2,73.0,1.9,False
18.5,23.4,73.0,0.6,False
18.5,23.7,72.0,1.5,False
