AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
26.1,39.8,13.0,2.8,False
25.9,39.8,14.0,1.6,False
26.1,39.8,14.0,1.6,False
26.1,39.6,14.0,1.5,False
26.3,39.8,15.0,1.0,False
26.4,39.6,15.0,1.2,False
26.5,39.6,14.0,2.9,False
26.4,39.3,13.0,3.5,False
26.3,39.1,13.0,2.9,False
26.1,38.5,14.0,2.8,False
26.0,38.5,14.0,1.5,False
26.0,38.3,14.0,1.6,False
26.2,37.9,14.0,2.5,False
26.2,37.9,14.0,1.7,False
26.1,37.9,14.0,3.0,False
26.0,37.0,15.0,2.2,False
26.0,37.0,15.0,1.3,False
26.0,36.7,15.0,1.5,False
26.1,36.4,15.0,2.3,False
26.0,36.2,15.0,1.4,False
25.9,39.8,14.0,1.6,False
26.0,39.9,14.0,1.0,False
26.2,39.7,14.0,1.0,False
26.1,39.6,14.0,2.4,False
26.3,39.8,15.0,1.5,False
26.4,39.6,15.0,1.2,False
26.5,39.6,14.0,2.9,False
26.4,39.2,14.0,3.4,False
26.3,39.1,13.0,2.9,False
26.2,39.1,13.0,2.1,False
26.0,38.5,14.0,1.8,False
26.1,38.5,14.0,2.8,False
26.0,38.3,14.0,2.2,False
26.3,38.0,13.0,2.7,False
26.2,37.9,14.0,1.7,False
26.1,37.9,14.0,3.0,False
26.0,37.1,14.0,2.9,False
26.0,37.0,15.0,1.3,False
26.0,36.7,15.0,1.5,False
26.0,36.7,15.0,1.8,False
26.0,36.2,15.0,1.4,False
26.0,36.2,15.0,2.4,False
26.1,39.8,13.0,2.8,False
25.9,39.8,14.0,1.6,False
26.0,39.9,14.0,1.0,False
26.2,39.7,14.0,1.0,False
26.3,39.8,15.0,1.0,False
26.4,39.6,15.0,1.2,False
26.5,39.6,14.0,2.9,False
26.4,39.2,14.0,3.4,False
26.3,39.1,13.0,2.9,False
26.2,39.1,13.0,2.1,False
26.1,38.5,14.0,2.8,False
26.0,38.5,14.0,1.5,False
26.0,38.3,14.0,1.6,False
26.0,37.0,15.0,2.2,False
26.0,36.8,15.0,0.9,False
26.0,36.7,15.0,1.8,False
26.1,36.4,15.0,2.3,False
26.0,39.9,14.0,1.0,False
26.2,39.7,14.0,1.0,False
26.1,39.6,14.0,1.5,False
26.2,39.7,14.0,2.0,False
26.1,38.5,14.0,2.8,False
26.0,38.3,14.0,2.2,False
26.1,38.3,14.0,0.9,False
26.3,38.0,13.0,2.7,False
26.2,37.9,14.0,1.7,False
26.1,37.9,14.0,3.0,False
26.0,37.1,14.0,2.9,False
26.0,37.0,15.0,1.3,False
26.0,36.7,15.0,1.5,False
26.1,36.6,15.0,2.3,False
26.0,36.2,15.0,1.4,False
26.1,39.8,13.0,2.8,False
25.9,39.8,14.0,1.6,False
26.1,39.8,14.0,1.6,False
26.1,39.6,14.0,1.5,False
26.3,39.8,15.0,1.5,False
26.4,39.6,15.0,1.2,False
26.5,39.6,14.0,2.9,False
26.4,39.3,13.0,3.5,False
26.3,39.1,13.0,2.9,False
26.2,39.1,13.0,2.1,False
