AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
22.7,40.7,30.0,2.0,False
22.6,39.8,32.0,0.8,False
22.9,39.0,31.0,1.7,False
22.9,38.5,31.0,2.3,False
22.9,37.7,32.0,1.1,False
22.8,36.9,32.0,3.6,False
22.8,36.3,33.0,2.4,False
22.9,40.0,30.0,0.7,False
22.9,39.3,30.0,1.4,False
23.0,39.5,30.0,2.1,False
23.3,39.2,29.0,1.2,False
23.3,39.0,28.0,2.0,False
23.2,38.3,28.0,1.2,False
23.0,38.8,29.0,1.3,False
22.9,38.8,29.0,1.8,False
23.0,38.4,30.0,1.4,False
23.1,38.2,30.0,1.7,False
23.0,38.0,30.0,2.5,False
22.7,40.7,31.0,2.7,False
22.7,40.6,30.0,1.7,False
22.5,39.5,31.0,3.0,False
22.8,39.8,31.0,1.2,False
22.9,39.0,31.0,1.7,False
22.9,38.2,31.0,1.7,False
23.0,40.4,29.0,2.6,False
23.0,40.1,30.0,1.6,False
22.9,39.3,30.0,1.4,False
23.2,39.4,28.0,2.6,False
23.3,39.2,29.0,1.2,False
23.3,38.3,28.0,0.9,False
23.0,38.8,29.0,1.3,False
22.9,38.8,29.0,1.8,False
23.1,38.1,29.0,1.6,False
23.0,38.0,30.0,2.5,False
22.9,38.0,31.0,2.3,False
22.7,40.6,30.0,1.7,False
22.5,39.5,31.0,3.0,False
22.8,39.8,31.0,1.2,False
22.9,39.0,31.0,1.7,False
22.9,38.2,31.0,1.7,False
22.7,36.3,32.0,2.1,False
23.0,40.1,30.0,1.6,False
22.9,40.0,30.0,0.7,False
22.9,39.3,30.0,1.4,False
23.2,39.4,28.0,2.6,False
23.3,39.2,29.0,1.2,False
23.3,38.3,28.0,0.9,False
23.0,38.8,29.0,1.3,False
22.9,38.8,29.0,1.8,False
23.1,38.1,29.0,1.6,False
23.0,38.0,30.0,2.5,False
22.9,37.9,30.0,1.8,False
22.7,40.6,30.0,1.7,False
22.6,39.8,32.0,0.8,False
22.8,39.8,31.0,1.2,False
22.9,38.5,31.0,2.3,False
22.9,38.2,31.0,1.7,False
22.9,37.0,32.0,1.5,False
22.8,36.3,33.0,2.4,False
22.6,36.4,33.0,2.1,False
23.0,40.1,30.0,1.6,False
22.9,40.0,30.0,0.7,False
22.9,39.3,30.0,1.4,False
23.3,39.2,29.0,1.2,False
23.3,38.3,28.0,0.9,False
23.1,39.0,29.0,2.0,False
23.0,38.8,28.0,2.6,False
23.0,38.8,29.0,1.3,False
23.0,38.4,30.0,1.4,False
23.0,38.0,30.0,2.5,False
22.9,38.0,31.0,2.3,False
22.3,39.6,32.0,0.8,False
22.6,40.7,30.0,3.6,False
22.7,40.7,31.0,2.7,False
22.5,39.5,31.0,3.0,False
22.6,39.8,32.0,0.8,False
22.9,39.0,31.0,1.7,False
22.9,38.5,31.0,2.3,False
22.7,36.3,32.0,2.1,False
23.0,40.4,29.0,2.6,False
23.0,40.1,30.0,1.6,False
22.9,39.3,30.0,1.4,False
23.3,39.2,29.0,1.2,False
23.3,39.0,28.0,2.0,False
23.2,38.3,28.0,1.2,False
23.0,38.8,28.0,2.6,False
23.0,38.8,29.0,1.3,False
23.0,38.4,30.0,1.4,False
23.0,38.0,30.0,2.5,False
22.9,38.0,31.0,2.3,False
22.3,39.6,32.0,0.8,False
22.6,40.7,30.0,3.6,False
22.7,40.7,31.0,2.7,False
22.5,39.2,31.0,2.5,False
22.5,39.5,31.0,3.0,False
22.8,39.8,31.0,1.2,False
22.9,38.5,31.0,2.3,False
22.8,36.9,32.0,3.6,False
22.8,36.3,33.0,2.4,False
22.6,36.4,33.0,2.1,False
22.9,40.0,30.0,0.7,False
22.9,39.3,30.0,1.4,False
23.0,39.5,30.0,2.1,False
23.2,39.4,28.0,2.6,False
23.3,39.2,29.0,1.2,False
23.3,38.3,28.0,0.9,False
22.9,38.8,29.0,1.8,False
23.0,38.4,30.0,1.4,False
23.2,38.3,30.0,2.9,False
23.0,38.0,30.0,2.5,False
22.9,37.9,30.0,1.8,False
22.4,40.5,32.0,2.1,False
22.6,40.7,30.0,3.6,False
22.7,40.6,30.0,1.7,False
22.3,39.0,31.0,2.3,False
22.5,39.5,31.0,3.0,False
22.6,39.8,32.0,0.8,False
22.9,39.0,31.0,1.7,False
22.7,36.3,32.0,2.1,False
22.5,37.1,33.0,1.4,False
23.0,40.1,30.0,1.6,False
22.9,39.3,30.0,1.4,False
22.9,39.3,30.0,1.4,False
23.2,39.4,28.0,2.6,False
23.3,39.0,28.0,2.0,False
23.3,38.3,28.0,0.9,False
22.9,38.8,29.0,1.8,False
23.0,38.4,30.0,1.4,False
23.1,38.1,29.0,1.6,False
23.1,38.2,30.0,1.7,False
22.9,38.0,31.0,2.3,False
22.3,39.6,32.0,0.8,False
22.6,40.7,30.0,3.6,False
22.7,40.7,31.0,2.7,False
22.5,39.2,31.0,2.5,False
22.6,39.8,32.0,0.8,False
22.8,39.8,31.0,1.2,False
22.9,38.5,31.0,2.3,False
22.8,36.9,32.0,3.6,False
22.7,36.3,32.0,2.1,False
22.5,37.1,33.0,1.4,False
23.0,40.4,29.0,2.6,False
23.0,40.1,30.0,1.6,False
22.9,39.3,30.0,1.4,False
23.3,39.2,29.0,1.2,False
23.3,39.0,28.0,2.0,False
23.2,38.3,28.0,1.2,False
23.0,38.8,28.0,2.6,False
23.0,38.8,29.0,1.3,False
23.0,38.4,30.0,1.4,False
23.1,38.2,30.0,1.7,False
23.0,38.0,30.0,2.5,False
22.7,40.6,30.0,1.7,False
22.3,39.0,31.0,2.3,False
22.5,39.5,31.0,3.0,False
22.6,39.8,32.0,0.8,False
22.9,39.0,31.0,1.7,False
22.8,36.3,33.0,2.4,False
22.6,36.4,33.0,2.1,False
23.0,40.4,29.0,2.6,False
22.9,40.0,30.0,0.7,False
22.9,39.3,30.0,1.4,False
23.3,39.4,28.0,3.1,False
23.2,39.4,28.0,2.6,False
23.3,39.0,28.0,2.0,False
23.0,38.8,28.0,2.6,False
23.0,38.8,29.0,1.3,False
23.0,38.4,30.0,1.4,False
23.0,38.0,30.0,2.5,False
22.5,39.2,31.0,2.5,False
22.6,39.8,32.0,0.8,False
22.8,39.8,31.0,1.2,False
22.9,38.5,31.0,2.3,False
22.8,36.3,33.0,2.4,False
22.7,36.3,32.0,2.1,False
22.9,40.0,30.0,0.7,False
22.9,39.3,30.0,1.4,False
22.9,39.3,30.0,1.4,False
23.3,39.2,29.0,1.2,False
23.3,39.0,28.0,2.0,False
23.2,38.3,28.0,1.2,False
23.0,38.8,29.0,1.3,False
23.0,38.4,30.0,1.4,False
23.1,38.1,29.0,1.6,False
23.0,38.0,30.0,2.5,False
22.9,38.0,31.0,2.3,False
22.4,40.5,32.0,2.1,False
22.7,40.7,31.0,2.7,False
22.7,40.6,30.0,1.7,False
22.5,39.5,31.0,3.0,False
22.8,39.8,31.0,1.2,False
22.9,39.0,31.0,1.7,False
22.9,38.2,31.0,1.7,False
22.8,36.3,33.0,2.4,False
22.6,36.4,33.0,2.1,False
23.0,40.4,29.0,2.6,False
23.0,40.1,30.0,1.6,False
22.9,39.3,30.0,1.4,False
23.3,39.4,28.0,3.1,False
23.3,39.2,29.0,1.2,False
22.3,39.6,32.0,0.8,False
22.6,40.7,30.0,3.6,False
22.7,40.7,31.0,2.7,False
22.6,39.8,32.0,0.8,False
22.8,39.8,31.0,1.2,False
22.9,39.0,31.0,1.7,False
22.9,38.2,31.0,1.7,False
22.7,36.3,32.0,2.1,False
22.5,37.1,33.0,1.4,False
23.0,40.4,29.0,2.6,False
23.0,40.1,30.0,1.6,False
22.9,39.3,30.0,1.4,False
23.3,39.4,28.0,3.1,False
23.3,39.2,29.0,1.2,False
