AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
11.7,12.8,64.0,1.6,True
11.8,12.8,64.0,1.4,True
11.7,12.7,66.0,1.8,True
11.6,12.6,67.0,2.9,True
11.7,12.7,68.0,2.0,True
11.6,12.7,68.0,2.4,True
11.7,12.5,66.0,2.5,True
11.8,12.5,66.0,2.2,True
11.8,12.5,65.0,2.4,True
11.7,12.8,68.0,0.7,False
11.7,12.8,69.0,0.4,False
11.7,12.7,66.0,1.6,False
11.8,12.6,65.0,1.7,False
11.8,12.5,64.0,1.6,False
11.8,12.5,64.0,1.9,False
11.8,12.4,63.0,1.3,False
11.9,12.4,63.0,1.9,False
11.9,12.1,63.0,3.0,False
11.6,12.4,64.0,0.9,False
11.6,12.4,63.0,1.1,False
11.7,12.4,63.0,0.7,False
11.8,12.3,63.0,1.6,False
11.7,12.2,63.0,1.0,False
11.8,12.2,63.0,0.9,False
11.8,12.1,64.0,1.1,False
11.7,12.8,64.0,1.6,True
11.8,12.8,64.0,1.4,True
11.7,12.6,66.0,2.3,True
11.6,12.6,68.0,2.2,True
11.6,12.7,68.0,2.4,True
11.7,12.6,68.0,2.7,True
11.7,12.5,66.0,2.5,True
11.8,12.5,66.0,2.7,True
11.9,12.4,65.0,2.4,False
11.8,12.5,66.0,2.3,False
11.7,12.8,68.0,0.3,False
11.8,12.8,68.0,0.9,False
11.8,12.6,66.0,1.5,False
11.8,12.5,65.0,1.7,False
11.8,12.5,64.0,1.1,False
11.9,12.4,64.0,1.6,False
11.8,12.4,63.0,1.6,False
11.9,12.2,63.0,2.3,False
11.6,12.4,63.0,1.0,False
11.7,12.4,63.0,1.2,False
11.7,12.3,63.0,1.6,False
11.7,12.2,63.0,1.5,False
11.7,12.2,63.0,1.1,False
11.8,12.2,63.0,0.9,False
11.7,12.8,64.0,1.6,True
11.8,12.8,64.0,1.4,True
11.7,12.7,66.0,1.8,True
11.6,12.6,68.0,2.2,True
11.6,12.7,68.0,2.4,True
11.7,12.6,68.0,2.7,True
11.7,12.5,66.0,2.5,True
11.8,12.5,66.0,2.7,True
11.9,12.4,65.0,2.4,False
11.8,12.5,66.0,2.3,False
11.7,12.8,68.0,0.3,False
11.8,12.8,68.0,0.9,False
11.8,12.6,66.0,1.5,False
11.8,12.5,64.0,1.6,False
11.8,12.5,64.0,1.9,False
11.8,12.4,63.0,1.3,False
11.9,12.4,63.0,1.9,False
11.9,12.1,63.0,3.0,False
11.6,12.4,63.0,1.0,False
11.7,12.4,63.0,1.2,False
11.7,12.4,63.0,0.7,False
11.8,12.3,63.0,1.6,False
11.7,12.2,63.0,1.0,False
11.8,12.2,63.0,0.9,False
11.7,12.8,64.0,1.6,True
11.8,12.8,64.0,1.4,True
11.7,12.6,66.0,2.3,True
11.6,12.6,68.0,2.2,True
11.6,12.7,68.0,2.4,True
11.7,12.6,68.0,2.7,True
11.7,12.5,66.0,2.5,True
11.8,12.5,66.0,2.7,True
11.9,12.4,65.0,2.4,False
11.8,12.5,66.0,2.3,False
11.7,12.8,68.0,0.7,False
11.7,12.8,69.0,0.4,False
11.7,12.7,66.0,1.6,False
11.8,12.6,65.0,1.7,False
11.8,12.5,64.0,1.6,False
11.8,12.5,64.0,1.9,False
11.8,12.4,63.0,1.3,False
11.9,12.4,63.0,1.9,False
11.9,12.1,63.0,3.0,False
11.6,12.4,63.0,1.1,False
11.7,12.4,63.0,0.7,False
11.7,12.3,63.0,1.6,False
11.7,12.2,63.0,1.5,False
11.7,12.2,63.0,1.1,False
11.8,12.1,64.0,1.1,False
11.8,12.8,64.0,1.6,True
11.8,12.7,66.0,1.6,True
11.7,12.6,66.0,2.3,True
11.6,12.6,68.0,2.2,True
11.6,12.7,68.0,2.4,True
11.7,12.6,68.0,2.7,True
11.7,12.5,66.0,2.5,True
11.8,12.5,66.0,2.7,True
11.9,12.4,65.0,2.4,False
11.7,12.8,69.0,0.4,False
11.7,12.7,66.0,1.6,False
11.8,12.6,65.0,1.7,False
11.8,12.5,64.0,1.6,False
11.8,12.5,64.0,1.9,False
11.8,12.4,63.0,1.3,False
11.9,12.4,63.0,1.9,False
11.9,12.1,63.0,3.0,False
11.6,12.4,64.0,0.9,False
11.6,12.4,63.0,1.1,False
11.7,12.4,63.0,0.7,False
11.8,12.3,63.0,1.6,False
11.7,12.2,63.0,1.0,False
11.8,12.2,63.0,0.9,False
11.7,12.8,64.0,1.6,True
11.8,12.8,64.0,1.7,True
11.7,12.7,66.0,1.8,True
11.6,12.6,67.0,2.9,True
11.7,12.7,68.0,2.0,True
11.6,12.7,68.0,2.4,True
11.7,12.5,66.0,2.5,True
11.8,12.5,66.0,2.2,True
11.8,12.5,65.0,2.4,True
11.8,12.5,65.0,2.5,False
11.7,12.8,68.0,0.3,False
11.8,12.8,68.0,0.9,False
11.8,12.6,66.0,1.5,False
11.8,12.5,65.0,1.7,False
11.8,12.5,64.0,1.1,False
11.9,12.4,64.0,1.6,False
11.8,12.4,63.0,1.6,False
11.9,12.2,63.0,2.3,False
11.8,12.1,63.0,2.8,False
11.6,12.4,63.0,1.0,False
11.6,12.4,63.0,1.1,False
11.7,12.4,63.0,0.7,False
11.8,12.3,63.0,1.6,False
11.7,12.2,63.0,1.0,False
11.8,12.2,63.0,0.9,False
11.7,12.8,65.0,1.6,True
11.8,12.8,64.0,1.6,True
11.8,12.8,64.0,1.4,True
11.7,12.7,66.0,1.8,True
11.6,12.6,67.0,2.9,True
11.7,12.7,68.0,2.0,True
11.7,12.6,68.0,2.7,True
11.7,12.5,66.0,2.5,True
11.8,12.5,66.0,2.7,True
11.8,12.5,65.0,2.4,True
11.8,12.5,66.0,2.3,False
11.7,12.8,68.0,0.3,False
11.8,12.8,68.0,0.9,False
11.8,12.6,66.0,1.5,False
11.8,12.5,65.0,1.7,False
11.8,12.5,64.0,1.1,False
11.9,12.4,64.0,1.6,False
11.8,12.4,63.0,1.6,False
11.9,12.2,63.0,2.3,False
11.6,12.4,63.0,1.0,False
11.7,12.4,63.0,1.2,False
11.7,12.3,63.0,1.6,False
11.8,12.3,63.0,1.6,False
11.7,12.2,63.0,1.1,False
11.8,12.2,63.0,0.9,False
11.7,12.8,64.0,1.6,True
11.8,12.8,64.0,1.4,True
11.7,12.7,66.0,1.8,True
11.6,12.6,67.0,2.9,True
11.7,12.7,68.0,2.0,True
11.6,12.7,68.0,2.4,True
11.7,12.5,66.0,2.5,True
11.8,12.5,66.0,2.2,True
11.8,12.5,65.0,2.4,True
11.8,12.5,66.0,2.3,False
11.7,12.8,68.0,0.7,False
11.7,12.8,69.0,0.4,False
11.7,12.7,66.0,1.6,False
11.8,12.6,65.0,1.7,False
11.8,12.5,64.0,1.6,False
11.8,12.5,64.0,1.9,False
11.8,12.4,63.0,1.3,False
11.9,12.4,63.0,1.9,False
11.8,12.1,63.0,2.8,False
11.6,12.4,64.0,0.9,False
11.6,12.4,63.0,1.1,False
11.7,12.4,63.0,0.7,False
11.8,12.3,63.0,1.6,False
11.7,12.2,63.0,1.0,False
11.8,12.2,63.0,0.9,False
11.7,12.8,64.0,1.6,True
11.8,12.8,64.0,1.7,True
11.7,12.7,66.0,1.8,True
11.6,12.6,67.0,2.9,True
11.7,12.7,68.0,2.0,True
11.7,12.6,68.0,2.7,True
11.7,12.5,66.0,2.5,True
11.8,12.5,66.0,2.7,True
