AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
22.0,45.2,51.0,0.8,False
21.9,42.7,53.0,0.9,False
21.8,43.2,52.0,1.6,False
21.9,43.2,51.0,1.0,False
22.0,41.3,55.0,0.5,False
21.9,42.0,54.0,0.9,False
22.0,43.1,54.0,1.0,False
22.1,44.1,52.0,0.8,False
22.3,44.2,51.0,1.3,False
22.5,44.7,48.0,1.3,False
22.6,45.0,49.0,1.1,False
22.6,43.7,50.0,1.5,False
22.3,44.0,52.0,0.9,False
22.4,44.0,53.0,0.8,False
22.4,44.0,53.0,0.6,False
22.5,44.3,51.0,0.8,False
22.6,45.2,48.0,0.5,False
22.7,44.9,49.0,0.6,False
22.8,44.5,49.0,1.2,False
22.8,44.5,50.0,1.6,False
22.5,44.0,51.0,0.8,False
22.4,44.0,52.0,0.5,False
22.4,43.8,51.0,0.6,False
22.5,43.1,52.0,0.8,False
22.4,43.8,53.0,1.4,False
22.4,43.8,54.0,0.7,False
22.3,43.6,53.0,0.6,False
22.4,43.7,52.0,1.0,False
22.4,43.6,53.0,1.3,False
22.5,43.3,54.0,1.1,False
22.4,43.7,54.0,1.0,False
22.5,43.7,54.0,0.8,False
22.7,43.6,53.0,1.1,False
22.6,43.2,54.0,1.5,False
22.6,43.2,54.0,0.9,False
22.5,43.6,55.0,0.0,False
22.5,43.7,55.0,0.8,False
22.5,43.7,54.0,0.6,False
22.8,43.2,52.0,0.7,False
22.7,43.2,54.0,0.6,False
22.8,43.4,54.0,0.9,False
22.9,43.5,52.0,0.7,False
22.6,42.9,54.0,0.8,False
22.5,42.7,55.0,0.5,False
22.5,43.0,54.0,0.9,False
22.5,43.4,54.0,0.8,False
22.5,43.2,53.0,0.5,False
22.5,42.4,55.0,0.9,False
22.5,42.4,56.0,0.9,False
22.5,42.3,56.0,1.1,False
22.6,42.2,55.0,1.1,False
22.5,42.2,55.0,0.9,False
22.4,42.1,55.0,0.8,False
22.5,42.2,55.0,0.8,False
22.5,42.2,54.0,1.1,False
22.5,42.9,53.0,0.7,False
22.6,42.9,53.0,0.7,False
22.6,43.9,53.0,1.3,False
22.8,43.9,50.0,1.1,False
22.6,42.2,52.0,1.0,False
22.5,42.2,52.0,0.6,False
22.5,42.5,52.0,0.0,False
22.6,43.0,51.0,0.4,False
22.7,43.0,50.0,0.8,False
