iter	RMSE
0	27.9718169
1	21.85396636
2	17.52215649
3	15.03163135
4	13.28638259
5	12.72781734
6	12.36251516
7	10.92581654
8	10.61839323
9	9.983234433
10	9.809894758
11	9.652305043
12	9.49746276
13	8.917681327
14	8.819669121
15	8.761142304
16	8.50086022
17	8.433190208
18	8.216213276
19	8.153599475
20	8.112621814
21	8.043794519
22	7.914932736
23	7.85727386
24	7.76903883
25	7.740728356
26	7.697513683
27	7.658583216
28	7.618815023
29	7.552168343
30	7.509098142
31	7.452341318
32	7.412961148
33	7.386640064
34	7.358835177
35	7.326288847
36	7.301466414
37	7.278696991
38	7.254848721
39	7.221079444
40	7.192733073
41	7.175832979
42	7.139201086
43	7.126817298
44	7.10102375
45	7.079635067
46	7.06137105
47	7.030839862
48	7.000643296
49	6.97878006
50	6.955203521
51	6.943826618
52	6.93437048
53	6.912495481
54	6.895346018
55	6.868922116
56	6.84309083
57	6.822842671
58	6.809721018
59	6.806323712
60	6.787522325
61	6.781647727
62	6.773062717
63	6.746973617
64	6.727191011
65	6.712864895
66	6.701872558
67	6.679047682
68	6.674048076
69	6.661319486
70	6.635480788
71	6.626970531
72	6.611438487
73	6.595106438
74	6.57843927
75	6.551325719
76	6.539290471
77	6.519507494
78	6.506964821
79	6.489542914
80	6.474589023
81	6.460554942
82	6.456508936
83	6.44537739
84	6.434052822
85	6.427860583
86	6.419521199
87	6.417684684
88	6.407006391
89	6.385671946
90	6.369086396
91	6.365615497
92	6.358094186
93	6.343960362
94	6.333368387
95	6.323269927
96	6.317572799
97	6.304632467
98	6.289091369
99	6.276925699
100	6.260533181
101	6.244494866
102	6.242110573
103	6.233185896
104	6.227491566
105	6.219848815
106	6.20892066
107	6.200021028
108	6.186325356
109	6.181786149
110	6.170760868
111	6.157690012
112	6.148446825
113	6.143175144
114	6.139334006
115	6.130430702
116	6.126440802
117	6.117224543
118	6.109422211
119	6.100488086
120	6.093195918
121	6.080040079
122	6.073670717
123	6.068603366
124	6.061731986
125	6.055840153
126	6.050456346
127	6.044660778
128	6.034171701
129	6.0323058
130	6.023899842
131	6.016320911
132	6.011119504
133	6.010023371
134	6.002900971
135	6.001284435
136	5.998299101
137	5.986334992
138	5.977902784
139	5.966155941
140	5.954144515
141	5.947446903
142	5.940024778
143	5.930811095
144	5.922919538
145	5.905207546
146	5.894405683
147	5.876419548
148	5.870140129
149	5.86386506
150	5.843662988
151	5.833624506
152	5.829721041
153	5.826083144
154	5.818729159
155	5.81104627
156	5.808315926
157	5.797372648
158	5.794261913
159	5.793086171
160	5.791642866
161	5.783990143
162	5.77865948
163	5.771502622
164	5.769946804
165	5.764086923
166	5.761329458
167	5.754785411
168	5.750391436
169	5.744305021
170	5.739831499
171	5.736415897
172	5.73044495
173	5.725043713
174	5.718339966
175	5.716160373
176	5.712913498
177	5.704890815
178	5.701912882
179	5.69592486
180	5.692002375
181	5.687505541
182	5.679837594
183	5.672053736
184	5.671141287
185	5.667846872
186	5.660186266
187	5.655280627
188	5.651953494
189	5.650479722
190	5.645458292
191	5.640958672
192	5.635699527
193	5.631249313
194	5.629147122
195	5.625944408
196	5.620550197
197	5.615212389
198	5.607496069
199	5.60097706
.975574038
