iter	Passed	Remaining
0	653	130030
1	1353	133988
2	2161	141942
3	3228	158205
4	4079	159084
5	4699	151935
6	5305	146289
7	5892	141427
8	6568	139393
9	7089	134706
10	7678	131928
11	8414	131824
12	9757	140351
13	10684	141945
14	11440	141099
15	12125	139441
16	12871	138557
17	13774	139280
18	15018	143074
19	15747	141724
20	16432	140063
21	17157	138822
22	17847	137350
23	18793	137822
24	19595	137165
25	20349	136182
26	21047	134858
27	21720	133423
28	22420	132204
29	23157	131227
30	23835	129940
31	24605	129181
32	25325	128164
33	26095	127408
34	26981	127198
35	27773	126524
36	28470	125421
37	29269	124782
38	30080	124178
39	30807	123228
40	31469	122038
41	32299	121507
42	33009	120522
43	33712	119527
44	34447	118652
45	35248	118006
46	36016	117246
47	36831	116634
48	37524	115636
49	38250	114750
50	39216	114572
51	39999	113845
52	41135	114093
53	41862	113183
54	42438	111884
55	43436	111693
56	44165	110801
57	44579	109142
58	44948	107419
59	45356	105831
60	45764	104282
61	46215	102865
62	46860	101904
63	47421	100770
64	47955	99599
65	48484	98437
66	49076	97419
67	49658	96396
68	50087	95092
69	50463	93718
70	50945	92563
71	51263	91134
72	51688	89923
73	52090	88694
74	52502	87503
75	52870	86261
76	53284	85116
77	53614	83859
78	54002	82712
79	54551	81827
80	54855	80590
81	55215	79456
82	55567	78330
83	55918	77220
84	56265	76123
85	56622	75057
86	56978	74006
87	57342	72980
88	57704	71968
89	58100	71011
90	58407	69960
91	58643	68842
92	58962	67838
93	59303	66874
94	59641	65919
95	60001	65001
96	60330	64061
97	61095	63588
98	61527	62770
99	61925	61925
100	62224	60992
101	62696	60237
102	63006	59336
103	63264	58398
104	63592	57536
105	63893	56660
106	64309	55894
107	64607	55035
108	64929	54206
109	65204	53348
110	65490	52510
111	65865	51751
112	66185	50956
113	66458	50135
114	66873	49428
115	67107	48595
116	67413	47823
117	67812	47123
118	68177	46406
119	68554	45703
120	68854	44954
121	69180	44230
122	69486	43499
123	69797	42779
124	70091	42055
125	70575	41448
126	71014	40819
127	71262	40085
128	71549	39380
129	71938	38736
130	72207	38032
131	72514	37355
132	72791	36669
133	73081	35995
134	73338	35311
135	73625	34647
136	73935	33999
137	74256	33361
138	74506	32696
139	74966	32128
140	75543	31610
141	75898	31000
142	76158	30357
143	76476	29740
144	76714	29098
145	76982	28472
146	77238	27847
147	77507	27232
148	77867	26652
149	78321	26107
150	78758	25557
151	79111	24982
152	79545	24435
153	79862	23854
154	80138	23266
155	80411	22680
156	80671	22094
157	80968	21523
158	81277	20958
159	81546	20386
160	81762	19805
161	82030	19241
162	82368	18697
163	82720	18158
164	82940	17593
165	83285	17058
166	83553	16510
167	83952	15990
168	84259	15455
169	84523	14915
170	84808	14382
171	85039	13843
172	85296	13312
173	85550	12783
174	85823	12260
175	86162	11749
176	86687	11264
177	87080	10762
178	87324	10244
179	87584	9731
180	87889	9225
181	88128	8716
182	88375	8209
183	88695	7712
184	88964	7213
185	89286	6720
186	89602	6229
187	89910	5738
188	90194	5249
189	90473	4761
190	90740	4275
191	91088	3795
192	91368	3313
193	91626	2833
194	91968	2358
195	92303	1883
196	92589	1409
197	92857	937
198	93081	467
199	93332	0
3237
183	358421	31167
184	359016	29109
185	359545	27062
186	360047	25030
187	360586	23016
188	361224	21023
189	361819	19043
190	362376	17075
191	362933	15122
192	363498	13183
193	364050	11259
194	364592	9348
195	365219	7453
196	365854	5571
197	366382	3700
198	367023	1844
199	368019	0
