iter	RMSE
0	3.38543791
1	2.453971355
2	1.863349384
3	1.454011295
4	1.191716587
5	1.005948308
6	0.8970080672
7	0.8409450674
8	0.79296048
9	0.7749992384
10	0.7541755391
11	0.7361866107
12	0.7211387526
13	0.7136859165
14	0.7093322798
15	0.7015784793
16	0.6943216393
17	0.6875576867
18	0.6841195209
19	0.68025801
20	0.6764979544
21	0.6731453249
22	0.6698550818
23	0.6677962066
24	0.6646437645
25	0.6625810282
26	0.6608689796
27	0.6574537734
28	0.6522098377
29	0.6502823237
30	0.6484101739
31	0.6474518814
32	0.646033801
33	0.6442634821
34	0.6436600419
35	0.6423246685
36	0.6403306946
37	0.6396988759
38	0.637789098
39	0.6338698218
40	0.6328218531
41	0.6314881047
42	0.6300685295
43	0.6288208835
44	0.6281203156
45	0.6255779286
46	0.6252042607
47	0.6242797534
48	0.6227296861
49	0.6223561102
50	0.6214557195
51	0.6204618983
52	0.6195123407
53	0.6176751668
54	0.6170752469
55	0.6160443679
56	0.6149036613
57	0.6139269144
58	0.6128533593
59	0.6124450965
60	0.6112108141
61	0.6100577612
62	0.6091028977
63	0.6071972916
64	0.6060772217
65	0.6048321459
66	0.6042797982
67	0.6030307862
68	0.6022751046
69	0.6017318432
70	0.6013093229
71	0.6009053861
72	0.5993765663
73	0.5982417904
74	0.5976828298
75	0.5967939056
76	0.5964470243
77	0.5954558618
78	0.59417789
79	0.5939654244
80	0.593210964
81	0.5928250193
82	0.5919847643
83	0.5911411659
84	0.590728102
85	0.5900509587
86	0.5888927538
87	0.5880546478
88	0.5874164924
89	0.5864647764
90	0.5863292702
91	0.5856778203
92	0.5853683357
93	0.5850768718
94	0.5846088609
95	0.5840198243
96	0.583625487
97	0.5819955335
98	0.5803422933
99	0.5799257531
100	0.5794608312
101	0.5792491874
102	0.5782459294
103	0.5775226739
104	0.5769599989
105	0.5765923365
106	0.5762142768
107	0.5756519896
108	0.575451262
109	0.5748045655
110	0.5740166743
111	0.5732751503
112	0.5726437367
113	0.5718018611
114	0.5716288051
115	0.5707265169
116	0.5701749776
117	0.5695814548
118	0.5694948483
119	0.5689262916
120	0.5686688781
121	0.5683198745
122	0.5671046136
123	0.566370734
124	0.5657719839
125	0.565167141
126	0.5646503513
127	0.5643250755
128	0.5639648029
129	0.563398363
130	0.5627869279
131	0.5624026787
132	0.5620831178
133	0.5614557232
134	0.5607772229
135	0.5604688613
136	0.5600794503
137	0.5595991132
138	0.5593608026
139	0.5590100004
140	0.5585538828
141	0.5582749772
142	0.5577322485
143	0.5574540875
144	0.5567008185
145	0.5561394697
146	0.5556772549
147	0.5553470983
148	0.5549411335
149	0.5542279336
150	0.5536294397
151	0.5530988128
152	0.5524913346
153	0.5517707055
154	0.5516389994
155	0.5513441741
156	0.5508110206
157	0.5503116912
158	0.5497813777
159	0.5495985404
160	0.5489631408
161	0.548431385
162	0.5476930806
163	0.5473567829
164	0.5469245717
165	0.5460268969
166	0.5456120796
167	0.545418176
168	0.5446250359
169	0.5442089166
170	0.5439345255
171	0.5434803957
172	0.543011988
173	0.5426563968
174	0.5421668884
175	0.5420138525
176	0.5416460288
177	0.5413691018
178	0.5410523597
179	0.5409169329
180	0.5400594195
181	0.5399463117
182	0.5391584038
183	0.5386572548
184	0.5379895593
185	0.5376638456
186	0.5371187154
187	0.5364381449
188	0.5361214863
189	0.5354585801
190	0.5352622752
191	0.5351232178
192	0.5348609569
193	0.5347221214
194	0.5343615674
195	0.533893048
196	0.5334593862
197	0.5333652373
198	0.5330752368
199	0.5328613422
