iter	Passed	Remaining
0	248	49484
1	416	41238
2	542	35594
3	662	32474
4	787	30695
5	914	29565
6	1017	28066
7	1186	28466
8	1371	29095
9	1512	28743
10	1647	28307
11	1816	28462
12	1938	27882
13	2043	27153
14	2152	26552
15	2241	25771
16	2343	25230
17	2466	24942
18	2580	24584
19	2674	24069
20	2784	23731
21	2947	23846
22	3078	23688
23	3243	23785
24	3351	23461
25	3460	23158
26	3597	23051
27	3738	22967
28	3848	22692
29	3916	22194
30	3986	21734
31	4052	21276
32	4116	20830
33	4198	20500
34	4258	20075
35	4315	19659
36	4369	19251
37	4435	18909
38	4493	18551
39	4561	18247
40	4628	17950
41	4704	17698
42	4755	17363
43	4804	17032
44	4871	16779
45	4959	16602
46	5110	16636
47	5220	16532
48	5320	16394
49	5386	16160
50	5443	15904
51	5492	15631
52	5549	15391
53	5598	15135
54	5648	14891
55	5708	14678
56	5762	14457
57	5829	14271
58	5884	14063
59	5951	13886
60	6011	13697
61	6078	13529
62	6145	13363
63	6200	13175
64	6263	13008
65	6338	12868
66	6473	12850
67	6594	12800
68	6673	12669
69	6752	12539
70	6822	12395
71	6976	12402
72	7129	12403
73	7194	12250
74	7330	12216
75	7426	12117
76	7504	11987
77	7583	11860
78	7672	11752
79	7759	11639
80	7893	11596
81	8001	11514
82	8090	11404
83	8214	11344
84	8323	11261
85	8379	11107
86	8431	10951
87	8488	10802
88	8554	10668
89	8609	10522
90	8656	10368
91	8703	10216
92	8752	10069
93	8804	9928
94	8855	9787
95	8909	9652
96	8970	9524
97	9027	9396
98	9071	9255
99	9133	9133
100	9184	9002
101	9231	8869
102	9285	8744
103	9333	8615
104	9396	8501
105	9457	8386
106	9512	8267
107	9552	8137
108	9607	8021
109	9665	7908
110	9714	7789
111	9779	7683
112	9829	7567
113	9876	7450
114	9932	7341
115	9974	7222
116	10014	7104
117	10061	6991
118	10116	6886
119	10177	6785
120	10241	6686
121	10316	6595
122	10394	6507
123	10502	6437
124	10558	6335
125	10614	6233
126	10668	6132
127	10725	6032
128	10779	5932
129	10844	5839
130	10893	5737
131	10938	5635
132	10980	5531
133	11022	5428
134	11067	5328
135	11107	5227
136	11162	5133
137	11211	5037
138	11251	4937
139	11302	4844
140	11385	4764
141	11444	4674
142	11489	4579
143	11531	4484
144	11578	4391
145	11623	4298
146	11664	4205
147	11726	4120
148	11781	4032
149	11827	3942
150	11887	3857
151	11941	3770
152	11980	3680
153	12037	3595
154	12095	3511
155	12135	3422
156	12186	3337
157	12234	3252
158	12292	3169
159	12332	3083
160	12381	2999
161	12426	2914
162	12488	2834
163	12530	2750
164	12578	2668
165	12621	2585
166	12666	2503
167	12724	2423
168	12763	2341
169	12806	2259
170	12858	2180
171	12917	2102
172	12971	2024
173	13019	1945
174	13065	1866
175	13110	1787
176	13161	1710
177	13200	1631
178	13251	1554
179	13301	1477
180	13340	1400
181	13390	1324
182	13441	1248
183	13482	1172
184	13535	1097
185	13578	1022
186	13617	946
187	13669	872
188	13725	798
189	13771	724
190	13861	653
191	13955	581
192	14019	508
193	14122	436
194	14272	365
195	14430	294
196	14568	221
197	14741	148
198	14792	74
199	14854	0
2	34547	1253
193	34680	1072
194	34806	892
195	34915	712
196	35009	533
197	35099	354
198	35202	176
199	35294	0
